#{"t_start": 1654724929.8586328, "env_id": null}
r,l,t
6.142857,16,0.180143
-26.0,26,0.245902
-19.5,13,0.327266
-23.5,21,0.466811
-18.5,11,0.538089
-22.5,19,0.679213
-64.5,101,0.77804
-64.5,101,0.77804
-64.5,101,0.896034
-29.0,32,0.927284
1.6428571,25,0.948427
8.571428,14,0.995289
-21.0,16,1.063464
-22.0,18,1.094683
-20.5,15,1.126228
-21.0,16,1.186627
-18.5,11,1.186627
7.642857,13,1.280734
13.5,7,1.333708
-20.0,14,1.448672
-64.5,101,1.551366
11.071428,9,1.613865
-64.5,101,1.90216
-64.5,101,1.98088
-19.0,12,2.065304
-64.5,101,2.248929
8.857142,22,2.255935
-22.0,18,2.36618
-23.0,20,2.397429
-64.5,101,2.413054
-18.5,11,2.471395
8.0,18,2.502632
14.285714,14,2.502632
-23.5,21,2.648646
-64.5,101,2.66427
1.5714283,28,2.701691
-19.5,13,2.757542
-33.5,41,2.764549
6.0,22,2.797817
-22.0,18,2.818894
-22.0,18,2.881381
4.642857,19,3.027378
6.9285717,23,3.182249
2.5714283,26,3.360899
-64.5,101,3.445034
-64.5,101,3.512941
-64.5,101,3.54418
-25.5,25,3.627702
-24.0,22,3.674564
6.9285717,23,3.766749
-22.5,19,3.784188
-24.0,22,3.914366
12.5,9,3.997959
-64.5,101,4.048018
-19.5,13,4.08535
-18.0,10,4.14783
-64.5,101,4.200198
2.9285717,31,4.400845
-20.0,14,4.484439
-64.5,101,4.484439
-20.0,14,4.568036
6.642857,15,4.58366
6.142857,16,4.682909
-64.5,101,4.717985
-25.5,25,4.754057
7.5714283,16,4.7898
-64.5,101,4.805411
-21.0,16,4.857866
-19.5,13,4.900755
6.9285717,23,5.039714
-26.0,26,5.218263
-21.0,16,5.331685
-64.5,101,5.391071
-64.5,101,5.448971
-64.5,101,5.517379
-21.0,16,5.648207
-32.0,38,5.648207
8.0,18,5.785802
-25.0,24,5.958048
-64.5,101,6.035211
1.5,31,6.150017
-64.5,101,6.165642
-19.0,12,6.254727
-64.5,101,6.371381
-24.0,22,6.53834
-64.5,101,6.764669
-64.5,101,6.866786
-64.5,101,6.950918
-31.0,36,6.99179
-22.0,18,7.065317
-18.5,11,11.684317
-64.5,101,11.74237
-20.0,14,11.823517
-25.0,24,11.985194
-64.5,101,12.068704
-19.0,12,12.068704
-64.5,101,12.199152
-64.5,101,12.367565
7.9285717,21,12.514699
-64.5,101,12.785944
-64.5,101,12.785944
-64.5,101,12.927073
5.714286,14,13.024161
-64.5,101,13.232641
2.7857141,37,13.276681
-22.0,18,13.371767
-21.5,17,13.41093
-64.5,101,13.522237
-64.5,101,13.522237
-23.5,21,13.540253
-21.0,16,13.645711
-64.5,101,14.152838
-64.5,101,14.244921
-64.5,101,14.258935
-17.5,9,14.291215
-19.5,13,14.33809
-64.5,101,14.33809
7.142857,14,14.433556
-24.0,22,14.442426
9.0,16,14.442426
-21.0,16,14.548488
-22.5,19,14.562501
5.8571424,28,14.624557
7.642857,13,14.714638
-64.5,101,14.82099
-21.0,16,14.944103
-64.5,101,15.256075
-64.5,101,15.273091
-17.5,9,15.32331
-64.5,101,15.424486
10.857142,18,15.440111
-3.0714283,43,15.539245
-21.0,16,15.55487
-64.5,101,15.626133
-20.5,15,15.640144
0.0,34,15.648151
-23.5,21,15.705498
6.5714283,18,15.778564
9.5,15,15.832613
-22.5,19,15.915688
10.5,13,15.922694
11.0,12,15.989755
-22.5,19,16.040802
14.857142,10,16.049355
-0.28571415,26,16.22667
6.5714283,18,16.325799
-64.5,101,16.325799
-64.5,101,16.341424
4.142857,20,16.507909
-26.5,27,16.554951
7.4285717,22,16.671057
6.4285717,24,16.727108
-64.5,101,16.755134
-18.5,11,16.811092
7.0,20,16.942657
-64.5,101,17.057576
-23.5,21,17.095125
-18.5,11,17.17325
-19.0,12,17.25687
-64.5,101,17.340399
-34.5,43,17.340399
-64.5,101,17.387274
-22.0,18,17.454732
-4.785714,35,17.473749
12.785714,17,17.572839
-20.5,15,17.678502
14.428572,8,17.725366
-64.5,101,17.996703
-64.5,101,18.043554
-18.0,10,18.111576
-64.5,101,18.12715
-18.5,11,18.20985
-22.0,18,18.239945
-64.5,101,18.381403
9.142857,10,18.443668
7.5714283,16,22.420276
-19.5,13,22.525136
-64.5,101,22.561168
10.428572,16,22.655254
-64.5,101,22.811396
-64.5,101,22.840422
-27.0,28,22.867447
-17.5,9,22.899476
-19.5,13,22.949521
0.14285707,28,23.084645
3.642857,21,23.09165
9.5,15,23.184736
-26.5,27,23.252796
-64.5,101,23.259803
8.428572,20,23.315854
-22.5,19,23.388085
-20.5,15,23.419113
-64.5,101,23.477454
12.357142,15,23.490465
6.5714283,18,23.536507
9.071428,13,23.627982
2.5714283,26,23.669878
-20.0,14,23.719099
6.5,21,23.802622
11.0,12,23.886862
-64.5,101,23.933725
10.071428,11,23.94935
11.0,12,24.001672
-64.5,101,24.132105
8.0,18,24.262491
11.928572,13,24.34173
-64.5,101,24.361599
-4.9285717,41,24.619596
-64.5,101,24.619596
-64.5,101,24.668642
-20.5,15,24.712681
-20.5,15,24.712681
12.785714,17,24.828787
2.2142859,21,24.850249
10.571428,10,24.918206
-23.0,20,24.949455
-64.5,101,25.041596
-20.5,15,25.146063
-64.5,101,25.450797
-1.7857141,29,25.450797
-19.0,12,25.535874
-26.0,26,25.63096
7.142857,14,25.63096
-64.5,101,25.721384
-20.5,15,25.740402
-64.5,101,25.76142
-24.0,22,25.79344
2.642857,23,25.938571
-27.0,28,26.148762
