#{"t_start": 1654726774.2900069, "env_id": null}
r,l,t
6.142857,16,0.184822
-26.0,26,0.263464
-19.5,13,0.349812
-23.5,21,0.494944
-18.5,11,0.561506
-22.5,19,0.732632
-64.5,101,0.827718
-64.5,101,0.827718
-64.5,101,0.955833
-29.0,32,0.99587
1.6428571,25,1.033905
8.571428,14,1.074942
-21.0,16,1.136998
-22.0,18,1.186165
-20.5,15,1.202179
-21.0,16,1.259231
-18.5,11,1.268239
7.642857,13,1.360323
13.5,7,1.414373
-20.0,14,1.518467
-64.5,101,1.620559
11.071428,9,1.683617
-64.5,101,1.980966
-64.5,101,2.056531
-19.0,12,2.155369
-64.5,101,2.340537
8.857142,22,2.349545
-22.0,18,2.488743
-23.0,20,2.512764
-64.5,101,2.543793
-18.5,11,2.645886
8.0,18,2.680518
14.285714,14,2.691528
-23.5,21,2.858646
-64.5,101,2.875661
1.5714283,28,2.925706
-19.5,13,2.981757
-33.5,41,2.990765
6.0,22,3.0288
-22.0,18,3.053823
-22.0,18,3.112876
4.642857,19,3.249233
6.9285717,23,3.395859
2.5714283,26,3.582904
-64.5,101,3.686271
-64.5,101,3.718968
-64.5,101,3.75357
-25.5,25,3.868518
-24.0,22,3.933578
6.9285717,23,4.039674
-22.5,19,4.064697
-24.0,22,4.179801
12.5,9,4.236649
-64.5,101,4.288795
-19.5,13,4.320824
-18.0,10,4.390887
-64.5,101,4.427938
2.9285717,31,4.64743
-20.0,14,4.738513
-64.5,101,4.738513
-20.0,14,4.819548
6.642857,15,4.819548
6.142857,16,4.925491
-64.5,101,4.957711
-25.5,25,4.984056
7.5714283,16,5.038768
-64.5,101,5.071798
-21.0,16,5.11784
-19.5,13,5.167885
6.9285717,23,5.30222
-26.0,26,5.474281
-21.0,16,5.574509
-64.5,101,5.621305
-64.5,101,5.687033
-64.5,101,5.739383
-21.0,16,5.83754
-32.0,38,5.853164
8.0,18,5.952341
-25.0,24,6.102477
-64.5,101,6.185977
1.5,31,6.285179
-64.5,101,6.3039
-19.0,12,6.382013
-64.5,101,6.481194
-24.0,22,6.611523
-64.5,101,6.810675
-64.5,101,6.925396
-64.5,101,7.012281
-31.0,36,7.043531
-22.0,18,7.12152
-18.5,11,11.726823
-64.5,101,11.784875
-20.0,14,11.885751
-25.0,24,12.04338
-64.5,101,12.120637
-19.0,12,12.120637
-64.5,101,12.240287
-64.5,101,12.38942
7.9285717,21,12.51985
-64.5,101,12.756269
-64.5,101,12.756269
-64.5,101,12.888713
5.714286,14,12.988868
-64.5,101,13.212242
2.7857141,37,13.257806
-22.0,18,13.323447
-21.5,17,13.354696
-64.5,101,13.438194
-64.5,101,13.438194
-23.5,21,13.466479
-21.0,16,13.564568
-64.5,101,14.010789
-64.5,101,14.099871
-64.5,101,14.113883
-17.5,9,14.157923
-19.5,13,14.194956
-64.5,101,14.201962
7.142857,14,14.28675
-24.0,22,14.304512
9.0,16,14.304512
-21.0,16,14.401537
-22.5,19,14.401537
5.8571424,28,14.469514
7.642857,13,14.553024
-64.5,101,14.667774
-21.0,16,14.766974
-64.5,101,15.075286
-64.5,101,15.075286
-17.5,9,15.143123
-64.5,101,15.25955
10.857142,18,15.275161
-3.0714283,43,15.37434
-21.0,16,15.389965
-64.5,101,15.456951
-20.5,15,15.488158
0.0,34,15.488158
-23.5,21,15.550658
6.5714283,18,15.60354
9.5,15,15.650414
-22.5,19,15.75196
10.5,13,15.760967
11.0,12,15.832032
-22.5,19,15.888082
14.857142,10,15.901094
-0.28571415,26,16.059151
6.5714283,18,16.179291
-64.5,101,16.179291
-64.5,101,16.194916
4.142857,20,16.311604
-26.5,27,16.342854
7.4285717,22,16.442012
6.4285717,24,16.494239
-64.5,101,16.525489
-18.5,11,16.593503
7.0,20,16.7241
-64.5,101,16.819004
-23.5,21,16.854548
-18.5,11,16.917048
-19.0,12,16.985486
-64.5,101,17.069037
-34.5,43,17.069037
-64.5,101,17.131805
-22.0,18,17.199867
-4.785714,35,17.218884
12.785714,17,17.322277
-20.5,15,17.411408
14.428572,8,17.458246
-64.5,101,17.761328
-64.5,101,17.813375
-18.0,10,17.877433
-64.5,101,17.897451
-18.5,11,17.970517
-22.0,18,17.996542
-64.5,101,18.136756
9.142857,10,18.202815
7.5714283,16,22.245714
-19.5,13,22.375483
-64.5,101,22.413
10.428572,16,22.517093
-64.5,101,22.669231
-64.5,101,22.699258
-27.0,28,22.729285
-17.5,9,22.761314
-19.5,13,22.815363
0.14285707,28,22.946482
3.642857,21,22.953489
