#{"t_start": 1654758276.8522782, "env_id": null}
r,l,t
6.142857,16,4.336775
-26.0,26,4.419849
-19.5,13,4.51894
-23.5,21,4.687093
-18.5,11,4.77217
-22.5,19,4.919303
-64.5,101,5.428766
-64.5,101,5.428766
-19.5,13,5.447784
-19.5,13,5.544872
12.857142,14,5.571896
-64.5,101,5.571896
6.5714283,18,5.590913
-19.5,13,5.674823
7.642857,13,5.690437
0.21428585,25,5.786318
-24.5,23,5.889411
-19.5,13,5.90943
3.0,28,6.126025
-26.5,27,6.141608
-21.5,17,6.280249
13.357142,13,6.789776
-64.5,101,6.817801
3.642857,21,6.951923
-64.5,101,6.951923
8.357142,23,6.988051
-17.5,9,7.017077
-17.0,8,7.079134
-25.5,25,7.145718
4.4285717,28,7.311868
2.2142859,21,7.320876
-64.5,101,7.347901
-20.0,14,7.470721
5.0,24,7.958163
4.5,25,7.962167
-22.0,18,8.025785
-20.0,14,8.057034
-19.0,12,8.124965
-64.5,101,8.224182
-28.5,31,8.338963
-64.5,101,9.424118
-64.5,101,9.531215
-22.5,19,9.561562
-64.5,101,9.714938
4.5,25,9.742965
-26.5,27,9.807021
-64.5,101,9.869079
8.5,17,9.942058
-27.0,28,9.978862
-3.9285717,39,10.642588
-64.5,101,10.911386
-64.5,101,11.026152
-64.5,101,11.125295
13.357142,13,11.203408
-64.5,101,11.725352
10.5,13,11.809017
-64.5,101,11.994673
-22.0,18,12.135037
-64.5,101,12.135037
6.0714283,19,12.26284
-64.5,101,12.297355
-27.0,28,12.315253
-22.0,18,12.384219
-22.0,18,12.833411
8.642857,11,12.857623
-64.5,101,12.951353
2.142857,24,13.035896
8.571428,14,13.051521
-64.5,101,13.463763
-64.5,101,13.952156
-23.0,20,13.983407
5.0714283,21,14.098568
-64.5,101,14.150814
-64.5,101,14.166439
9.571428,12,14.249939
-21.5,17,14.265565
2.5714283,26,14.281189
-64.5,101,15.075821
7.5,19,15.207707
-21.0,16,15.32246
-64.5,101,15.353709
-64.5,101,15.375325
-64.5,101,15.390938
-24.0,22,15.490172
8.5,17,15.490172
-17.5,9,15.568286
5.214286,15,15.667453
-2.357143,33,15.735347
