#{"t_start": 1655370368.4181106, "env_id": null}
r,l,t
16.214285,13,0.175828
3.2857141,16,0.198222
11.714285,22,0.237036
-18.5,11,0.251049
-21.0,16,0.347583
-24.0,22,0.347583
5.285714,32,0.478009
0.0714286,11,0.561134
-17.5,9,0.610997
-64.5,101,0.793388
-0.07142854,17,0.900125
-64.5,101,1.062044
-64.5,101,1.062044
-17.0,8,1.130258
-5.785714,37,1.192747
-22.0,18,1.211417
6.642857,15,1.310721
-64.5,101,1.341972
-24.5,23,1.341972
12.928572,11,1.410151
-21.0,16,1.410151
-22.0,18,1.528863
-43.5,61,1.758714
-64.5,101,1.826902
-0.21428585,23,1.923697
-20.5,15,1.94486
-64.5,101,2.134026
-12.214286,27,2.142032
18.214285,9,2.203066
-64.5,101,2.265565
4.785714,13,2.308988
5.214286,15,2.387112
-23.0,20,2.47088
13.714285,18,2.53907
13.214285,19,2.685345
-64.5,101,2.726978
14.714285,16,2.847089
-26.5,27,2.884381
-64.5,101,2.915578
-31.0,36,3.164933
-64.5,101,3.217402
13.142857,22,3.33243
-64.5,101,3.554629
-64.5,101,3.586158
2.2857141,18,3.719355
-25.5,25,3.719355
-64.5,101,3.933332
-4.214286,31,3.933332
12.857142,14,4.016786
-64.5,101,4.034151
-23.0,20,4.06645
-25.5,25,4.196801
-22.0,18,4.196801
0.5714286,10,4.265327
-64.5,101,4.411438
12.5,9,4.458313
9.714285,26,4.594039
-64.5,101,4.640902
-19.0,12,4.672151
-64.5,101,4.789766
-26.5,27,4.826401
-64.5,101,4.857608
15.714285,14,4.873233
-22.0,18,4.957391
-22.5,19,4.98864
-18.0,10,5.021683
-35.5,45,5.075013
-2.142857,24,5.153138
-64.5,101,5.220964
-64.5,101,5.599525
-64.5,101,5.7149
-64.5,101,5.782765
-19.5,13,5.866261
-64.5,101,5.866261
15.214285,15,5.944369
0.28571415,22,5.996671
7.5,19,6.111418
-64.5,101,6.226139
-64.5,101,6.347413
-1.9285715,15,6.462143
-64.5,101,6.633791
-64.5,101,6.804947
