#{"t_start": 1654727923.8924482, "env_id": null}
r,l,t
11.0,12,0.19013
9.0,16,0.221371
9.0,16,0.221371
-21.5,17,0.305594
6.5,21,0.352456
10.428572,16,0.482946
-24.0,22,0.653932
-20.5,15,0.768684
-64.5,101,0.86241
-64.5,101,0.992465
-21.5,17,1.008061
-64.5,101,1.086184
-20.5,15,1.107385
-19.5,13,1.204067
13.857142,12,1.206601
-20.5,15,1.32153
-64.5,101,1.576102
-23.5,21,1.722832
-64.5,101,1.785331
-64.5,101,1.975124
-0.4285717,32,2.021999
-64.5,101,2.074386
4.5,25,2.158141
-24.0,22,2.264972
-20.0,14,2.431656
10.5,13,2.552955
-64.5,101,2.595994
-23.5,21,2.73512
12.785714,17,2.745129
-24.0,22,2.904274
-64.5,101,2.91128
-1.2857141,28,2.958323
8.142857,12,3.003364
-19.5,13,3.003364
-64.5,101,3.060415
7.642857,13,3.104455
-20.0,14,3.114465
10.071428,11,3.194538
-17.5,9,3.257594
4.8571424,30,3.280615
-7.5,49,3.317649
2.8571424,34,3.345675
