#{"t_start": 1655416090.213662, "env_id": null}
r,l,t
-37.5,91,1.013612
-41.0,98,1.113031
-53.5,101,1.200073
-44.5,101,1.200073
-43.5,101,2.272145
-45.5,101,2.353658
-47.5,101,2.402189
-69.5,101,2.402189
-61.5,101,3.349744
-45.5,101,3.433285
-53.5,101,3.51694
-43.5,101,3.51694
-44.5,101,4.454067
-47.5,101,4.53218
-50.5,101,4.597698
-67.5,101,4.597698
-37.5,49,5.118887
-47.5,101,5.572041
-50.5,101,5.636716
-44.5,101,5.667966
-58.5,101,6.149092
-63.5,101,6.541197
-59.5,101,6.620469
-45.5,101,6.655947
-68.5,101,7.168323
-36.5,89,7.588906
-50.5,101,7.620125
-43.5,101,7.688046
-56.5,101,8.22506
-46.5,101,8.611459
-45.5,101,8.654336
-45.5,101,8.722386
-43.5,87,9.113984
-51.5,101,9.690622
-62.5,101,9.727324
-47.5,101,9.789812
-52.0,92,10.067949
-32.5,81,10.568328
-64.5,101,10.667666
-62.5,101,10.683291
-44.5,101,11.023329
-55.5,101,11.50491
-44.5,101,11.6353
-44.5,101,11.650925
-44.5,101,12.002677
-44.5,101,12.59293
-65.5,101,12.723279
-44.5,101,12.738904
-44.5,101,13.155225
-45.0,62,13.288556
-54.5,101,13.800498
-44.5,101,13.816123
-55.5,101,14.179059
-44.5,101,14.342211
-44.5,55,14.398429
-44.5,101,14.905825
-57.5,101,15.223596
-44.5,101,15.339022
-55.5,101,15.401521
-69.5,101,15.893176
-44.5,101,16.223339
-59.0,96,16.338172
-50.5,101,16.359326
-69.5,101,16.924994
-43.5,101,17.310912
-45.5,101,17.442
-45.5,101,17.488874
-50.5,101,17.959489
-64.5,101,18.294988
-66.5,101,18.409772
-70.5,101,18.425396
-45.5,101,18.944288
-65.5,101,19.267754
-43.5,101,19.398127
-44.5,101,19.398127
-43.5,101,19.911036
-46.5,101,20.28304
-55.5,101,20.413366
-45.5,101,20.444615
-34.5,85,20.854007
-46.5,83,21.276408
-43.5,101,21.33394
-57.5,101,21.464333
-42.5,99,21.79377
-44.5,101,22.24945
-55.5,101,22.311949
-44.5,101,22.453793
-45.5,101,22.776951
-45.5,101,23.24606
-59.5,101,23.295202
-47.5,101,23.4256
-43.5,101,23.767411
-37.0,90,24.116596
-43.5,101,24.315588
-46.5,101,24.445916
-47.5,101,24.802178
-45.5,101,25.137481
-62.5,101,25.3149
-48.5,101,25.448422
-67.5,101,25.817664
-51.5,101,26.158054
-46.5,101,26.352662
-46.5,101,26.487325
-35.5,87,26.685338
-44.5,101,27.219135
-65.5,101,27.432951
-66.5,101,27.563296
-60.5,101,27.759336
-37.5,61,28.223177
-68.5,101,28.306722
-68.5,101,28.46896
-45.0,56,28.778015
-47.5,101,28.809264
-45.5,101,29.290739
-52.5,101,29.436785
-69.5,101,29.703111
-45.5,101,29.749984
-60.5,101,30.267926
-45.5,101,30.457497
-44.5,101,30.740194
-47.5,101,30.787069
-49.5,101,31.367626
-54.5,101,31.555417
-46.5,101,31.816283
-45.5,101,31.869205
-48.5,101,32.370975
-44.5,101,32.560966
-44.5,101,32.853056
-44.5,101,32.905366
-50.5,101,33.402332
-45.5,101,33.564353
-43.5,101,33.871936
-44.5,101,33.924786
-68.5,101,34.452655
-46.5,101,34.626522
-30.5,77,34.694185
-44.5,101,35.002201
-50.0,66,35.196983
-22.0,8,35.281075
-41.5,93,35.677412
-45.5,101,35.724492
-56.5,101,36.038388
-44.5,101,36.294935
-46.5,101,36.729391
-50.5,101,36.781799
-45.5,101,37.105075
-43.5,101,37.36192
-58.0,80,37.554847
-68.5,101,37.833657
-44.5,57,37.948448
-64.5,101,38.147332
-46.5,101,38.574838
-61.0,98,38.77382
-49.5,101,38.952493
-46.5,101,39.160989
-46.5,101,39.565013
-46.5,101,39.76329
-63.5,101,39.931056
-66.5,101,40.145555
-40.5,49,40.432562
-46.5,101,40.568429
-45.5,101,40.776896
-59.5,101,41.128063
-44.5,101,108.107372
-44.5,101,108.272911
-64.5,101,108.512246
-45.5,101,108.856152
-34.5,37,108.887221
-45.5,65,108.972319
-44.5,101,109.189545
-44.5,101,109.855474
-60.5,101,109.891507
-40.5,97,109.931543
-50.5,101,110.244405
-43.5,101,110.912961
-61.5,101,110.928586
-46.5,101,110.971363
-66.5,101,111.255893
-44.5,101,111.94541
-43.5,101,111.959422
-45.5,101,111.99045
-59.5,101,112.2471
-47.5,101,112.934419
-45.5,101,112.99047
-43.5,101,113.03388
-58.5,101,113.295244
-45.5,101,113.955956
-69.5,101,113.971971
-44.5,101,114.038031
-62.5,101,114.303272
-48.5,101,114.996539
-46.5,101,115.012554
-61.5,101,115.047586
-43.5,101,115.308862
-46.5,101,116.015868
-47.5,101,116.032883
-44.5,101,116.080927
-47.5,101,116.330032
-44.5,101,117.095303
-46.5,101,117.109315
-51.5,101,117.152355
-43.5,101,117.41352
-63.5,101,118.120116
-44.5,101,118.135741
-46.5,101,118.188851
-43.5,101,118.454241
-44.5,101,119.164662
-45.5,101,119.206058
-68.5,101,119.240089
-36.5,89,119.388224
-45.5,101,120.203749
-65.5,101,120.233776
-44.5,101,120.273814
-45.5,101,120.406621
-45.5,101,121.217843
-56.5,101,121.255877
-45.5,101,121.284904
-45.5,101,121.405236
-48.0,84,122.047669
-65.5,101,122.235326
-44.5,101,122.268357
-55.5,101,122.407193
-52.5,101,123.079092
-46.5,101,123.297421
-45.5,101,123.33635
-44.5,101,123.481514
-45.5,101,124.285534
-32.5,81,124.307521
-48.5,101,124.503703
-43.5,101,124.670549
-59.5,101,125.385437
-46.5,101,125.400451
-45.5,101,125.568489
-46.5,101,125.735732
-45.5,101,126.471668
-43.5,101,126.512705
-44.5,101,126.673072
-44.5,101,126.847178
-44.5,101,127.591698
-65.5,101,127.607324
-44.5,101,127.789977
-44.5,101,127.987562
-58.5,101,128.691386
-44.5,101,128.702396
-43.5,101,128.869975
-63.5,101,129.038807
-44.5,101,129.738135
-43.5,101,129.774774
-51.5,101,129.946347
-51.5,101,130.112346
-46.5,101,130.830296
-63.5,101,130.842308
-44.5,101,131.011218
-48.5,101,131.193901
-46.5,101,131.846657
-48.5,101,131.862271
-66.5,101,132.042692
-54.5,101,132.198873
-43.5,101,132.823832
-44.5,101,132.839396
-45.5,101,133.012719
-47.5,101,133.175497
-47.5,101,133.813891
-43.5,101,133.845141
-47.5,101,134.006793
-47.5,101,134.166311
-43.5,101,134.860326
-55.5,101,134.875951
-56.5,101,135.075354
-46.5,101,135.265038
-43.5,101,135.994114
-44.5,101,136.009739
-44.5,101,136.192451
-27.5,25,136.284779
-52.5,101,136.383204
-44.5,101,137.019232
-45.5,101,137.180871
-44.5,101,137.264449
-45.5,101,137.382273
-44.5,101,138.030775
-46.5,101,138.197938
-44.5,101,138.280574
-41.0,98,138.374312
-59.5,101,139.034992
-46.5,101,139.234034
-67.5,101,139.317513
-68.5,101,139.414363
-44.5,101,140.149285
-45.5,101,140.310966
-56.5,101,140.394521
-48.5,101,140.478696
-43.5,101,141.285673
-45.5,101,141.449357
-44.5,101,141.536167
-53.5,101,141.603622
-63.5,101,142.382632
-45.5,101,142.565925
-62.5,101,142.637826
-44.5,101,142.685732
-43.5,101,143.439749
-45.5,101,143.631732
-43.5,101,143.683993
-44.5,101,143.773131
-26.5,15,143.790041
-44.0,58,144.051434
-44.5,101,144.691942
-63.5,101,144.766566
-46.5,101,144.80841
-50.5,101,145.073315
-46.5,101,145.735247
-52.5,101,145.822567
-66.5,101,145.840608
-43.5,101,146.104281
-59.5,101,146.824192
-65.5,101,146.896256
-45.5,101,146.952307
-58.5,101,147.218549
-44.5,101,147.961399
-44.5,101,148.027459
-68.5,101,148.055484
-43.5,101,148.360647
-40.5,77,148.814186
-45.5,101,149.113705
-44.5,101,149.134238
-56.5,101,149.42661
-44.5,101,165.394267
-44.5,101,165.715435
-47.5,101,165.737455
-44.5,101,166.02739
-50.5,101,166.476865
-44.5,101,166.783143
-44.5,101,166.803161
-67.5,101,167.092423
-33.0,46,167.350658
-56.5,101,167.70927
-26.5,17,167.926634
-44.5,101,168.110801
-64.5,101,168.429812
-44.5,101,168.72015
-61.5,101,169.217046
-52.5,101,169.404216
-52.5,77,169.601395
-44.5,101,169.69548
-36.0,48,169.975735
-34.5,37,170.396116
-44.5,101,170.419137
-45.5,101,170.765208
-69.5,101,170.816453
-56.5,101,171.376216
-51.5,101,171.397394
-45.5,101,171.740904
-44.5,101,171.837715
-33.5,83,172.275824
-60.5,101,172.464442
-45.5,101,172.827491
-69.5,101,172.89315
-64.5,101,173.31688
-64.5,101,173.481489
-43.5,101,173.878587
-44.5,101,173.986164
-43.5,101,174.449599
-43.5,101,174.664091
-44.5,101,175.032892
-63.5,101,175.104946
-46.5,101,175.524827
-46.5,101,175.697414
-43.5,101,176.067602
-45.5,101,176.154681
-45.5,101,176.609514
-45.5,101,176.792694
-58.5,101,177.165019
-67.5,101,177.239086
-53.5,101,177.713463
-44.5,101,177.864584
-48.5,101,178.253837
-44.5,101,178.328903
-60.5,101,178.77476
-44.5,101,178.958094
-46.5,101,179.333851
-46.5,101,179.417487
-47.5,101,179.809662
-46.5,101,180.023679
-59.5,87,180.331879
-42.5,93,180.331879
-44.5,101,180.918174
-58.5,101,181.066508
-41.5,89,181.22085
-44.5,101,181.335641
-44.5,101,181.931207
-46.5,101,182.110245
-43.5,101,182.273392
-44.5,101,182.42453
-56.5,101,182.989058
-43.5,101,183.208618
-44.5,101,183.489486
-62.5,101,183.648631
-43.5,101,184.314235
-52.5,101,184.499403
-44.5,101,184.695581
-53.5,101,184.830704
-46.5,101,185.496303
-45.5,101,185.693962
-43.5,101,185.87452
-43.5,101,186.007733
-65.5,101,186.636142
-56.5,101,186.809387
-35.5,87,186.942542
-54.5,101,186.958146
-52.5,101,187.654345
-44.5,101,187.801034
-44.5,101,187.948258
-44.5,101,187.968165
-36.0,88,188.502547
-46.5,101,188.80191
-46.5,101,188.931194
-58.5,101,188.951212
-46.5,101,189.508502
-46.5,101,189.786263
-43.5,101,189.916648
-45.5,101,189.947897
-36.0,88,190.379689
-44.5,101,190.81336
-53.5,101,190.976833
-45.5,101,190.992458
-60.5,99,191.426455
-53.5,101,191.895609
-68.5,101,192.026095
-44.5,101,192.04172
-60.5,101,192.448891
-46.5,101,192.86412
-43.5,101,193.001245
-45.5,101,193.039279
-42.0,100,193.450653
-23.0,58,193.64447
-47.5,101,193.954553
-48.5,101,194.129206
-47.5,101,194.545053
-64.5,101,194.728487
-45.5,101,195.004953
-45.5,101,195.15651
-66.5,101,195.549013
-62.5,101,195.7145
-44.5,101,196.013654
-43.5,101,196.180946
-45.5,101,196.670975
-44.5,101,196.889095
-51.5,101,197.208385
-57.5,101,197.380541
-35.0,74,197.687821
-69.5,101,197.816937
-45.5,101,198.251332
-45.5,101,198.402567
-34.5,85,198.540388
-69.5,101,198.783989
-44.5,101,199.217402
-45.5,101,199.384114
-53.5,101,199.536935
-53.5,87,199.650768
-49.5,101,200.23197
-43.5,101,200.399297
-57.5,101,200.557168
-43.5,101,200.687406
-45.5,101,201.28406
-43.5,101,201.467401
-64.5,101,201.603505
-56.5,101,201.749535
-39.0,94,202.289452
-47.5,83,202.38868
-57.5,101,202.707198
-55.5,101,202.822822
-58.5,101,203.406791
-58.5,101,203.484904
-43.5,101,203.804497
-46.5,101,203.919253
-43.5,101,204.437772
-50.5,101,204.484592
-46.5,101,204.85598
-50.5,101,204.987357
-58.5,101,205.544324
-43.5,101,205.600254
-68.5,101,205.973269
-43.5,101,206.101113
-43.5,51,206.505356
-45.5,97,206.68652
-43.5,101,206.792777
-36.5,35,207.082917
-43.5,101,207.241045
-45.5,101,207.659584
-61.5,101,207.842855
-50.5,77,207.874293
-45.5,101,223.273866
-46.5,101,223.680089
-50.5,101,223.891539
-44.5,101,223.946589
-47.5,101,224.390428
-44.5,101,224.84186
-45.5,101,225.12109
-70.5,101,225.151862
-44.5,101,225.683133
-34.0,30,226.102744
-54.5,101,226.223478
-65.5,101,226.486381
-44.5,101,226.514766
-34.0,64,226.928339
-44.5,101,227.4356
-46.5,101,227.667712
-44.5,101,227.714279
-44.5,101,228.117615
-58.5,101,228.683251
-49.5,101,228.925744
-64.5,101,228.9521
-43.5,101,229.312402
-44.5,101,229.756554
-44.5,101,229.983133
-46.5,101,230.002153
-54.5,101,230.36306
-25.5,67,230.677166
-54.5,101,230.833425
-46.5,101,231.033607
-39.5,51,231.348244
-45.5,101,231.39508
-45.5,101,231.708714
-43.5,101,232.000764
-43.5,101,232.329615
-47.5,101,232.360864
-50.5,101,232.708605
-47.5,101,233.07894
-51.0,76,233.148611
-35.5,87,233.300151
-62.5,101,233.737493
-61.5,101,234.099809
-45.5,101,234.184244
-43.5,101,234.315394
-49.5,101,234.809762
-55.5,101,235.149705
-46.5,101,235.217761
-45.5,101,235.395151
-51.5,101,235.892471
-51.5,101,236.234612
-44.5,101,236.300294
-43.5,101,236.470088
-55.5,101,236.914065
-46.5,101,237.234414
-44.5,101,237.302344
-45.5,101,237.467407
-45.5,101,238.015185
-55.5,101,238.344484
-46.5,101,238.415549
-61.5,101,238.554651
-60.5,101,239.053862
-30.0,76,239.370828
-52.5,101,239.417691
-45.5,101,239.514273
-64.5,101,240.122472
-70.5,101,240.424747
-62.5,101,240.469787
-64.5,101,240.557867
-49.5,101,241.22091
-43.5,101,241.499476
-58.5,101,241.536188
-44.5,101,241.614361
-46.5,101,242.284952
-59.5,101,242.582621
-53.5,101,242.61387
-44.5,101,242.717602
-35.0,34,243.001244
-29.5,29,243.05538
-62.5,101,243.4231
-44.5,101,243.72417
-65.5,101,244.000646
-46.5,101,244.053418
-59.5,101,244.423919
-43.5,101,244.788405
-44.5,101,245.074934
-45.5,101,245.137434
-43.5,101,245.565686
-59.5,101,245.925594
-46.5,101,246.255269
-43.5,101,246.302143
-70.5,101,246.698788
-54.5,99,247.027636
-44.5,101,247.372145
-45.5,101,247.419019
-43.5,101,247.733069
-45.5,101,248.009691
-47.5,101,248.307472
-47.5,101,248.369972
-55.5,101,248.682979
-32.5,65,248.928701
-43.5,101,248.965407
-45.5,101,249.34125
-43.5,101,249.655034
-44.5,101,249.900462
-44.5,101,249.931711
-44.5,101,250.292274
-43.5,101,250.589712
-20.0,56,250.819303
-44.5,101,250.866178
