#{"t_start": 1654727939.7423255, "env_id": null}
r,l,t
14.928572,7,0.119268
11.857142,16,0.182325
-23.0,20,0.20935
3.642857,21,0.243703
-18.5,11,0.2804
3.642857,21,0.319437
-25.5,25,0.438544
5.5,23,0.447552
3.9285717,29,0.685769
10.071428,11,0.757623
-64.5,101,0.819206
12.428572,12,0.851236
-19.5,13,0.918296
-17.5,9,0.918296
-64.5,101,1.093757
-30.5,35,1.181983
-64.5,101,1.228858
8.0,18,1.228858
-21.0,16,1.381434
5.142857,18,1.395447
2.142857,24,1.610685
-64.5,101,1.755817
-64.5,101,2.031633
-64.5,101,2.200368
-64.5,101,2.395546
0.9285717,35,2.462184
-64.5,101,2.531166
-21.0,16,2.636261
-26.0,26,2.651275
-64.5,101,2.766379
-20.0,14,2.859464
-23.0,20,2.978457
-64.5,101,3.072103
12.357142,15,3.07911
-64.5,101,3.305315
-64.5,101,3.32233
-18.5,11,3.398705
-23.5,21,3.461192
-19.0,12,3.492442
10.5,13,3.592355
-31.0,36,3.73445
-64.5,101,3.812563
-64.5,101,3.828188
-17.5,9,3.880478
6.142857,16,4.011119
-21.5,17,4.12222
-19.5,13,4.22075
-64.5,101,4.328849
0.14285707,28,4.414145
-64.5,101,4.450865
4.0,26,4.513364
-64.5,101,4.534334
4.214286,17,4.534334
-21.0,16,4.630154
-23.0,20,4.676195
8.214286,9,4.689207
-19.0,12,4.756268
9.857142,20,4.882966
3.8571424,32,4.89858
3.7142859,18,5.016779
-27.0,28,5.081884
9.0,16,5.141937
-64.5,101,5.160956
-64.5,101,5.234021
14.357142,11,5.321101
-24.0,22,5.330109
-18.5,11,5.399172
3.142857,22,5.543994
-26.5,27,5.726159
-64.5,101,5.791218
-64.5,101,5.843266
5.5,23,5.885303
-18.5,11,5.916332
-2.2857141,30,5.984524
9.071428,13,5.984524
-64.5,101,6.000149
7.4285717,22,6.0213
3.7142859,18,6.105231
-22.0,18,6.154275
-19.0,12,6.200317
-0.35714293,29,6.213329
4.642857,19,6.29298
7.0714283,17,6.334018
-24.0,22,6.354035
-64.5,101,6.72237
-64.5,101,6.99924
-64.5,101,7.046191
-64.5,101,7.072216
-20.0,14,7.108247
6.0714283,19,7.198589
7.5714283,16,7.198589
-19.5,13,7.285601
6.5,21,11.833944
-64.5,101,11.880819
9.857142,20,11.896444
17.785713,7,11.941081
-21.0,16,11.99613
4.642857,19,12.066864
-64.5,101,12.208992
-22.0,18,12.335107
-19.5,13,12.422794
-64.5,101,12.525887
-64.5,101,12.707052
-28.0,30,12.739081
-64.5,101,12.777116
-19.5,13,12.790774
8.928572,19,12.899873
-27.0,28,12.924896
-22.0,18,13.02899
-64.5,101,13.136087
-21.5,17,13.159109
-64.5,101,13.482402
12.285714,18,13.596506
-64.5,101,13.610518
-19.0,12,13.704604
-22.5,19,13.742638
-64.5,101,13.822711
-19.0,12,13.822711
-64.5,101,13.842729
-19.0,12,13.89878
-21.0,16,13.943821
-3.9285717,39,13.962839
-26.5,27,13.996869
9.857142,20,14.034904
-22.5,19,14.077942
4.5714283,22,14.125986
-19.5,13,14.134995
12.0,10,14.192046
-23.0,20,14.273075
-20.0,14,14.295095
-31.0,36,14.341137
-17.5,9,14.401191
-21.5,17,14.405847
-26.0,26,14.465573
-24.0,22,14.632725
-64.5,101,14.767848
7.5,19,14.799877
-25.0,24,14.940005
-23.5,21,14.947011
9.5,15,15.051106
-64.5,101,15.16721
-64.5,101,15.181223
-18.0,10,15.240277
-20.0,14,15.279313
-28.0,30,15.442461
-23.5,21,15.579586
-64.5,101,15.638639
-20.0,14,15.673593
-19.0,12,15.723216
-64.5,101,15.742118
-18.5,11,15.742118
4.142857,20,15.849257
10.357142,19,15.881288
1.7142859,22,15.897302
-64.5,101,15.978376
-25.5,25,16.083471
1.4285717,34,16.220596
1.5714283,28,16.284654
-22.0,18,16.347712
-20.0,14,16.427173
-64.5,101,16.576072
-64.5,101,16.605099
9.5,15,16.70619
-64.5,101,16.972252
-22.5,19,17.10237
-64.5,101,17.131396
-21.0,16,17.215548
-64.5,101,17.270597
-23.0,20,17.354673
10.857142,18,17.385701
-64.5,101,17.392708
7.5,19,17.473824
-7.0714283,51,17.70884
-4.4285717,40,17.724466
-64.5,101,17.793194
-21.5,17,17.908025
-20.0,14,18.010952
-64.5,101,18.041223
-19.0,12,18.072473
5.5,23,18.209084
-64.5,101,18.411
-64.5,101,18.43302
10.5,13,18.530108
-23.5,21,18.679244
-64.5,101,22.871687
-23.5,21,22.887311
-64.5,101,23.017701
-20.0,14,23.11683
11.0,12,23.200343
-64.5,101,23.215967
9.642857,9,23.269008
-19.0,12,23.284593
-23.0,20,23.399361
-23.0,20,23.414986
-23.0,20,23.56109
-64.5,101,23.59234
-64.5,101,23.61338
-18.0,10,23.628994
-64.5,101,24.120101
-64.5,101,24.362757
-64.5,101,24.381774
-64.5,101,24.401793
-18.5,11,24.451839
12.428572,12,24.478862
-20.5,15,24.562444
13.357142,13,24.562444
-21.5,17,24.677831
-64.5,101,24.858802
-19.5,13,24.947133
-64.5,101,25.042034
15.357142,9,25.10309
-64.5,101,25.255227
-64.5,101,25.378339
3.642857,21,25.515384
-21.0,16,25.630194
-64.5,101,25.651235
-18.0,10,25.729328
-64.5,101,25.815229
-28.5,31,25.847919
-64.5,101,25.946993
11.428572,14,26.031204
-31.5,37,26.062453
4.142857,20,26.177223
-64.5,101,26.440804
-64.5,101,26.585721
-19.5,13,26.662211
-22.0,18,26.793765
-64.5,101,26.799052
10.071428,11,26.861521
-19.5,13,26.861521
-64.5,101,26.892771
-21.0,16,27.005667
-18.0,10,27.057937
-64.5,101,27.120437
-1.7857141,29,27.256411
7.0714283,17,27.387677
-64.5,101,27.575241
-64.5,101,27.58525
-25.5,25,27.58525
-27.0,28,27.787434
-64.5,101,27.870511
-27.5,29,28.098966
-26.5,27,28.282132
-64.5,101,28.316719
-64.5,101,28.316719
-22.0,18,28.419281
-64.5,101,28.487995
-28.0,30,28.510521
11.857142,16,28.539547
-19.0,12,28.571576
11.785714,19,28.710702
-16.5,7,28.757745
6.0,22,28.884212
-64.5,101,28.952076
-64.5,101,29.214171
-64.5,101,29.235252
-19.0,12,29.336438
-22.5,19,29.466633
-18.0,10,29.541004
-64.5,101,29.621076
-21.0,16,29.647101
-64.5,101,29.673124
-17.0,8,29.717901
5.642857,17,29.841804
-64.5,101,33.947928
-64.5,101,34.356299
-64.5,101,34.389329
-24.0,22,34.51244
-64.5,101,34.592512
-30.0,34,34.622095
-64.5,101,34.656514
-19.0,12,34.656514
14.357142,11,34.722173
-20.5,15,34.753423
-21.0,16,34.821899
-21.5,17,34.936679
-64.5,101,35.186899
-64.5,101,35.309119
-64.5,101,35.474269
-24.5,23,35.491285
-19.0,12,35.561349
-18.5,11,35.644424
-64.5,101,35.689465
9.571428,12,35.729502
5.142857,18,35.821585
7.142857,14,35.830593
10.571428,10,35.895653
-20.0,14,35.938692
-64.5,101,35.9477
7.0714283,17,36.030775
9.071428,13,36.039783
10.928572,15,36.063805
-21.0,16,36.151807
5.0,24,36.201854
-64.5,101,36.227878
11.857142,16,36.258906
-19.5,13,36.284929
-24.0,22,36.362709
-21.0,16,36.492626
-29.5,33,36.717109
-64.5,101,36.758147
5.642857,17,36.878256
13.857142,12,36.953324
-64.5,101,36.99236
-64.5,101,37.017382
-3.857143,36,37.025246
12.357142,15,37.109986
4.4285717,28,37.129003
7.5,19,37.141997
7.642857,13,37.208706
-19.5,13,37.224319
-19.0,12,37.283482
4.5714283,22,37.380571
-24.5,23,37.450634
-21.5,17,37.507685
3.7142859,18,37.627795
-64.5,101,37.659825
-25.0,24,37.788941
-64.5,101,37.788941
-18.5,11,37.864009
6.642857,15,37.892035
-64.5,101,38.154906
0.0714283,31,38.374166
-64.5,101,38.374166
-26.0,26,38.564339
-64.5,101,38.576557
-64.5,101,38.607795
10.0,14,38.644451
10.0,14,38.691326
-21.5,17,38.746861
8.642857,11,38.774887
12.785714,17,38.865969
-23.0,20,38.913012
-64.5,101,39.082165
-17.0,8,39.127055
-22.5,19,39.257517
-64.5,101,39.345224
10.071428,11,39.415943
7.8571424,24,39.415943
9.0,16,39.509581
-64.5,101,39.509581
-64.5,101,39.562767
-17.5,9,39.578391
-27.0,28,39.594016
-22.5,19,39.636067
8.571428,14,39.668097
6.642857,15,39.687114
-18.5,11,39.706131
9.071428,13,39.753174
8.071428,15,39.802218
8.571428,14,39.841254
-27.0,28,39.868279
11.928572,13,39.887296
-19.0,12,39.944347
-21.0,16,39.988387
12.0,10,40.060077
-21.5,17,40.060077
1.3571424,37,40.075701
7.5714283,16,40.168519
-23.0,20,40.199547
-64.5,101,40.235578
-22.5,19,40.305643
10.071428,11,40.378709
-64.5,101,40.797968
-64.5,101,45.152237
-21.5,17,45.159244
-64.5,101,45.190272
-64.5,101,45.328398
3.4285717,30,45.35242
-29.5,33,45.3813
12.0,10,45.3813
4.214286,17,45.502133
-25.5,25,45.549008
-17.5,9,45.570003
-19.5,13,45.632491
11.0,12,45.732216
8.571428,14,45.837106
-64.5,101,45.893156
5.714286,14,45.931191
-20.0,14,45.986242
8.071428,15,46.031282
-64.5,101,46.057306
-22.0,18,46.100647
8.571428,14,46.134962
-22.5,19,46.213064
-19.5,13,46.213064
