#{"t_start": 1654723493.0786195, "env_id": null}
r,l,t
6.142857,16,0.182166
-26.0,26,0.2573
-19.5,13,0.345321
-23.5,21,0.489452
-18.5,11,0.570526
-22.5,19,0.721663
-64.5,101,0.810745
-64.5,101,0.810745
-64.5,101,0.935067
-29.0,32,0.975119
1.6428571,25,1.009407
8.571428,14,1.052449
-21.0,16,1.109543
-22.0,18,1.155585
-20.5,15,1.1726
-21.0,16,1.236658
-18.5,11,1.245666
7.642857,13,1.33775
13.5,7,1.384793
-20.0,14,1.477877
-64.5,101,1.59098
11.071428,9,1.664047
-64.5,101,1.947406
-64.5,101,2.020952
-19.0,12,2.117795
-64.5,101,2.289491
8.857142,22,2.298499
-22.0,18,2.417607
-23.0,20,2.436625
-64.5,101,2.448636
-18.5,11,2.506688
8.0,18,2.534714
14.285714,14,2.543722
-23.5,21,2.688854
-64.5,101,2.701867
1.5714283,28,2.741902
-19.5,13,2.791948
-33.5,41,2.799955
6.0,22,2.835988
-22.0,18,2.86101
-22.0,18,2.913058
4.642857,19,3.032165
6.9285717,23,3.19131
2.5714283,26,3.381483
-64.5,101,3.494586
-64.5,101,3.541628
-64.5,101,3.568653
-25.5,25,3.669745
-24.0,22,3.723794
6.9285717,23,3.830891
-22.5,19,3.857916
-24.0,22,3.980026
12.5,9,4.047087
-64.5,101,4.110145
-19.5,13,4.150181
-18.0,10,4.22625
-64.5,101,4.263284
2.9285717,31,4.483484
-20.0,14,4.580572
-64.5,101,4.581573
-20.0,14,4.686668
6.642857,15,4.693675
6.142857,16,4.792765
-64.5,101,4.833802
-25.5,25,4.868834
7.5714283,16,4.905867
-64.5,101,4.938908
-21.0,16,4.986952
-19.5,13,5.042002
6.9285717,23,5.234682
-26.0,26,5.420851
-21.0,16,5.545964
-64.5,101,5.599012
-64.5,101,5.672079
-64.5,101,5.741141
-21.0,16,5.849239
-32.0,38,5.858248
8.0,18,5.993371
-25.0,24,6.16853
-64.5,101,6.264617
1.5,31,6.374717
-64.5,101,6.390731
-19.0,12,6.475319
-64.5,101,6.575364
-24.0,22,6.714518
-64.5,101,6.925478
-64.5,101,7.034576
-64.5,101,7.124658
-31.0,36,7.155687
-22.0,18,7.235759
-18.5,11,20.895889
-64.5,101,20.945943
-20.0,14,21.043984
-25.0,24,21.218969
-64.5,101,21.303181
-19.0,12,21.303181
-64.5,101,21.428203
-64.5,101,21.60142
7.9285717,21,21.750587
-64.5,101,21.984835
-64.5,101,21.985836
-64.5,101,22.105114
5.714286,14,22.198216
-64.5,101,22.416418
2.7857141,37,22.454452
-22.0,18,22.528523
-21.5,17,22.564556
-64.5,101,22.669652
-64.5,101,22.669652
-23.5,21,22.682663
-21.0,16,22.791762
-64.5,101,23.259187
-64.5,101,23.350269
-64.5,101,23.366287
-17.5,9,23.410336
-19.5,13,23.447384
-64.5,101,23.454385
7.142857,14,23.539973
-24.0,22,23.54799
9.0,16,23.54799
-21.0,16,23.653536
-22.5,19,23.66855
5.8571424,28,23.729606
7.642857,13,23.812681
-64.5,101,23.919778
-21.0,16,24.034883
-64.5,101,24.34016
-64.5,101,24.357175
-17.5,9,24.418231
-64.5,101,24.506311
10.857142,18,24.533334
-3.0714283,43,24.620414
-21.0,16,24.633426
-64.5,101,24.700777
-20.5,15,24.713788
0.0,34,24.720795
-23.5,21,24.769838
6.5714283,18,24.818883
9.5,15,24.861923
-22.5,19,24.935989
10.5,13,24.942996
11.0,12,25.009056
-22.5,19,25.06911
14.857142,10,25.082122
-0.28571415,26,25.255279
6.5714283,18,25.379392
-64.5,101,25.379392
-64.5,101,25.3884
4.142857,20,25.548545
-26.5,27,25.587582
7.4285717,22,25.704688
6.4285717,24,25.761739
-64.5,101,25.792767
-18.5,11,25.871839
7.0,20,26.034988
-64.5,101,26.160101
-23.5,21,26.210146
-18.5,11,26.300228
-19.0,12,26.389309
-64.5,101,26.4874
-34.5,43,26.4874
-64.5,101,26.542449
-22.0,18,26.605506
-4.785714,35,26.627526
12.785714,17,26.718609
-20.5,15,26.820701
14.428572,8,26.875751
-64.5,101,27.191038
-64.5,101,27.251092
-18.0,10,27.31415
-64.5,101,27.335168
-18.5,11,27.40323
-22.0,18,27.431256
-64.5,101,27.572384
9.142857,10,27.633439
7.5714283,16,43.317687
-19.5,13,43.407769
-64.5,101,43.440798
10.428572,16,43.556903
-64.5,101,43.71905
-64.5,101,43.75108
-27.0,28,43.779105
-17.5,9,43.81714
-24.5,23,43.958268
-20.5,15,44.052353
-64.5,101,44.221507
-22.5,19,44.376648
-64.5,101,44.482249
12.357142,15,44.495261
-64.5,101,44.572344
14.285714,14,44.664447
2.5714283,26,44.671455
-64.5,101,44.790585
5.0714283,21,44.803599
6.5,21,44.810608
10.071428,11,44.85866
11.0,12,44.884687
13.857142,12,44.933744
11.071428,9,44.940753
3.0714283,25,44.959777
-64.5,101,45.133576
8.0,18,45.26069
11.928572,13,45.351826
-64.5,101,45.589293
-64.5,101,45.5973
-4.9285717,41,45.613314
-64.5,101,45.621322
-17.5,9,45.657364
-17.5,9,45.66437
-20.5,15,45.713423
-20.0,14,45.744458
2.2142859,21,45.842581
3.642857,21,45.873615
-18.0,10,45.904649
-21.5,17,46.00978
8.5,17,46.115898
-20.5,15,46.22002
-64.5,101,46.272581
-64.5,101,46.319624
12.5,9,46.341644
-21.0,16,46.467758
6.5,21,46.48077
-64.5,101,46.571853
-22.0,18,46.610888
-25.0,24,46.639916
-18.0,10,46.646921
6.5,21,46.744009
5.0714283,21,46.774036
2.642857,23,46.781043
