#{"t_start": 1654759530.8623004, "env_id": null}
r,l,t
6.142857,16,0.202814
-26.0,26,0.279465
-19.5,13,0.364614
-23.5,21,0.521645
-18.5,11,0.618392
-22.5,19,0.783962
-64.5,101,1.308846
-64.5,101,1.308846
-19.5,13,1.326681
-19.5,13,1.424847
12.857142,14,1.45609
-64.5,101,1.45609
6.5714283,18,1.47171
-19.5,13,1.570355
7.642857,13,1.588362
0.21428585,25,1.69131
-24.5,23,1.773765
-19.5,13,1.804993
3.0,28,2.02252
-26.5,27,2.034531
-21.5,17,2.171173
13.357142,13,2.654453
-64.5,101,2.685703
3.642857,21,2.817264
-64.5,101,2.817264
8.357142,23,2.852757
-17.5,9,2.868382
-17.0,8,2.936499
-25.5,25,2.983363
4.4285717,28,3.137846
2.2142859,21,3.157667
-64.5,101,3.174561
-20.0,14,3.274465
5.0,24,3.685808
4.5,25,3.685808
-22.0,18,3.76935
-20.0,14,3.784975
-19.0,12,3.853139
-64.5,101,3.946877
-28.5,31,4.083078
-64.5,101,5.155015
-64.5,101,5.286095
-22.5,19,5.322757
-64.5,101,5.45933
4.5,25,5.474919
-26.5,27,5.537417
-64.5,101,5.605404
8.5,17,5.689043
-27.0,28,5.72704
-3.9285717,39,6.407011
-64.5,101,6.711571
-64.5,101,6.841783
-64.5,101,6.950474
13.357142,13,7.039954
-64.5,101,7.574635
10.5,13,7.673747
-64.5,101,7.827859
-22.0,18,7.959982
-64.5,101,7.959982
6.0714283,19,8.106062
-64.5,101,8.158881
-27.0,28,8.174506
-22.0,18,8.2516
-22.0,18,8.65435
8.642857,11,8.6856
-64.5,101,8.79179
2.142857,24,8.87614
8.571428,14,8.891765
-64.5,101,9.297787
-64.5,101,9.778084
-23.0,20,9.80931
5.0714283,21,9.924106
-64.5,101,9.97639
-64.5,101,10.007608
9.571428,12,10.098135
-21.5,17,10.11376
2.5714283,26,10.129385
-64.5,101,10.895784
7.5,19,11.026198
-21.0,16,11.144582
-64.5,101,11.175832
-64.5,101,11.191457
-64.5,101,11.207082
-24.0,22,11.309801
8.5,17,11.309801
-17.5,9,11.377759
5.214286,15,11.476944
-2.357143,33,11.545578
11.428572,14,11.977532
-64.5,101,12.297267
-64.5,101,12.328516
8.642857,11,12.427821
-22.0,18,12.589678
-64.5,101,13.080588
-64.5,101,13.127452
-21.0,16,13.239177
-22.0,18,13.347463
-64.5,101,13.425726
-22.0,18,13.545856
-64.5,101,13.639584
-21.5,17,13.661248
-64.5,101,14.132207
2.7142859,20,14.147832
11.857142,16,14.270725
8.357142,23,14.430306
-64.5,101,14.430306
-64.5,101,14.766064
-64.5,101,15.269938
-20.5,15,15.366019
-64.5,101,15.533257
-64.5,101,15.533257
-64.5,101,15.829161
12.0,10,15.914239
-64.5,101,16.4494
-34.0,42,16.564166
-64.5,101,16.595417
-64.5,101,16.611041
10.071428,11,16.663311
-27.5,29,16.835259
5.0,24,16.850884
4.9285717,27,17.051521
-0.78571415,27,17.429993
8.5,17,17.578581
-64.5,101,17.599547
-18.5,11,17.713003
-64.5,101,17.799338
-64.5,101,18.566684
-18.0,10,18.650284
-64.5,101,18.726991
8.5,17,18.783279
-64.5,101,18.830155
-18.5,11,18.929364
-64.5,101,18.929364
