#{"t_start": 1655370208.3825672, "env_id": null}
r,l,t
16.214285,13,0.965234
3.2857141,16,0.990257
11.714285,22,1.036299
-18.5,11,1.054316
-21.0,16,1.158411
-24.0,22,1.158411
5.285714,32,1.29282
0.0714286,11,1.382903
-17.5,9,1.456117
-64.5,101,1.640824
-0.07142854,17,1.749498
-64.5,101,1.910796
-64.5,101,1.910796
-17.0,8,1.970866
-5.785714,37,2.019417
-22.0,18,2.035041
6.642857,15,2.14736
-64.5,101,2.178598
-24.5,23,2.197641
12.928572,11,2.268025
-21.0,16,2.268025
-22.0,18,2.410154
-43.5,61,2.691409
-64.5,101,2.761474
-0.21428585,23,2.864567
-20.5,15,2.874577
-64.5,101,3.074758
-12.214286,27,3.082765
18.214285,9,3.15483
-64.5,101,3.218889
4.785714,13,3.255922
5.214286,15,3.317986
-23.0,20,3.374564
13.714285,18,3.413964
13.214285,19,3.533477
-64.5,101,3.561335
14.714285,16,3.655072
-26.5,27,3.698567
-64.5,101,3.729806
-31.0,36,3.967678
-64.5,101,4.010717
13.142857,22,4.1018
-64.5,101,4.281392
-64.5,101,4.328266
2.2857141,18,4.432523
-25.5,25,4.432523
-64.5,101,4.619036
-4.214286,31,4.633049
12.857142,14,4.718035
-64.5,101,4.718035
-23.0,20,4.766263
-25.5,25,4.881181
-22.0,18,4.881181
0.5714286,10,4.949769
-64.5,101,5.080278
12.5,9,5.127153
9.714285,26,5.294864
-64.5,101,5.353014
-19.0,12,5.384043
-64.5,101,5.529174
-26.5,27,5.561203
-64.5,101,5.582516
15.714285,14,5.619981
-22.0,18,5.698082
-22.5,19,5.732436
-18.0,10,5.750528
-35.5,45,5.833818
-2.142857,24,5.900543
-64.5,101,5.984173
-64.5,101,6.384216
-64.5,101,6.499107
-64.5,101,6.567209
-19.5,13,6.659122
-64.5,101,6.659122
15.214285,15,6.747958
0.28571415,22,6.800334
7.5,19,6.937141
-64.5,101,7.037094
-64.5,101,7.150562
-1.9285715,15,7.243646
-64.5,101,7.385031
-64.5,101,7.533459
