#{"t_start": 1655463070.3364198, "env_id": null}
r,l,t
-28.75,91,0.456162
-30.5,98,0.487192
-36.75,103,0.50821
-48.25,155,0.707391
-41.0,100,0.840512
-32.0,72,1.112759
-69.25,251,1.484279
-70.75,251,1.504297
-28.75,45,1.675452
-69.25,251,1.703478
-25.5,78,1.803025
-32.5,62,1.937474
-69.25,251,2.153284
-69.25,251,2.701637
-70.25,251,2.77443
-69.25,251,2.880919
-24.25,73,2.947437
-72.75,251,3.045647
-39.75,87,3.332344
-43.0,146,3.356366
-65.25,207,3.45088
-77.25,251,3.727479
-56.75,203,3.980942
-69.25,251,4.158779
-71.25,251,4.250863
-23.0,20,4.318326
-46.5,162,4.508498
-74.25,251,4.561547
-70.75,251,4.988576
-69.25,251,5.146255
-70.75,251,5.345898
-25.0,76,5.399936
-79.25,251,5.399936
-27.75,75,5.687772
-71.25,251,5.897962
-41.75,143,5.952012
-61.0,196,6.08313
-71.75,251,6.6117
-69.25,251,6.794868
-72.25,251,6.860927
-69.25,251,7.003056
-43.5,150,7.154194
-29.25,93,7.199234
-79.25,251,7.67821
-71.5,210,7.716087
-69.25,251,7.984082
-76.75,251,8.03714
-41.75,143,8.202657
-36.25,85,8.517396
-75.75,251,8.554301
-65.5,190,8.668933
-60.5,188,8.686924
-34.75,69,8.780875
-46.5,118,9.086022
-69.25,251,9.336901
-69.25,251,9.489669
-69.25,251,9.608999
-47.25,165,9.880157
-74.25,251,9.90338
-75.75,251,10.319065
-56.75,155,10.394133
-69.25,251,10.43617
-65.25,237,10.73985
-26.25,81,10.994085
-69.25,251,11.240893
-62.25,223,11.264915
-77.25,251,11.322968
-26.5,30,11.369009
-25.75,29,11.431066
-26.0,30,11.536161
-31.5,48,11.54617
-56.75,185,11.873896
-74.75,251,11.902922
-28.5,50,12.022434
-69.25,251,12.346172
-69.25,251,12.355181
-31.75,103,12.373197
-78.25,251,12.7852
-63.5,196,13.104177
-79.75,251,13.29894
-71.75,251,13.306948
-69.25,251,13.784172
-69.25,251,14.135114
-69.75,251,14.319993
-72.75,251,14.335619
-56.75,161,26.967288
-69.25,251,26.967288
-38.0,128,27.03418
-69.25,251,27.392161
-21.0,6,27.407787
-69.25,251,27.733583
-69.25,251,27.733583
-69.25,251,27.785445
-19.75,43,27.930436
-30.75,81,27.99294
-69.25,251,28.189222
-51.75,157,28.401278
-29.75,95,28.46892
-69.25,251,28.515796
-75.75,251,28.758973
-44.5,138,28.825837
-31.25,101,29.069004
-69.25,251,29.245915
-76.25,251,29.281577
-26.75,37,29.359708
-25.25,33,29.457871
-43.0,148,29.524729
-76.25,251,29.607261
-39.0,118,29.654138
-32.0,104,29.913466
-44.5,154,29.929093
-26.0,30,30.011578
-69.25,251,30.290514
-70.75,251,30.419912
-53.5,150,30.466791
-73.75,251,30.710436
-31.75,81,30.953665
-56.25,181,31.03615
-69.25,251,31.067403
-78.75,251,31.202256
-31.0,86,31.312727
-34.0,76,31.543497
-70.75,251,31.735356
-49.75,175,31.735356
-69.25,251,31.833466
-37.5,126,32.112636
-53.5,166,32.226476
-69.25,251,32.28898
-34.75,71,32.454026
-37.5,126,32.500905
-27.75,85,32.568448
-73.75,251,32.615325
-55.25,157,32.941198
-36.0,118,32.97245
-35.5,82,33.215587
-69.25,251,33.267442
-69.25,251,33.345573
-40.5,138,33.655766
-69.25,251,33.707205
-54.5,194,33.935602
-69.25,251,34.049411
-50.75,147,34.38639
-69.25,251,34.421979
-38.0,128,34.437606
-69.25,251,34.484484
-45.25,109,34.763904
-69.25,251,35.136461
-69.75,251,35.167713
-66.25,241,35.203388
-19.0,52,35.300781
-69.25,251,35.530068
-42.5,146,35.659422
-77.75,251,35.949532
-69.25,251,36.063948
-31.0,50,36.11537
-69.25,251,36.32518
-69.25,251,36.472598
-28.0,44,36.617627
-51.25,143,36.814689
-66.5,238,36.877193
-70.75,251,36.944099
-40.0,122,37.011166
-39.0,84,37.203026
-35.5,118,37.23865
-31.5,66,37.415509
-39.0,88,37.513606
-23.5,16,37.560485
-69.25,251,37.596243
-69.75,251,37.804906
-29.75,93,37.870694
-69.75,251,38.269059
-41.5,134,38.286074
-75.25,251,38.480074
-69.25,251,38.859821
-40.25,95,38.9067
-73.75,251,39.185555
-69.75,251,39.201181
-41.75,143,52.237022
-40.0,136,52.252648
-25.0,76,52.382123
-30.0,80,52.496495
-37.25,95,52.56336
-31.25,55,52.69272
-44.5,134,52.837792
-69.25,251,52.951539
-47.25,139,53.018431
-31.25,53,53.179714
-31.75,103,53.277852
-69.25,251,53.478317
-35.5,72,53.509569
-74.75,251,53.623406
-31.5,52,53.639033
-70.75,251,53.96533
-38.25,111,53.980956
-69.25,251,54.275421
-71.75,251,54.389164
-33.75,89,54.664138
-69.25,251,54.731101
-78.75,251,54.762353
-33.5,66,54.989982
-69.25,251,55.103909
-42.75,95,55.399013
-69.75,251,55.528482
-74.25,251,55.626595
-67.5,206,55.657847
-30.5,98,55.934894
-37.75,115,56.030915
-68.25,203,56.066586
-69.25,251,56.309734
-43.0,130,56.340987
-36.75,117,56.392284
-24.25,61,56.600431
-69.25,251,56.863533
-69.25,251,57.122579
-78.75,251,57.153831
-46.25,151,57.350655
-70.75,251,57.397535
-36.0,100,57.46439
-44.75,143,57.578124
-40.25,85,57.660689
-34.25,113,57.92011
-70.75,251,58.116386
-74.25,251,58.230186
-69.25,251,58.4221
-42.5,102,58.4221
-69.25,251,58.685982
-69.25,251,58.99165
-37.5,116,59.042915
-69.25,251,59.20355
-69.25,251,59.20355
-22.5,66,59.271012
-44.5,154,59.514104
-28.25,89,59.514104
-32.75,107,59.627932
-31.25,47,59.77316
-70.75,251,60.016978
-62.25,225,60.213211
-73.25,251,60.295998
-29.5,46,60.456833
-78.25,251,60.555035
-49.25,173,60.570661
-38.5,80,60.814496
-69.5,208,60.881321
-76.75,251,61.23824
-70.75,251,61.35261
-40.0,88,61.51756
-79.75,251,61.59569
-73.75,251,61.662615
-69.25,251,62.102747
-28.25,43,62.232171
-69.25,251,62.263424
-69.25,251,62.361607
-70.75,251,62.427211
-34.25,95,62.542175
-28.25,45,62.557799
-74.75,251,63.02917
-47.0,164,63.044796
-67.5,246,63.111682
-69.75,251,63.303597
-33.0,68,63.319224
-43.5,100,63.371213
-49.75,175,63.614375
-37.25,125,63.810596
-49.5,174,63.95559
-73.5,226,64.136864
-68.5,220,64.442958
-46.25,161,64.55683
-79.25,251,64.722688
-72.75,251,77.309279
-51.75,145,77.498178
-69.25,251,77.560681
-81.25,251,77.658931
-52.25,149,77.974214
-72.75,249,78.087988
-69.75,251,78.346746
-33.0,108,78.429897
-76.75,251,78.445524
-35.0,76,78.673056
-69.75,251,78.755591
-69.25,251,79.144627
-69.25,251,79.227119
-51.25,153,79.258371
-33.5,66,79.403355
-74.75,251,79.532723
-43.75,151,79.780949
-74.75,251,80.055404
-70.75,251,80.184768
-69.25,251,80.314176
-24.5,74,80.427943
-69.25,251,80.558013
-71.75,251,80.836951
-38.5,130,80.966328
-29.5,46,80.997581
-69.25,251,81.126952
-69.25,251,81.261364
-27.75,49,81.421979
-50.75,131,81.437606
-44.75,155,81.68092
-69.25,251,81.925772
-67.25,201,82.173603
-36.75,73,82.189227
-70.75,251,82.337578
-69.25,251,82.566295
-37.75,127,82.778227
-36.0,70,83.005681
-69.25,251,83.005681
-69.25,251,83.021307
-41.5,106,83.347609
-69.25,251,83.410112
-45.0,140,83.461602
-41.5,142,83.477225
-33.25,109,83.704963
-62.5,198,84.129715
-69.25,251,84.223566
-69.25,251,84.274707
-41.5,112,84.470941
-69.25,251,84.502194
-39.25,109,84.549072
-40.5,96,84.797326
-50.5,134,84.973562
-69.25,251,85.056036
-37.0,72,85.232322
-69.25,251,85.284181
-33.75,111,85.558711
-77.25,251,85.610027
-69.25,251,85.853151
-30.0,96,85.853151
-36.75,91,85.884403
-69.25,251,86.065634
-38.5,130,86.488473
-74.75,251,86.701133
-69.75,251,86.716759
-69.25,251,86.736865
-33.5,70,86.928794
-69.25,251,87.306516
-48.5,170,87.440168
-69.25,251,87.487048
-69.75,251,87.502675
-41.5,128,87.699605
-29.25,49,87.86026
-40.25,137,87.958445
-60.75,177,88.026078
-67.25,201,88.139873
-30.75,99,88.269299
-69.25,251,88.657438
-69.25,251,88.807635
-75.25,251,88.937018
12.522727,1,88.952643
-36.25,121,89.082088
-72.25,251,89.11334
-27.0,32,89.211453
-41.75,143,89.309557
-74.75,251,89.76218
-69.25,251,89.891978
-70.75,251,89.990231
-29.75,49,90.0421
-69.25,251,90.088977
-52.25,185,102.835166
-37.75,127,102.882044
-40.5,114,102.949017
-71.75,251,103.342138
-61.5,188,103.455889
-33.25,89,103.636623
-69.25,251,103.724992
-72.75,251,103.772892
-37.5,102,103.953561
-31.25,101,104.083137
-69.25,251,104.243835
-27.25,37,104.357655
-69.25,251,104.487918
-59.25,177,104.621699
-26.0,70,104.699837
-74.25,251,104.715454
-69.25,251,105.124288
-49.0,172,105.15554
-71.25,211,105.39871
-69.25,251,105.532557
-32.0,54,105.595061
-37.25,125,105.610687
-69.25,251,105.968167
-26.5,30,106.066283
-24.5,74,106.278238
-74.75,251,106.30949
-69.25,251,106.37634
-69.25,251,106.37634
-28.75,39,106.553444
-35.75,103,106.703125
-42.5,114,106.832486
-33.0,108,106.946469
-69.25,251,107.206138
-63.75,217,107.484861
-38.0,128,107.645525
-69.75,251,107.696773
-30.25,73,107.728024
-73.75,251,107.810073
13.386364,23,107.873879
-50.0,138,108.168223
-44.0,152,108.18385
-58.75,211,108.328937
-47.75,167,108.411423
-27.25,35,108.525651
-54.75,153,108.639423
-41.75,117,108.701926
-34.0,100,108.835761
-41.75,105,108.980736
-69.25,251,108.980736
-76.25,251,109.467681
-53.0,188,109.550245
-70.25,251,109.597124
-69.5,242,109.711053
-39.25,83,109.861342
-35.25,117,109.90822
-78.75,251,110.233886
-52.0,184,110.492653
-71.25,251,110.50828
-58.5,210,110.523906
-75.75,251,111.030813
-27.5,72,111.274527
-69.25,251,111.290153
-70.75,251,111.305779
-74.25,251,111.321405
-31.0,76,111.600194
-41.0,102,111.662699
-41.25,135,111.745203
-50.25,137,111.76083
-45.25,157,112.216504
-72.25,251,112.3658
-75.25,251,112.428304
-70.75,251,112.5265
-47.75,167,112.884256
-69.25,251,113.013625
-35.25,73,113.142969
-71.25,251,113.256743
-69.75,251,113.355425
-33.5,110,113.504948
-47.75,167,113.763736
-40.5,138,113.779362
-69.25,251,113.810614
-44.25,153,114.235192
-69.25,251,114.266444
-45.25,157,114.28207
-69.25,251,114.529601
-33.5,110,114.576478
-70.75,251,115.063966
-71.75,251,115.096357
-69.25,251,115.343338
-72.25,251,115.390218
-49.0,168,115.586494
-75.75,251,127.751614
