#{"t_start": 1654719173.5196412, "env_id": null}
r,l,t
6.142857,16,0.259236
-26.0,26,0.362329
-19.5,13,0.579527
-23.5,21,0.778707
-18.5,11,0.899817
-22.5,19,1.084995
-64.5,101,1.187175
-64.5,101,1.188175
-64.5,101,1.341548
-29.0,32,1.38859
1.6428571,25,1.425629
8.571428,14,1.472677
-21.0,16,1.532721
-22.0,18,1.584769
-20.5,15,1.601784
-21.0,16,1.670846
-18.5,11,1.679854
7.642857,13,1.782948
13.5,7,1.843003
-20.0,14,1.964113
-64.5,101,2.091228
11.071428,9,2.1703
-64.5,101,2.513982
-64.5,101,2.609068
-19.0,12,2.725417
-64.5,101,2.913588
8.857142,22,2.923597
-22.0,18,3.074734
-23.0,20,3.100757
-64.5,101,3.121777
-18.5,11,3.209857
8.0,18,3.250894
14.285714,14,3.259902
-23.5,21,3.430057
-64.5,101,3.448073
1.5714283,28,3.498119
-19.5,13,3.560175
-33.5,41,3.570184
6.0,22,3.624233
-22.0,18,3.660266
-22.0,18,3.727327
4.642857,19,3.88547
6.9285717,23,4.086653
2.5714283,26,4.316862
-64.5,101,4.441976
-64.5,101,4.512039
-64.5,101,4.54607
-25.5,25,4.673186
-24.0,22,4.748254
6.9285717,23,4.879373
-22.5,19,4.911402
-24.0,22,5.069546
12.5,9,5.146616
-64.5,101,5.215678
-19.5,13,5.256716
-18.0,10,5.348799
-64.5,101,5.405852
2.9285717,31,5.758172
-20.0,14,5.910309
-64.5,101,5.910309
-20.0,14,6.036424
6.642857,15,6.045432
6.142857,16,6.179559
-64.5,101,6.225595
-25.5,25,6.269635
7.5714283,16,6.322684
-64.5,101,6.361719
-21.0,16,6.419772
-19.5,13,6.479826
6.9285717,23,6.684012
-26.0,26,6.921227
-21.0,16,7.060354
-64.5,101,7.130418
-64.5,101,7.222501
-64.5,101,7.303575
-21.0,16,7.432692
-32.0,38,7.4417
8.0,18,7.586832
-25.0,24,7.802531
-64.5,101,7.925643
1.5,31,8.081785
-64.5,101,8.099801
-19.0,12,8.202894
-64.5,101,8.328008
-24.0,22,8.504168
-64.5,101,8.794432
-64.5,101,8.936561
-64.5,101,9.054668
-31.0,36,9.095705
-22.0,18,9.202803
