#{"t_start": 1655371694.9186451, "env_id": null}
r,l,t
17.166666,13,0.163269
6.7777777,16,0.181913
12.666666,22,0.225618
-18.5,11,0.241633
-21.0,16,0.335502
-24.0,22,0.335502
6.5555553,32,0.450341
4.833333,11,0.53742
-17.5,9,0.607435
-64.5,101,0.791588
4.0555553,17,0.922462
-64.5,101,1.075602
-64.5,101,1.075602
-17.0,8,1.136657
-2.6111107,37,1.181931
-22.0,18,1.197556
9.5,15,1.31211
-64.5,101,1.350705
-24.5,23,1.350705
14.833333,11,1.428818
-21.0,16,1.428818
-22.0,18,1.588714
-43.5,61,1.823499
-64.5,101,1.898602
3.2777777,23,2.009314
-20.5,15,2.01632
-64.5,101,2.190435
-6.5,27,2.199443
19.166666,9,2.269507
-64.5,101,2.336568
8.277778,13,2.374602
8.388889,15,2.449214
-23.0,20,2.526358
14.666666,18,2.578405
14.166666,19,2.734108
-64.5,101,2.749732
15.666666,16,2.833455
-26.5,27,2.898959
-64.5,101,2.924983
-31.0,36,3.160947
-64.5,101,3.20161
13.777779,22,3.285252
-64.5,101,3.447585
-64.5,101,3.493947
5.7777777,18,3.605803
-25.5,25,3.605803
-64.5,101,3.768847
-0.7222223,31,3.784472
14.444445,14,3.852303
-64.5,101,3.867929
-23.0,20,3.911183
-25.5,25,4.023285
-22.0,18,4.023285
5.333333,10,4.082411
-64.5,101,4.22209
14.722222,9,4.271878
10.666666,26,4.41926
-64.5,101,4.475311
-19.0,12,4.506339
-64.5,101,4.648468
-26.5,27,4.681498
-64.5,101,4.717531
16.666666,14,4.746557
-22.0,18,4.833637
-22.5,19,4.873672
-18.0,10,4.911707
-35.5,45,4.99178
1.6666665,24,5.074846
-64.5,101,5.168931
-64.5,101,5.531294
-64.5,101,5.642395
-64.5,101,5.722467
-19.5,13,5.800538
-64.5,101,5.800538
16.166666,15,5.898627
3.7777777,22,5.941666
9.722222,19,6.061775
-64.5,101,6.16587
-64.5,101,6.322056
2.8333333,15,6.423312
-64.5,101,6.579453
-64.5,101,6.743999
-19.0,12,11.020017
-64.5,101,11.069626
4.8888893,22,11.223442
-64.5,101,11.29951
9.5,15,11.417618
12.388889,7,11.459348
-64.5,101,11.481139
-30.5,35,11.481139
18.166666,11,11.543627
-20.5,15,11.638306
-30.5,35,11.705367
-64.5,101,11.730391
12.5,9,11.774442
-24.5,23,11.812465
-18.5,11,11.857505
-30.5,35,12.051809
-64.5,101,12.148897
-22.0,18,12.172918
9.388889,13,12.254993
-24.0,22,12.286021
7.6666665,12,12.327058
-18.0,10,12.386112
-64.5,101,12.398123
13.777779,22,12.418141
-64.5,101,12.501197
14.666666,18,12.508203
13.944445,15,12.590454
10.0,14,12.691594
13.555555,18,12.790817
5.5,23,12.93769
-64.5,101,13.021233
8.277778,13,13.021233
-64.5,101,13.052482
-21.0,16,13.120439
7.5,19,13.136064
-64.5,101,13.136064
6.9444447,9,13.194738
-64.5,101,13.659966
-64.5,101,13.722435
-64.5,101,13.738059
-64.5,101,13.790545
-22.0,18,13.868669
-20.5,15,13.889773
8.277778,13,13.967886
-19.5,13,14.051515
-20.0,14,14.146914
14.333333,12,14.210217
-64.5,101,14.294513
-64.5,101,14.37806
-64.5,101,14.508536
-32.0,38,14.753972
-64.5,101,14.853525
2.1666665,23,14.884774
-64.5,101,14.92209
-20.0,14,14.968953
-23.0,20,14.968953
-64.5,101,14.993734
-23.0,20,15.061565
-22.0,18,15.092814
-23.5,21,15.124064
10.333333,20,15.142878
9.833333,21,15.191987
-20.5,15,15.223237
-21.0,16,15.245903
-23.5,21,15.325105
-64.5,101,15.705401
-64.5,101,15.820182
-64.5,101,15.841347
-28.0,30,15.872586
-64.5,101,15.919461
9.111111,18,15.935087
10.5,13,15.956189
9.277778,11,16.003052
17.055555,11,16.034302
-33.0,40,16.290961
-30.0,34,16.487293
-64.5,101,16.487293
-64.5,101,16.570972
9.5,15,16.586598
14.055555,17,16.586598
-17.5,9,16.638994
-64.5,101,16.670228
-20.5,15,16.769411
-21.0,16,16.868669
-64.5,101,17.229355
-64.5,101,17.229355
-64.5,101,17.287262
8.777778,12,17.298297
-20.5,15,17.319443
6.2222223,26,21.201036
-64.5,101,21.249469
11.111111,14,21.30452
20.88889,10,21.367576
-19.5,13,21.454209
-24.0,22,21.604592
-64.5,101,21.650295
-64.5,101,21.6901
12.166666,23,21.832282
4.7777777,20,21.844293
-18.0,10,21.924366
-64.5,101,21.981418
12.333333,16,21.981418
-17.0,8,22.045475
4.2777777,21,22.108861
8.611111,19,22.138168
13.166666,21,22.213886
14.555555,16,22.263605
