#{"t_start": 1654723919.504853, "env_id": null}
r,l,t
6.142857,16,0.17716
-26.0,26,0.257233
-19.5,13,0.349316
-23.5,21,0.512465
-18.5,11,0.604548
-22.5,19,0.750681
-64.5,101,0.840763
-64.5,101,0.840763
-64.5,101,0.965877
-29.0,32,1.005913
1.6428571,25,1.039943
8.571428,14,1.081982
-21.0,16,1.139034
-22.0,18,1.188078
-20.5,15,1.204093
-21.0,16,1.265148
-18.5,11,1.272154
7.642857,13,1.362236
13.5,7,1.416286
-20.0,14,1.524384
-64.5,101,1.636486
11.071428,9,1.703008
-64.5,101,2.003723
-64.5,101,2.074011
-19.0,12,2.172681
-64.5,101,2.333827
8.857142,22,2.342836
-22.0,18,2.475957
-23.0,20,2.500981
-64.5,101,2.516994
-18.5,11,2.588058
8.0,18,2.620088
14.285714,14,2.639105
-23.5,21,2.771226
-64.5,101,2.784237
1.5714283,28,2.824273
-19.5,13,2.868313
-33.5,41,2.877322
6.0,22,2.925365
-22.0,18,2.957394
-22.0,18,3.023454
4.642857,19,3.163581
6.9285717,23,3.320751
2.5714283,26,3.507369
-64.5,101,3.605332
-64.5,101,3.656362
-64.5,101,3.687376
-25.5,25,3.785368
-24.0,22,3.843332
6.9285717,23,3.944357
-22.5,19,3.969326
-24.0,22,4.111379
12.5,9,4.183822
-64.5,101,4.24688
-19.5,13,4.286916
-18.0,10,4.36799
-64.5,101,4.411029
2.9285717,31,4.637234
-20.0,14,4.737325
-64.5,101,4.738326
-20.0,14,4.839418
6.642857,15,4.846424
6.142857,16,4.954522
-64.5,101,4.986552
-25.5,25,5.01858
7.5714283,16,5.056615
-64.5,101,5.081639
-21.0,16,5.119672
-19.5,13,5.162711
6.9285717,23,5.304841
-26.0,26,5.467988
-21.0,16,5.569081
-64.5,101,5.619126
-64.5,101,5.702201
-64.5,101,5.782274
-21.0,16,5.885368
-32.0,38,5.892374
8.0,18,6.026496
-25.0,24,6.21767
-64.5,101,6.330772
1.5,31,6.445877
-64.5,101,6.457888
-19.0,12,6.532956
-64.5,101,6.628042
-24.0,22,6.798197
-64.5,101,7.030113
-64.5,101,7.138729
-64.5,101,7.226108
-31.0,36,7.258137
-22.0,18,7.339211
-18.5,11,14.485507
-64.5,101,14.547564
-20.0,14,14.651658
-25.0,24,14.87386
-64.5,101,15.011985
-19.0,12,15.012986
-64.5,101,15.174132
-64.5,101,15.340284
7.9285717,21,15.475406
-64.5,101,15.734642
-64.5,101,15.735643
-64.5,101,15.852749
5.714286,14,15.946835
-64.5,101,16.167034
2.7857141,37,16.204069
-22.0,18,16.28214
-21.5,17,16.319172
-64.5,101,16.418262
-64.5,101,16.418262
-23.5,21,16.434277
-21.0,16,16.544377
-64.5,101,17.069854
-64.5,101,17.179954
-64.5,101,17.19697
-17.5,9,17.248016
-19.5,13,17.286051
-64.5,101,17.292056
7.142857,14,17.377133
-24.0,22,17.385141
9.0,16,17.385141
-21.0,16,17.487233
-22.5,19,17.501246
5.8571424,28,17.573312
7.642857,13,17.664395
-64.5,101,17.766488
-21.0,16,17.887597
-64.5,101,18.250927
-64.5,101,18.263939
-17.5,9,18.326996
-64.5,101,18.445104
10.857142,18,18.479137
-3.0714283,43,18.612256
-21.0,16,18.625268
-64.5,101,18.697332
-20.5,15,18.714853
0.0,34,18.721859
-23.5,21,18.773907
6.5714283,18,18.840968
9.5,15,18.903346
-22.5,19,18.999215
10.5,13,19.008223
11.0,12,19.09043
-22.5,19,19.150557
14.857142,10,19.163574
-0.28571415,26,19.343805
6.5714283,18,19.458881
-64.5,101,19.458881
-64.5,101,19.467891
4.142857,20,19.621034
-26.5,27,19.662208
7.4285717,22,19.774932
6.4285717,24,19.825978
-64.5,101,19.863012
-18.5,11,19.951092
7.0,20,20.093222
-64.5,101,20.203321
-23.5,21,20.250363
-18.5,11,20.331438
-19.0,12,20.409508
-64.5,101,20.497588
-34.5,43,20.498589
-64.5,101,20.551638
-22.0,18,20.6197
-4.785714,35,20.638718
12.785714,17,20.726293
-20.5,15,20.8233
14.428572,8,20.87621
-64.5,101,21.152207
-64.5,101,21.20721
-18.0,10,21.272242
-64.5,101,21.291259
-18.5,11,21.368294
-22.0,18,21.39329
-64.5,101,21.541293
9.142857,10,21.608294
7.5714283,16,25.53769
-19.5,13,25.623769
-64.5,101,25.649792
10.428572,16,25.726862
-64.5,101,25.872994
-64.5,101,25.902021
-27.0,28,25.930047
-17.5,9,25.970083
-19.5,13,26.023131
0.14285707,28,26.150246
3.642857,21,26.157253
9.5,15,26.260347
-26.5,27,26.328408
-64.5,101,26.335415
8.428572,20,26.386461
-22.5,19,26.458527
-20.5,15,26.48355
-64.5,101,26.5386
12.357142,15,26.551611
6.5714283,18,26.60566
9.071428,13,26.683732
2.5714283,26,26.720766
-20.0,14,26.77081
6.5,21,26.852885
11.0,12,26.93496
-64.5,101,26.98
10.071428,11,27.005023
11.0,12,27.056069
-64.5,101,27.204204
8.0,18,27.318309
11.928572,13,27.413394
-64.5,101,27.446424
-4.9285717,41,27.700655
-64.5,101,27.700655
-64.5,101,27.753703
-20.5,15,27.798744
-20.5,15,27.798744
12.785714,17,27.905841
2.2142859,21,27.930864
10.571428,10,27.99192
-23.0,20,28.031955
-64.5,101,28.11403
-20.5,15,28.212119
-64.5,101,28.426991
-1.7857141,29,28.426991
-19.0,12,28.515072
-26.0,26,28.60723
7.142857,14,28.60723
-64.5,101,28.683388
-20.5,15,28.703446
-64.5,101,28.722463
-24.0,22,28.75249
2.642857,23,28.873654
-27.0,28,29.067839
-21.0,16,29.211694
-18.5,11,29.281759
-64.5,101,29.395862
-64.5,101,29.418882
-64.5,101,29.466926
-25.0,24,29.575024
2.642857,23,29.61406
-20.0,14,29.663104
-25.0,24,29.762195
7.214286,11,29.831257
-64.5,101,29.935351
-24.5,23,29.979391
-64.5,101,30.049456
7.0714283,17,30.050457
4.5714283,22,30.133531
-22.0,18,30.174568
9.857142,20,30.18758
-23.5,21,30.267653
-64.5,101,30.317707
11.0,12,30.347734
-0.35714293,29,30.363929
7.5,19,30.480351
5.5,23,30.480351
-22.0,18,30.66552
-64.5,101,30.91875
-64.5,101,31.087904
-64.5,101,31.191998
-37.0,48,31.217021
-64.5,101,31.310105
-20.5,15,31.316111
-18.0,10,31.372162
-33.5,41,31.451233
5.8571424,28,31.489269
-18.5,11,31.523299
-27.0,28,31.664427
-37.5,49,31.677438
-64.5,101,31.724482
-20.5,15,31.761515
-21.0,16,31.825578
3.5,27,31.931669
-22.0,18,31.938676
-20.5,15,32.031762
-64.5,101,32.167884
-64.5,101,36.532271
-29.5,33,36.582318
-19.5,13,36.623396
-64.5,101,36.803791
-64.5,101,36.908891
