#{"t_start": 1654723411.554386, "env_id": null}
r,l,t
6.142857,16,0.178717
-26.0,26,0.25879
-19.5,13,0.353877
-23.5,21,0.502011
-18.5,11,0.586087
-22.5,19,0.720248
-64.5,101,0.813534
-64.5,101,0.813534
-64.5,101,0.93651
-29.0,32,0.97446
1.6428571,25,1.00757
8.571428,14,1.05149
-21.0,16,1.111752
-22.0,18,1.159796
-20.5,15,1.176812
-21.0,16,1.24087
-18.5,11,1.249878
7.642857,13,1.338958
13.5,7,1.391006
-20.0,14,1.502107
-64.5,101,1.618212
11.071428,9,1.689276
-64.5,101,2.000598
-64.5,101,2.078669
-19.0,12,2.196776
-64.5,101,2.38795
8.857142,22,2.396959
-22.0,18,2.533083
-23.0,20,2.557104
-64.5,101,2.573119
