#{"t_start": 1655454347.3751197, "env_id": null}
r,l,t
-37.5,91,1.03844
-41.0,98,1.134414
-53.5,101,1.168119
-51.5,101,1.168119
-62.0,100,2.289583
-45.5,101,2.370208
-43.5,101,2.406572
-44.5,101,2.406572
-29.5,29,2.681054
-44.0,72,3.046236
-37.0,46,3.211868
-45.5,101,3.435076
-43.5,101,3.466329
-44.5,101,4.101676
-40.5,93,4.164179
-44.5,101,4.486678
-51.5,101,4.517931
-51.0,88,5.066528
-42.5,101,5.133998
-30.0,28,5.32583
-45.5,101,5.490986
-59.5,101,5.522238
-47.5,101,6.117423
-43.5,101,6.313708
-41.5,91,6.396172
-52.5,101,6.521859
-44.5,101,7.106982
-61.0,90,7.268306
-44.5,101,7.319623
-43.5,101,7.495963
-46.5,101,8.123208
-56.5,89,8.170095
-51.5,101,8.335164
-44.5,101,8.511426
-57.5,101,9.115632
-43.5,101,9.158513
-50.5,101,9.324371
-51.5,101,9.516256
-46.5,101,10.081257
-52.5,101,10.116879
-45.5,101,10.292943
-46.5,101,10.489135
-38.0,40,10.693576
-64.5,101,11.077564
-44.5,101,11.119603
-44.5,101,11.503488
-58.5,101,11.720685
-42.0,52,12.085016
-57.5,101,12.175098
-44.5,101,12.22114
-39.5,65,12.44134
-40.5,51,12.78265
-61.5,101,13.181012
-45.5,101,13.287109
-44.5,61,13.469275
-44.5,101,13.594389
-45.5,101,14.357976
-56.5,101,14.471673
-44.5,101,14.657833
-56.5,101,14.768933
-60.5,89,15.493592
-45.5,101,15.517448
-44.5,101,15.765811
-44.5,101,15.874911
-31.5,77,16.370361
-60.5,101,16.587558
-46.5,101,16.876822
-55.5,101,16.982918
-31.0,28,17.169087
-52.5,101,17.422317
-41.0,44,17.437332
-69.5,101,17.646521
-62.5,91,18.127595
-43.5,101,18.481026
-46.5,101,18.481026
-65.5,101,18.685481
-61.5,101,19.133167
-54.0,82,19.292604
-43.5,101,19.484204
-45.0,96,19.64414
-47.5,77,19.938445
-44.5,101,20.317616
-45.5,101,20.482722
-45.5,101,20.643438
-51.5,101,20.915177
-44.5,101,21.376525
-57.0,88,21.43316
-45.5,101,21.700091
-31.5,79,21.753679
-38.0,38,22.147944
-44.5,101,22.433188
-43.5,101,22.493079
-45.5,101,22.793106
-44.5,101,23.262135
-53.5,101,23.520907
-44.5,101,23.567786
-50.5,101,23.867628
-57.5,101,24.289022
-55.5,101,24.524787
-45.5,101,24.58729
-51.5,101,24.888801
-45.5,101,25.321284
-57.5,101,25.594682
-45.5,101,25.64156
-57.5,101,25.959329
-48.0,66,26.304382
-43.5,101,26.386938
-51.5,101,26.716144
-65.5,101,27.018763
-45.5,101,27.338559
-45.5,101,27.436683
-33.5,33,27.658448
-47.5,101,27.739769
-48.5,101,28.058586
-54.5,101,28.47417
-55.5,87,28.58793
-43.5,101,28.803864
-62.5,101,29.092561
-54.5,101,29.490311
-56.5,101,29.594632
-48.5,101,29.805538
-50.5,101,30.107912
-44.5,101,30.613919
-46.0,72,30.618166
-44.5,101,30.738891
-44.5,101,31.220508
-50.0,92,31.528933
-44.5,101,31.622689
-52.5,101,31.716935
-46.5,101,32.214095
-51.0,74,32.279025
-57.0,90,32.657892
-46.5,101,32.678931
-43.5,101,33.222198
-45.5,101,33.298141
-48.5,101,33.639276
-44.5,101,33.654901
-62.5,101,34.247742
-45.5,101,34.32498
-44.5,101,34.677164
-44.5,101,34.692791
-43.5,101,35.332836
-43.5,101,35.415657
-61.5,101,35.765859
-43.5,101,35.781486
-38.0,44,36.287489
-46.5,101,36.4654
-44.5,101,36.544216
-43.5,101,36.88963
-46.5,101,37.282555
-45.5,101,37.443264
-60.5,101,37.518132
-46.5,101,37.88162
-9.5,30,38.181807
-46.5,101,38.302241
-43.5,101,38.462936
-43.5,101,38.545424
-41.0,60,39.028668
-48.5,101,39.182106
-52.5,77,39.311394
-46.5,101,39.312395
-50.5,101,40.082494
-60.0,88,40.184114
-44.5,101,40.202126
-44.5,101,40.326107
-44.5,101,41.132669
-58.5,97,41.217762
-65.5,101,41.28656
-44.5,101,41.463127
-43.0,48,41.737609
-47.5,101,56.980621
-57.5,101,57.0275
-47.5,101,57.162687
-44.5,101,57.410372
-48.0,94,57.949988
-44.5,101,58.073344
-65.5,101,58.17878
-44.5,101,58.415379
-45.5,101,58.905944
-46.5,101,59.01615
-46.5,101,59.137028
-51.5,101,59.365149
-59.5,101,59.913013
-35.0,60,59.984488
-53.5,101,60.035955
-66.5,101,60.170785
-38.5,45,60.618989
-44.5,101,60.975914
-60.5,101,61.036917
-45.5,101,61.112265
-46.5,101,61.716156
-65.5,101,62.069355
-68.5,101,62.135736
-46.5,101,62.187057
-45.5,101,62.75473
-47.5,73,62.899713
-44.0,86,62.915339
-43.5,101,63.155028
-45.5,101,63.767368
-55.5,101,63.932354
-43.5,101,63.947969
-66.5,101,64.156459
-53.5,101,64.771025
-50.5,71,64.884817
-63.5,101,64.982871
-69.5,101,64.998498
-44.5,101,65.821593
-44.5,101,65.904137
-50.5,101,65.970997
-52.5,101,65.986624
-46.5,101,66.858639
-44.5,101,66.952394
-46.5,101,67.0349
-63.5,101,67.054712
-52.5,101,67.988086
-43.5,101,68.099599
-48.5,101,68.177205
-49.5,101,68.177205
-37.0,38,68.625541
-44.0,84,68.936269
-44.0,84,69.110339
-43.5,101,69.208541
-43.5,101,69.755964
-44.5,101,70.094011
-44.5,101,70.271044
-65.5,101,70.36914
-44.5,101,70.889538
-43.5,101,71.209767
-44.5,101,71.386321
-49.5,101,71.50005
-45.5,101,72.006609
-45.5,101,72.325152
-43.5,101,72.521543
-42.0,100,72.61266
-27.5,17,72.794943
-45.5,101,73.127887
-44.5,101,73.410243
-46.5,93,73.508396
-51.0,82,73.712248
-45.5,101,74.180769
-59.0,88,74.344074
-67.5,101,74.579487
-58.5,101,74.696682
-47.0,60,74.782407
-46.5,101,75.345561
-57.0,88,75.431118
-52.5,101,75.712761
-67.5,101,75.795237
-45.5,101,76.372085
-46.5,101,76.446249
-44.5,101,76.713035
-34.5,39,76.744287
-45.5,101,76.791167
-54.5,101,77.467654
-48.5,69,77.487667
-54.5,101,77.79515
-44.5,101,77.830817
-33.5,83,78.412299
-44.5,101,78.568116
-21.0,14,78.71321
-44.5,101,78.846975
-68.5,101,78.893852
-63.5,101,79.545242
-43.5,101,79.881677
-44.5,101,80.042417
-58.5,101,80.080273
-64.5,101,80.65569
-44.5,101,80.995602
-46.0,94,81.066954
-43.5,101,81.161978
-67.5,101,81.668399
-49.5,79,81.881344
-60.5,99,81.9326
-57.5,101,82.012833
-44.5,101,82.666179
-61.5,101,82.919882
-45.5,101,82.966758
-43.5,101,83.033679
-46.5,101,83.739004
-48.5,73,83.739004
-43.5,101,84.004309
-54.5,101,84.121213
-37.0,46,84.219394
-60.5,101,84.804322
-56.5,101,85.059255
-44.5,101,85.184061
-50.5,101,85.3174
-43.5,101,85.835566
-46.5,101,86.071481
-45.5,101,86.19114
-43.5,101,86.304863
-44.5,101,86.818145
-46.0,60,86.866341
-46.5,101,87.043606
-45.5,101,87.159669
-35.5,39,87.206556
