#{"t_start": 1654727126.4642878, "env_id": null}
r,l,t
6.142857,16,0.174336
-26.0,26,0.249962
-19.5,13,0.335728
-23.5,21,0.490869
-18.5,11,0.607976
-22.5,19,0.724232
-64.5,101,0.82585
-64.5,101,0.826851
-64.5,101,0.940906
-29.0,32,0.995858
1.6428571,25,1.027887
8.571428,14,1.069926
-21.0,16,1.125977
-22.0,18,1.17402
-20.5,15,1.191036
-21.0,16,1.257095
-18.5,11,1.266104
7.642857,13,1.357187
13.5,7,1.409234
-20.0,14,1.518333
-64.5,101,1.622427
11.071428,9,1.689654
-64.5,101,1.961868
-64.5,101,2.035512
-19.0,12,2.129336
-64.5,101,2.274397
8.857142,22,2.290022
-22.0,18,2.432653
-23.0,20,2.456675
-64.5,101,2.475276
-18.5,11,2.543975
8.0,18,2.575214
14.285714,14,2.575214
-23.5,21,2.719006
-64.5,101,2.731017
1.5714283,28,2.790071
-19.5,13,2.857132
-33.5,41,2.869142
6.0,22,2.919188
-22.0,18,2.952218
-22.0,18,3.018278
4.642857,19,3.157404
6.9285717,23,3.33367
2.5714283,26,3.524845
-64.5,101,3.620931
-64.5,101,3.671977
-64.5,101,3.702004
-25.5,25,3.793031
-24.0,22,3.830404
6.9285717,23,3.929601
-22.5,19,3.960852
-24.0,22,4.079986
12.5,9,4.147657
-64.5,101,4.209713
-19.5,13,4.243744
-18.0,10,4.319813
-64.5,101,4.357847
2.9285717,31,4.559795
-20.0,14,4.651879
-64.5,101,4.651879
-20.0,14,4.745964
6.642857,15,4.753971
6.142857,16,4.852645
-64.5,101,4.889678
-25.5,25,4.925711
7.5714283,16,4.962744
-64.5,101,4.988768
-21.0,16,5.027804
-19.5,13,5.065747
6.9285717,23,5.226699
-26.0,26,5.405862
-21.0,16,5.51296
-64.5,101,5.564007
-64.5,101,5.638073
-64.5,101,5.703133
-21.0,16,5.807227
-32.0,38,5.814233
8.0,18,5.941348
-25.0,24,6.120511
-64.5,101,6.232613
1.5,31,6.356726
-64.5,101,6.371741
-19.0,12,6.463823
-64.5,101,6.573923
-24.0,22,6.711109
-64.5,101,6.925956
-64.5,101,7.028714
-64.5,101,7.143468
-31.0,36,7.174717
-22.0,18,7.277714
-18.5,11,11.815491
-64.5,101,11.878297
-20.0,14,11.972382
-25.0,24,12.11948
-64.5,101,12.187824
-19.0,12,12.187824
-64.5,101,12.318249
-64.5,101,12.495536
7.9285717,21,12.625897
-64.5,101,12.871094
-64.5,101,12.871094
-64.5,101,13.00146
5.714286,14,13.079584
-64.5,101,13.277857
2.7857141,37,13.31724
-22.0,18,13.40432
-21.5,17,13.435347
-64.5,101,13.524437
-64.5,101,13.524437
-23.5,21,13.53594
-21.0,16,13.628866
-64.5,101,14.095685
-64.5,101,14.18877
-64.5,101,14.203784
-17.5,9,14.249825
-19.5,13,14.287859
-64.5,101,14.294865
7.142857,14,14.384948
-24.0,22,14.391954
9.0,16,14.391954
-21.0,16,14.489753
-22.5,19,14.506768
5.8571424,28,14.571828
7.642857,13,14.654903
-64.5,101,14.737956
-21.0,16,14.837148
-64.5,101,15.129893
-64.5,101,15.145519
-17.5,9,15.202857
-64.5,101,15.290601
10.857142,18,15.321851
-3.0714283,43,15.405425
-21.0,16,15.42105
-64.5,101,15.483549
-20.5,15,15.502283
0.0,34,15.504582
-23.5,21,15.551434
6.5714283,18,15.598308
9.5,15,15.635814
-22.5,19,15.713939
10.5,13,15.713939
11.0,12,15.781843
-22.5,19,15.828717
14.857142,10,15.8505
-0.28571415,26,16.027784
6.5714283,18,16.14254
-64.5,101,16.14254
-64.5,101,16.14254
4.142857,20,16.27189
-26.5,27,16.321483
7.4285717,22,16.430089
6.4285717,24,16.480135
-64.5,101,16.506158
-18.5,11,16.575222
7.0,20,16.710344
