#{"t_start": 1655414896.101205, "env_id": null}
r,l,t
-37.5,91,1.123358
-41.0,98,1.220672
-53.5,101,1.320126
-44.5,101,1.320126
-43.5,101,2.387373
-45.5,101,2.455283
-47.5,101,2.502158
-69.5,101,2.502158
-61.5,101,3.407974
-45.5,101,3.475929
-53.5,101,3.554013
-43.5,101,3.554013
-44.5,101,4.44221
-47.5,101,4.525762
-50.5,101,4.602715
-67.5,101,4.602715
-37.5,49,5.126453
-47.5,101,5.542146
-50.5,101,5.626489
-44.5,101,5.657727
-58.5,101,6.142786
-63.5,101,6.546106
-59.5,101,6.629892
-45.5,101,6.676752
-68.5,101,7.226556
-36.5,89,7.607512
-50.5,101,7.627157
-43.5,101,7.695063
-56.5,101,8.279235
-46.5,101,8.662102
-45.5,101,8.708976
-45.5,101,8.7769
-43.5,87,9.19902
-51.5,101,9.813682
-62.5,101,9.866729
-47.5,101,9.954809
-52.0,92,10.284109
-32.5,81,10.833608
-64.5,101,10.939704
-62.5,101,10.963726
-44.5,101,11.350881
-55.5,101,11.868466
-44.5,101,12.023607
-44.5,101,12.04863
-44.5,101,12.433945
-44.5,101,12.980706
-65.5,101,13.09481
-44.5,101,13.117831
-44.5,101,13.515612
-45.0,62,13.657278
-54.5,101,14.191845
-44.5,101,14.217868
-55.5,101,14.603218
-44.5,101,14.73634
-44.5,55,14.795392
-44.5,101,15.302015
-57.5,101,15.677995
-44.5,101,15.805133
-55.5,101,15.881707
-69.5,101,16.383814
-44.5,101,16.725264
-59.0,96,16.84308
-50.5,101,16.857093
-69.5,101,17.385436
-43.5,101,17.800768
-45.5,101,17.968022
-45.5,101,18.018068
-50.5,101,18.578577
-64.5,101,18.984946
-66.5,101,19.121658
-70.5,101,19.147495
-45.5,101,19.691456
-65.5,101,20.102823
-43.5,101,20.277071
-44.5,101,20.293068
-43.5,101,20.919262
-46.5,101,21.347959
-55.5,101,21.503053
-45.5,101,21.534523
-34.5,85,21.955162
-46.5,83,22.400934
-43.5,101,22.476933
-57.5,101,22.592208
-42.5,99,22.959599
-44.5,101,23.498088
-55.5,101,23.591947
-44.5,101,23.726241
-45.5,101,24.044835
-45.5,101,24.546933
-59.5,101,24.612993
-47.5,101,24.780701
-43.5,101,25.13446
-37.0,90,25.518407
-43.5,101,25.725595
-46.5,101,25.859308
-47.5,101,26.207558
-45.5,101,26.627892
-62.5,101,26.793496
-48.5,101,26.942571
-67.5,101,27.335318
-51.5,101,27.714329
-46.5,101,27.924532
-46.5,101,28.060449
-35.5,87,28.26537
-44.5,101,28.828418
-65.5,101,29.054749
-66.5,101,29.223149
-60.5,101,29.44435
-37.5,61,29.905953
-68.5,101,30.015052
-68.5,101,30.20022
-45.0,56,30.513506
-47.5,101,30.550125
-45.5,101,31.049376
-52.5,101,31.215157
-69.5,101,31.500949
-45.5,101,31.532199
-60.5,101,32.056708
-45.5,101,32.232868
-44.5,101,32.520129
-47.5,101,32.548445
-49.5,101,33.09176
-54.5,101,33.253464
-46.5,101,33.582122
-45.5,101,33.631172
-48.5,101,34.208795
-44.5,101,34.386293
-44.5,101,34.722051
-44.5,101,34.768925
-50.5,101,35.320644
-45.5,101,35.485408
-43.5,101,35.779728
-44.5,101,35.810978
-68.5,101,36.36965
-46.5,101,36.552949
-30.5,77,36.615448
-44.5,101,36.912928
-50.0,66,37.09565
-22.0,8,37.189387
-41.5,93,37.586842
-45.5,101,37.618091
-56.5,101,37.931869
-44.5,101,38.161353
-46.5,101,38.644269
-50.5,101,38.71033
-45.5,101,39.13079
-43.5,101,39.452083
-58.0,80,39.679289
-68.5,101,40.036113
-44.5,57,40.213072
-64.5,101,40.425151
-46.5,101,40.847578
-61.0,98,41.047781
-49.5,101,41.228946
-46.5,101,41.487001
-46.5,101,41.961748
-46.5,101,42.191858
-63.5,101,42.405699
-66.5,101,42.619699
-40.5,49,42.88125
-46.5,101,43.027337
-45.5,101,43.256833
-59.5,101,43.622822
