#{"t_start": 1656344166.9777431, "env_id": null}
r,l,t
-20.0,26,0.164149
-24.5,26,0.164149
-23.0,38,0.200181
-23.25,39,0.204185
-23.25,39,0.282257
-20.0,26,0.282257
-21.25,31,0.293267
-27.25,47,0.417379
-32.25,75,0.647588
-30.5,64,0.867789
-77.25,251,0.95787
-76.75,251,1.07898
-81.25,251,1.091992
-42.0,114,1.45683
-76.75,251,1.664017
-76.75,251,1.739085
-26.75,37,1.849334
-76.75,251,1.855339
-25.25,35,1.96931
-25.0,46,2.019355
-76.75,251,2.280592
-76.75,251,2.497789
-21.25,9,2.528818
-24.25,39,2.642921
-76.75,251,2.780046
-79.75,251,2.820083
-21.5,16,2.831093
-76.75,251,3.028272
-20.75,5,3.042298
-18.75,21,3.104454
-23.5,40,3.213631
-21.5,8,3.234678
-76.75,251,3.354851
-76.75,251,3.54603
-80.25,251,3.55504
-25.75,25,3.6201
-8.636364,2,3.628107
-21.0,28,3.642119
-76.75,251,3.992953
-80.75,251,4.120068
-25.5,48,4.139085
-19.75,9,4.150095
-26.0,28,4.226164
-26.75,31,4.310242
-80.25,251,4.365291
-26.0,26,4.376301
-76.75,251,4.376301
-20.0,4,4.388311
-20.5,28,4.472389
-25.5,48,4.51943
-26.5,52,4.51943
-27.0,38,4.617521
-20.25,5,4.633534
-19.0,22,4.707601
-76.75,251,4.845727
-32.25,75,5.039915
-76.75,251,5.167508
-76.75,251,5.210405
-21.75,25,5.234427
-21.0,30,5.294482
-22.75,33,5.386532
-80.75,251,5.392537
-23.75,25,5.460599
-76.75,251,5.758871
-76.75,251,5.958052
-25.25,41,6.071155
-76.75,251,6.11019
-20.75,15,6.15423
-21.75,11,6.18726
-78.75,251,6.191264
-19.75,1,6.191264
-80.75,251,6.447498
-76.75,251,6.754776
-76.75,251,6.869881
-79.25,251,6.869881
-19.75,1,6.874885
-23.431818,47,6.894903
-21.25,15,6.917924
-20.5,20,6.97898
-29.0,48,7.118106
-77.75,251,7.187169
-37.0,94,7.449407
-21.5,12,7.480436
-24.0,24,7.541493
-77.25,251,7.595541
-78.25,251,7.631575
-24.0,42,7.70364
-19.75,25,7.773703
-20.25,3,7.781711
-76.75,251,7.79272
-31.25,61,7.795722
-20.75,11,7.825749
-19.75,25,7.85978
-15.045455,40,7.887807
-22.75,37,7.997906
-78.25,251,8.219107
-15.840909,33,8.313193
-22.25,19,8.363238
-80.25,251,8.50837
-76.75,251,8.548406
-17.5,16,8.59745
-23.25,39,8.623474
-79.25,251,8.686532
-22.5,36,8.722564
-79.25,251,9.072883
-19.25,23,9.138943
-22.0,14,9.185986
-78.25,251,9.330117
-22.0,20,9.381163
-77.25,251,9.412191
-76.75,251,9.449225
-24.25,29,9.458233
-25.25,31,9.500271
-23.25,23,9.524293
-22.75,29,9.57534
-19.0,22,9.581345
-25.5,48,9.581345
-20.25,27,9.645403
-30.5,58,9.741491
-22.5,36,9.751499
-20.25,3,9.761509
-22.5,36,9.845585
-80.75,251,9.887624
-28.75,61,10.055776
-21.75,33,10.150863
-26.75,41,10.252956
-76.75,251,10.271973
-21.5,32,10.340035
-76.75,251,10.440126
-21.0,8,10.461145
-76.75,251,10.519197
-39.75,105,10.606789
-76.75,251,10.934096
-23.0,30,11.014168
-21.5,12,11.045197
-77.75,251,11.119264
-21.25,31,11.122267
-77.25,251,11.214022
-20.25,27,11.228035
-19.75,25,11.284086
-79.75,251,11.313112
-22.0,34,11.407197
-76.75,251,22.131989
-76.75,251,22.20892
-79.75,251,22.272979
-79.75,251,22.42412
-24.75,45,22.42412
-24.25,29,22.519938
-27.0,52,22.592004
-24.25,43,22.726125
-24.0,42,22.859246
-76.75,251,22.941321
-76.75,251,23.024396
-23.25,39,23.065434
-29.5,64,23.074442
-19.75,5,23.088455
-21.25,31,23.136499
-19.0,20,23.197554
-76.75,251,23.328673
-36.25,79,23.328673
-27.0,54,23.364705
-25.0,46,23.510723
-25.0,46,23.644848
-21.5,24,23.713919
-11.0,6,23.732939
-20.75,29,23.820462
-76.75,251,23.858461
-20.0,8,23.887476
-26.0,50,24.035456
-21.0,16,24.08149
-76.75,251,24.087495
-78.25,251,24.087495
-10.954545,28,24.168405
-34.0,64,24.270475
-76.75,251,24.574794
-78.25,251,24.829025
-76.75,251,24.924111
-25.75,35,24.951136
-76.75,251,25.03221
-24.75,45,25.073247
-28.0,38,25.073247
-54.75,163,25.086259
-20.25,27,25.176341
-76.75,251,25.870973
-80.25,251,25.929025
-76.75,251,25.929025
-76.75,251,26.047132
-24.5,44,26.103183
-10.5,6,26.125203
-25.5,46,26.26433
-31.25,71,26.382436
-25.5,48,26.385439
-20.5,28,26.456504
-33.0,78,26.583619
-76.75,251,26.687715
-76.75,251,26.725749
-22.0,16,26.777797
-23.75,35,26.805822
-24.25,27,26.866878
-39.25,103,26.893902
-21.0,30,26.900908
-22.0,14,26.911919
-23.0,16,26.941946
-16.545456,40,27.017014
-25.0,46,27.072063
-23.25,37,27.115103
-80.25,251,27.162145
-24.25,35,27.162145
-23.75,27,27.187169
-27.5,46,27.283256
-28.0,44,27.303274
-33.5,56,27.312282
-33.0,58,27.453411
-27.0,54,27.471426
-19.5,24,27.51847
-77.25,251,27.622564
-20.0,6,27.642582
-21.0,14,27.682619
-25.25,23,27.745676
-78.75,251,28.028935
-22.5,36,28.127023
-76.75,251,28.181072
-76.75,251,28.226112
-25.25,47,28.248132
-21.0,10,28.275158
-24.75,45,28.304184
-21.0,26,28.370244
-30.0,66,28.407279
-28.75,53,28.421292
-76.75,251,28.429299
-21.75,33,28.461327
-21.75,33,28.496358
-21.5,32,28.507368
-26.75,53,28.569425
-24.75,41,28.617469
-27.5,56,28.649498
-29.75,47,28.704549
-25.5,36,28.724566
-23.25,37,28.831665
-35.25,79,28.874704
-26.0,50,28.957779
-79.25,251,29.136941
-22.75,19,29.184985
-79.25,251,29.363147
-23.75,29,29.439216
-76.75,251,29.516791
-11.545455,14,29.559205
-76.75,251,29.608244
-22.25,31,29.639272
-23.25,39,29.738368
-76.75,251,29.837483
-28.0,48,29.866509
-19.0,22,29.924399
-22.0,34,29.930406
-78.25,251,30.09767
-76.75,251,30.289837
-78.25,251,30.615132
-79.75,251,30.622139
-79.25,251,30.790329
-79.25,251,30.956524
-76.75,251,31.266936
-76.75,251,31.271942
-76.75,251,31.434478
-23.25,37,31.534034
-76.75,251,31.6071
-19.0,22,31.670157
-23.0,38,31.78326
-20.0,26,31.861331
-76.75,251,31.961421
-76.75,251,31.967427
-22.0,24,32.032486
-24.0,28,32.051504
-24.25,29,32.130576
-76.75,251,32.243679
-18.0,14,32.279711
-21.25,31,32.357782
-76.75,251,32.530392
-76.75,251,32.684396
-24.0,22,32.744405
-76.75,251,32.778399
-22.5,36,32.847456
-78.25,251,33.021452
-24.75,31,33.107399
-76.75,251,33.212618
-17.295456,57,33.262664
-23.25,25,33.276677
-25.5,28,33.353747
-28.75,61,33.42381
-19.75,7,33.443828
-23.5,40,43.138139
-76.75,251,43.141141
-76.75,251,43.207201
-23.5,24,43.210204
-24.5,30,43.289276
-29.5,64,43.3163
-21.0,10,43.3163
-28.5,44,43.4264
