#{"t_start": 1654727707.7038877, "env_id": null}
r,l,t
6.142857,16,0.188986
-26.0,26,0.249947
-19.5,13,0.350824
-23.5,21,0.507446
-18.5,11,0.581416
-22.5,19,0.711997
-64.5,101,0.813135
-64.5,101,0.813135
-64.5,101,0.933095
-29.0,32,0.968127
1.6428571,25,1.000157
8.571428,14,1.043195
-21.0,16,1.102249
-22.0,18,1.152295
-20.5,15,1.16931
-21.0,16,1.23437
-18.5,11,1.243377
7.642857,13,1.339465
13.5,7,1.392513
-20.0,14,1.502613
-64.5,101,1.617718
11.071428,9,1.68678
-64.5,101,1.950511
-64.5,101,2.037009
-19.0,12,2.120972
-64.5,101,2.293905
8.857142,22,2.302609
-22.0,18,2.418615
-23.0,20,2.449865
-64.5,101,2.471032
-18.5,11,2.533519
8.0,18,2.565403
14.285714,14,2.572409
-23.5,21,2.700715
-64.5,101,2.700715
1.5714283,28,2.747572
-19.5,13,2.79888
-33.5,41,2.805988
6.0,22,2.836044
-22.0,18,2.867283
-22.0,18,2.914157
4.642857,19,3.072031
6.9285717,23,3.202659
2.5714283,26,3.433781
-64.5,101,3.533946
-64.5,101,3.60029
-64.5,101,3.631318
-25.5,25,3.735413
-24.0,22,3.773606
6.9285717,23,3.872837
-22.5,19,3.888462
-24.0,22,4.006482
12.5,9,4.07215
-64.5,101,4.121392
-19.5,13,4.152642
-18.0,10,4.205606
-64.5,101,4.252481
2.9285717,31,4.44098
-20.0,14,4.540191
-64.5,101,4.540191
-20.0,14,4.633917
6.642857,15,4.633917
6.142857,16,4.733079
-64.5,101,4.769728
-25.5,25,4.800968
7.5714283,16,4.847841
-64.5,101,4.881785
-21.0,16,4.916278
-19.5,13,4.963152
6.9285717,23,5.118037
-26.0,26,5.279653
-21.0,16,5.382455
-64.5,101,5.429329
-64.5,101,5.497241
-64.5,101,5.55974
-21.0,16,5.663253
-32.0,38,5.663253
8.0,18,5.778074
-25.0,24,5.929444
-64.5,101,6.010726
1.5,31,6.12542
-64.5,101,6.141045
-19.0,12,6.209065
-64.5,101,6.324651
-24.0,22,6.470768
-64.5,101,6.703659
-64.5,101,6.802813
-64.5,101,6.886454
-31.0,36,6.917704
-22.0,18,7.020747
-18.5,11,11.298994
-64.5,101,11.350041
-20.0,14,11.441124
-25.0,24,11.601268
-64.5,101,11.683343
-19.0,12,11.683343
-64.5,101,11.808382
-64.5,101,12.004632
7.9285717,21,12.17408
-64.5,101,12.504004
-64.5,101,12.504004
-64.5,101,12.648134
5.714286,14,12.746223
-64.5,101,12.962718
2.7857141,37,12.998751
-22.0,18,13.07482
-21.5,17,13.10785
-64.5,101,13.196496
-64.5,101,13.196496
-23.5,21,13.209508
-21.0,16,13.312602
-64.5,101,13.816136
-64.5,101,13.905216
-64.5,101,13.919229
-17.5,9,13.962268
-19.5,13,13.994991
-64.5,101,13.994991
7.142857,14,14.078617
-24.0,22,14.094242
9.0,16,14.094242
-21.0,16,14.193408
-22.5,19,14.209025
5.8571424,28,14.27702
7.642857,13,14.360823
-64.5,101,14.457798
-21.0,16,14.557654
-64.5,101,14.839401
-64.5,101,14.855026
-17.5,9,14.917526
-64.5,101,15.001088
10.857142,18,15.032338
-3.0714283,43,15.115837
-21.0,16,15.131462
-64.5,101,15.199987
-20.5,15,15.215611
0.0,34,15.215611
-23.5,21,15.262486
6.5714283,18,15.31475
9.5,15,15.377248
-22.5,19,15.460805
10.5,13,15.476429
11.0,12,15.559929
-22.5,19,15.606804
14.857142,10,15.627874
-0.28571415,26,15.820721
6.5714283,18,15.972597
-64.5,101,15.972597
-64.5,101,15.97295
4.142857,20,16.118933
-26.5,27,16.165809
7.4285717,22,16.264897
6.4285717,24,16.318958
-64.5,101,16.344981
-18.5,11,16.411577
7.0,20,16.552765
-64.5,101,16.656859
-23.5,21,16.699898
-18.5,11,16.76672
-19.0,12,16.844834
-64.5,101,16.928428
-34.5,43,16.928428
-64.5,101,16.997538
-22.0,18,17.062449
-4.785714,35,17.080948
12.785714,17,17.167713
-20.5,15,17.262799
14.428572,8,17.313845
-64.5,101,17.588094
-64.5,101,17.638139
-18.0,10,17.701197
-64.5,101,17.721216
-18.5,11,17.790278
-22.0,18,17.816302
-64.5,101,17.95843
9.142857,10,18.021488
7.5714283,16,21.974833
-19.5,13,22.060911
-64.5,101,22.088936
10.428572,16,22.172012
-64.5,101,22.303396
-64.5,101,22.328418
-27.0,28,22.354441
-17.5,9,22.38547
-19.5,13,22.436516
0.14285707,28,22.548037
3.642857,21,22.567759
9.5,15,22.660706
-26.5,27,22.738776
-64.5,101,22.745783
8.428572,20,22.800834
-22.5,19,22.875901
-20.5,15,22.885932
-64.5,101,22.957757
12.357142,15,22.970769
6.5714283,18,23.01581
9.071428,13,23.081844
2.5714283,26,23.12984
-20.0,14,23.180458
6.5,21,23.255796
11.0,12,23.333159
-64.5,101,23.370323
10.071428,11,23.401572
11.0,12,23.469537
-64.5,101,23.619538
8.0,18,23.736739
11.928572,13,23.820278
-64.5,101,23.8515
-4.9285717,41,24.070251
-64.5,101,24.070251
-64.5,101,24.133066
-20.5,15,24.17372
-20.5,15,24.17372
12.785714,17,24.313607
2.2142859,21,24.342634
10.571428,10,24.412697
-23.0,20,24.457738
-64.5,101,24.54882
-20.5,15,24.65792
-64.5,101,24.861104
-1.7857141,29,24.861104
-19.0,12,24.941177
-26.0,26,25.03478
7.142857,14,25.03478
-64.5,101,25.118855
-20.5,15,25.139875
-64.5,101,25.158892
-24.0,22,25.183914
2.642857,23,25.307103
-27.0,28,25.467243
-21.0,16,25.579744
-18.5,11,25.64052
-64.5,101,25.750686
-64.5,101,25.770656
-64.5,101,25.813607
-25.0,24,25.988677
2.642857,23,26.051166
-20.0,14,26.126436
-25.0,24,26.277573
7.214286,11,26.374661
-64.5,101,26.500776
-24.5,23,26.552823
-64.5,101,26.618883
7.0714283,17,26.618883
4.5714283,22,26.709966
-22.0,18,26.752004
9.857142,20,26.766017
-23.5,21,26.8581
-64.5,101,26.92316
11.0,12,26.959193
-0.35714293,29,26.97821
7.5,19,27.124342
5.5,23,27.124342
-22.0,18,27.247454
