#{"t_start": 1655370993.4817915, "env_id": null}
r,l,t
16.214285,13,0.171053
3.2857141,16,0.188081
11.714285,22,0.226922
-18.5,11,0.239934
-21.0,16,0.334488
-24.0,22,0.335489
5.285714,32,0.435755
0.0714286,11,0.501412
-17.5,9,0.551587
-64.5,101,0.718488
-0.07142854,17,0.833434
-64.5,101,0.985242
-64.5,101,0.985242
-17.0,8,1.047742
-5.785714,37,1.100166
-22.0,18,1.115791
6.642857,15,1.220187
-64.5,101,1.267047
-24.5,23,1.267047
12.928572,11,1.35065
-21.0,16,1.35065
-22.0,18,1.484464
-43.5,61,1.714291
-64.5,101,1.775005
-0.21428585,23,1.890372
-20.5,15,1.890372
-64.5,101,2.087807
-12.214286,27,2.096816
18.214285,9,2.156502
-64.5,101,2.219001
4.785714,13,2.263177
5.214286,15,2.334576
-23.0,20,2.386641
13.714285,18,2.452407
13.214285,19,2.586053
-64.5,101,2.61608
14.714285,16,2.724202
-26.5,27,2.755434
-64.5,101,2.789443
-31.0,36,2.984068
-64.5,101,3.03646
13.142857,22,3.117591
-64.5,101,3.338491
-64.5,101,3.39414
2.2857141,18,3.524627
-25.5,25,3.524627
-64.5,101,3.702856
-4.214286,31,3.704923
12.857142,14,3.772889
-64.5,101,3.788514
-23.0,20,3.819764
-25.5,25,3.934736
-22.0,18,3.934736
0.5714286,10,4.003327
-64.5,101,4.152388
12.5,9,4.204702
9.714285,26,4.388135
-64.5,101,4.442806
-19.0,12,4.474056
-64.5,101,4.588829
-26.5,27,4.620079
-64.5,101,4.657459
15.714285,14,4.673073
-22.0,18,4.76896
-22.5,19,4.80353
-18.0,10,4.83478
-35.5,45,4.902663
-2.142857,24,4.974124
-64.5,101,5.057679
-64.5,101,5.390143
-64.5,101,5.489201
-64.5,101,5.5517
-19.5,13,5.63818
-64.5,101,5.63818
15.214285,15,5.721737
0.28571415,22,5.752987
7.5,19,5.867714
-64.5,101,5.973044
-64.5,101,6.075154
-1.9285715,15,6.174299
-64.5,101,6.335969
-64.5,101,6.487312
-19.0,12,15.822862
-64.5,101,15.8639
1.7142859,22,15.999022
-64.5,101,16.062079
7.642857,13,16.1473
8.142857,12,16.247342
-64.5,101,16.247342
-30.5,35,16.247342
17.214285,11,16.332933
7.5714283,16,16.366257
-20.5,15,16.435288
-28.5,31,16.468318
-64.5,101,16.499713
-24.5,23,16.583332
-30.5,35,16.817298
-22.0,18,16.928733
-64.5,101,16.998049
3.2857141,16,17.013673
-18.0,10,17.06601
-19.0,12,17.081635
-64.5,101,17.09726
-18.5,11,17.12851
-64.5,101,17.12851
-18.0,10,17.149545
-21.5,17,17.196408
-20.0,14,17.212033
13.714285,18,17.243284
-30.0,34,17.342384
-28.5,31,17.394677
-27.5,29,17.519954
-5.785714,37,17.635273
-64.5,101,17.812439
-64.5,101,17.848994
-22.5,19,17.937348
-24.0,22,18.067894
-64.5,101,18.146007
3.642857,21,18.213836
-19.5,13,18.245087
-64.5,101,18.260711
13.214285,19,18.344823
5.142857,18,18.360448
8.142857,12,18.412724
-64.5,101,18.501827
-23.0,20,18.618072
16.785713,9,18.67037
-64.5,101,18.816308
-28.5,31,18.847557
6.214286,13,18.884161
5.357143,9,18.952621
-64.5,101,18.984275
-64.5,101,19.038332
-22.5,19,19.151611
13.142857,22,19.31324
-17.0,8,19.34983
-17.0,8,19.396705
-18.5,11,19.469594
-64.5,101,19.485198
1.5,11,19.541278
-18.0,10,19.558294
-64.5,101,19.584948
-18.5,11,19.616198
-64.5,101,19.631824
-1.9285715,15,19.663072
-0.6428571,21,19.763486
-21.0,16,19.878352
-20.5,15,19.98578
-64.5,101,20.286703
-64.5,101,20.317953
-64.5,101,20.349202
-22.0,18,20.40208
11.857142,16,20.423891
-21.0,16,20.447913
-21.0,16,20.537945
-25.5,25,20.569196
-64.5,101,20.636627
4.9285717,27,20.720209
6.5714283,18,20.751426
12.357142,15,20.813926
5.785714,11,20.813926
-64.5,101,21.017882
-33.0,40,21.049132
-23.5,21,21.140979
-64.5,101,21.171034
0.0714286,11,21.192171
-20.5,15,21.254653
1.2857141,20,21.306956
-64.5,101,21.400681
-2.9285715,17,21.426434
-30.5,35,21.599998
-64.5,101,21.64999
-22.5,19,21.719768
16.071428,19,21.751018
-64.5,101,21.866642
-26.5,27,21.927174
13.214285,19,22.005244
10.5,13,22.019257
-64.5,101,22.048284
21.0,12,25.832488
-24.5,23,25.926609
-23.0,20,25.957847
-18.5,11,26.008866
-64.5,101,26.121967
-2.5714285,22,26.167008
-21.5,17,26.304133
-17.0,8,26.372195
-64.5,101,26.476289
1.7857141,19,26.512322
1.7857141,19,26.63959
-64.5,101,26.703605
-18.0,10,26.711611
-64.5,101,26.84193
10.428572,16,26.942725
-25.0,24,27.124891
-64.5,101,27.155919
-17.5,9,27.216974
-18.5,11,27.288039
-64.5,101,27.373116
-64.5,101,27.381123
-22.5,19,27.500232
0.21428585,25,27.53126
16.285713,10,27.566291
-20.5,15,27.627347
6.285714,10,27.704417
-4.428571,20,27.704417
-64.5,101,27.804508
15.142857,18,27.826118
2.357143,15,27.924053
-64.5,101,27.939678
-22.0,18,28.038934
19.5,15,28.038934
11.0,12,28.122453
-18.5,11,28.190364
11.071428,29,28.221591
-22.5,19,28.324849
