#{"t_start": 1655370912.5644143, "env_id": null}
r,l,t
16.214285,13,0.176731
3.2857141,16,0.183792
11.714285,22,0.233704
-18.5,11,0.246716
-21.0,16,0.338518
-24.0,22,0.338518
5.285714,32,0.453422
0.0714286,11,0.531536
-17.5,9,0.584025
-64.5,101,0.777056
-0.07142854,17,0.89509
-64.5,101,1.047671
-64.5,101,1.047671
-17.0,8,1.110171
-5.785714,37,1.162972
-22.0,18,1.178596
6.642857,15,1.265478
-64.5,101,1.296718
-24.5,23,1.312344
12.928572,11,1.372447
-21.0,16,1.372447
-22.0,18,1.502122
-43.5,61,1.719483
-64.5,101,1.777824
-0.21428585,23,1.877182
-20.5,15,1.892808
-64.5,101,2.085486
-12.214286,27,2.101091
18.214285,9,2.16359
-64.5,101,2.203775
4.785714,13,2.253208
5.214286,15,2.322211
-23.0,20,2.384677
13.714285,18,2.463464
13.214285,19,2.594589
-64.5,101,2.624277
14.714285,16,2.733897
-26.5,27,2.788044
-64.5,101,2.818378
-31.0,36,3.06745
-64.5,101,3.0987
13.142857,22,3.200925
-64.5,101,3.4269
-64.5,101,3.466936
2.2857141,18,3.583695
-25.5,25,3.583695
-64.5,101,3.753517
-4.214286,31,3.769125
12.857142,14,3.840389
-64.5,101,3.840389
-23.0,20,3.887262
-25.5,25,4.007777
-22.0,18,4.007777
0.5714286,10,4.052685
-64.5,101,4.186153
12.5,9,4.233027
9.714285,26,4.416358
-64.5,101,4.466234
-19.0,12,4.481859
-64.5,101,4.61661
-26.5,27,4.633548
-64.5,101,4.664798
15.714285,14,4.696048
-22.0,18,4.768046
-22.5,19,4.799295
-18.0,10,4.830545
-35.5,45,4.901918
-2.142857,24,4.969815
-64.5,101,5.032278
-64.5,101,5.392796
-64.5,101,5.494947
-64.5,101,5.562846
-19.5,13,5.662019
-64.5,101,5.662019
15.214285,15,5.758776
0.28571415,22,5.811688
7.5,19,5.942115
-64.5,101,6.0456
-64.5,101,6.178898
-1.9285715,15,6.278049
-64.5,101,6.43646
-64.5,101,6.607203
