#{"t_start": 1654727857.930062, "env_id": null}
r,l,t
6.142857,16,0.177526
-26.0,26,0.255651
-19.5,13,0.35486
-23.5,21,0.485212
-18.5,11,0.568792
-22.5,19,0.70317
-64.5,101,0.787356
-64.5,101,0.787356
-64.5,101,0.916075
-29.0,32,0.961241
1.6428571,25,0.982229
8.571428,14,1.029103
-21.0,16,1.082015
-22.0,18,1.128864
-20.5,15,1.144491
-21.0,16,1.212549
-18.5,11,1.212549
7.642857,13,1.311836
13.5,7,1.358699
-20.0,14,1.458705
-64.5,101,1.57376
11.071428,9,1.636261
-64.5,101,1.921919
-64.5,101,2.004364
-19.0,12,2.099543
-64.5,101,2.274116
8.857142,22,2.274116
-22.0,18,2.420311
-23.0,20,2.452838
-64.5,101,2.457279
-18.5,11,2.526281
8.0,18,2.558718
14.285714,14,2.562998
-23.5,21,2.693337
-64.5,101,2.708963
1.5714283,28,2.740213
-19.5,13,2.79336
-33.5,41,2.79336
6.0,22,2.843621
-22.0,18,2.859225
-22.0,18,2.911466
4.642857,19,3.026214
6.9285717,23,3.175528
2.5714283,26,3.371094
-64.5,101,3.464819
-64.5,101,3.51791
-64.5,101,3.54916
-25.5,25,3.648232
-24.0,22,3.711835
6.9285717,23,3.813156
-22.5,19,3.834214
-24.0,22,3.964567
12.5,9,4.027067
-64.5,101,4.079264
-19.5,13,4.110514
-18.0,10,4.16068
-64.5,101,4.198007
2.9285717,31,4.427575
-20.0,14,4.509057
-64.5,101,4.509057
-20.0,14,4.608257
6.642857,15,4.608257
6.142857,16,4.722973
-64.5,101,4.757338
-25.5,25,4.775233
7.5714283,16,4.822108
-64.5,101,4.837733
-21.0,16,4.890538
-19.5,13,4.937413
6.9285717,23,5.103213
-26.0,26,5.297407
-21.0,16,5.41216
-64.5,101,5.467703
-64.5,101,5.530205
-64.5,101,5.598816
-21.0,16,5.72918
-32.0,38,5.744805
8.0,18,5.878348
-25.0,24,6.030115
-64.5,101,6.127088
1.5,31,6.241857
-64.5,101,6.263483
-19.0,12,6.357222
-64.5,101,6.475236
-24.0,22,6.611071
-64.5,101,6.84063
-64.5,101,6.954679
-64.5,101,7.053081
-31.0,36,7.089748
-22.0,18,7.167873
-18.5,11,11.624057
-64.5,101,11.674103
-20.0,14,11.768188
-25.0,24,11.94735
-64.5,101,12.083446
-19.0,12,12.083446
-64.5,101,12.215566
-64.5,101,12.390404
7.9285717,21,12.523526
-64.5,101,12.801244
-64.5,101,12.801244
-64.5,101,12.947377
5.714286,14,13.059478
-64.5,101,13.277677
2.7857141,37,13.322718
-22.0,18,13.414801
-21.5,17,13.451121
-64.5,101,13.5472
-64.5,101,13.5472
-23.5,21,13.568885
-21.0,16,13.664972
-64.5,101,14.224106
-64.5,101,14.334206
-64.5,101,14.351221
-17.5,9,14.398264
-19.5,13,14.439301
-64.5,101,14.446307
7.142857,14,14.536389
-24.0,22,14.546398
9.0,16,14.546398
-21.0,16,14.648492
-22.5,19,14.661503
5.8571424,28,14.737866
7.642857,13,14.832952
-64.5,101,14.936295
-21.0,16,15.07542
-64.5,101,15.422867
-64.5,101,15.439883
-17.5,9,15.50434
-64.5,101,15.580202
10.857142,18,15.617073
-3.0714283,43,15.695902
-21.0,16,15.717062
-64.5,101,15.788465
-20.5,15,15.799157
0.0,34,15.799157
-23.5,21,15.849838
6.5714283,18,15.899249
9.5,15,15.942298
-22.5,19,16.017992
10.5,13,16.025999
11.0,12,16.121085
-22.5,19,16.230095
14.857142,10,16.249037
-0.28571415,26,16.418017
6.5714283,18,16.539127
-64.5,101,16.539127
-64.5,101,16.546134
4.142857,20,16.675845
-26.5,27,16.712878
7.4285717,22,16.821977
6.4285717,24,16.865666
-64.5,101,16.896915
-18.5,11,16.980361
7.0,20,17.110891
-64.5,101,17.227413
-23.5,21,17.265448
-18.5,11,17.339515
-19.0,12,17.423194
-64.5,101,17.526287
-34.5,43,17.526287
-64.5,101,17.567329
-22.0,18,17.635288
-4.785714,35,17.650902
12.785714,17,17.744793
-20.5,15,17.828439
14.428572,8,17.881293
-64.5,101,18.163613
-64.5,101,18.231668
-18.0,10,18.315348
-64.5,101,18.330952
-18.5,11,18.430227
-22.0,18,18.445837
-64.5,101,18.619901
9.142857,10,18.686962
7.5714283,16,22.754416
-19.5,13,22.889817
-64.5,101,22.9429
10.428572,16,23.043745
-64.5,101,23.229074
-64.5,101,23.265108
-27.0,28,23.298137
-17.5,9,23.336272
-19.5,13,23.397328
0.14285707,28,23.552469
3.642857,21,23.560476
9.5,15,23.670576
-26.5,27,23.759657
-64.5,101,23.768665
8.428572,20,23.831723
