#{"t_start": 1654724613.5168025, "env_id": null}
r,l,t
6.142857,16,0.167576
-26.0,26,0.243599
-19.5,13,0.343608
-23.5,21,0.484599
-18.5,11,0.571736
-22.5,19,0.717772
-64.5,101,0.801605
-64.5,101,0.801605
-64.5,101,0.938229
-29.0,32,0.979267
1.6428571,25,1.00706
8.571428,14,1.053924
-21.0,16,1.1008
-22.0,18,1.155386
-20.5,15,1.172069
-21.0,16,1.235787
-18.5,11,1.240131
7.642857,13,1.333868
13.5,7,1.401219
-20.0,14,1.502455
-64.5,101,1.61731
11.071428,9,1.679811
-64.5,101,1.973329
-64.5,101,2.045945
-19.0,12,2.129816
-64.5,101,2.311242
8.857142,22,2.31934
-22.0,18,2.437273
-23.0,20,2.471022
-64.5,101,2.489751
-18.5,11,2.553106
8.0,18,2.584357
14.285714,14,2.584357
-23.5,21,2.735735
-64.5,101,2.75456
1.5714283,28,2.801405
-19.5,13,2.850463
-33.5,41,2.853843
6.0,22,2.885083
-22.0,18,2.916332
-22.0,18,2.974033
4.642857,19,3.117888
6.9285717,23,3.295157
2.5714283,26,3.492998
-64.5,101,3.573759
-64.5,101,3.636258
-64.5,101,3.672736
-25.5,25,3.754392
-24.0,22,3.807523
6.9285717,23,3.906758
-22.5,19,3.933703
-24.0,22,4.053794
12.5,9,4.105337
-64.5,101,4.157672
-19.5,13,4.188922
-18.0,10,4.272597
-64.5,101,4.303847
2.9285717,31,4.508472
-20.0,14,4.597514
-64.5,101,4.597514
-20.0,14,4.685929
6.642857,15,4.701554
6.142857,16,4.81635
-64.5,101,4.837353
-25.5,25,4.868592
7.5714283,16,4.915467
-64.5,101,4.941365
-21.0,16,4.97242
-19.5,13,5.019282
6.9285717,23,5.169672
-26.0,26,5.337262
-21.0,16,5.449794
-64.5,101,5.488852
-64.5,101,5.556837
-64.5,101,5.629901
-21.0,16,5.737732
-32.0,38,5.753357
8.0,18,5.885454
-25.0,24,6.029865
-64.5,101,6.10798
1.5,31,6.221338
-64.5,101,6.221338
-19.0,12,6.304902
-64.5,101,6.388773
-24.0,22,6.566637
-64.5,101,6.800575
-64.5,101,6.915314
-64.5,101,7.008715
-31.0,36,7.045429
-22.0,18,7.139166
