#{"t_start": 1654727233.0489511, "env_id": null}
r,l,t
6.142857,16,0.181192
-26.0,26,0.263754
-19.5,13,0.367918
-23.5,21,0.52506
-18.5,11,0.60093
-22.5,19,0.778243
-64.5,101,0.864236
-64.5,101,0.864236
-64.5,101,0.992026
-29.0,32,1.032063
1.6428571,25,1.06209
8.571428,14,1.101125
-21.0,16,1.156176
-22.0,18,1.20522
-20.5,15,1.222236
-21.0,16,1.284292
-18.5,11,1.2933
7.642857,13,1.387386
13.5,7,1.441435
-20.0,14,1.548532
-64.5,101,1.652627
11.071428,9,1.721689
-64.5,101,2.013572
-64.5,101,2.11618
-19.0,12,2.200013
-64.5,101,2.365201
8.857142,22,2.386341
-22.0,18,2.499475
-23.0,20,2.520653
-64.5,101,2.538799
-18.5,11,2.601257
8.0,18,2.634197
14.285714,14,2.638496
-23.5,21,2.772069
-64.5,101,2.772069
1.5714283,28,2.836599
-19.5,13,2.871745
-33.5,41,2.88734
6.0,22,2.918589
-22.0,18,2.952501
-22.0,18,3.002442
4.642857,19,3.132914
6.9285717,23,3.278955
2.5714283,26,3.483867
-64.5,101,3.57021
-64.5,101,3.617071
-64.5,101,3.64832
-25.5,25,3.750817
-24.0,22,3.816871
6.9285717,23,3.897798
-22.5,19,3.934459
-24.0,22,4.054211
12.5,9,4.101075
-64.5,101,4.153416
-19.5,13,4.184654
-18.0,10,4.247153
-64.5,101,4.283796
2.9285717,31,4.538725
-20.0,14,4.621112
-64.5,101,4.621112
-20.0,14,4.702368
6.642857,15,4.717964
6.142857,16,4.827384
-64.5,101,4.853703
-25.5,25,4.884941
7.5714283,16,4.916191
-64.5,101,4.947442
-21.0,16,4.999699
-19.5,13,5.053923
6.9285717,23,5.197843
-26.0,26,5.36736
-21.0,16,5.482769
-64.5,101,5.549628
-64.5,101,5.650616
-64.5,101,5.721631
-21.0,16,5.836079
-32.0,38,5.851677
8.0,18,5.966658
-25.0,24,6.134421
-64.5,101,6.237108
1.5,31,6.35384
-64.5,101,6.369431
-19.0,12,6.447556
-64.5,101,6.546674
-24.0,22,6.707262
-64.5,101,6.922154
-64.5,101,7.01911
-64.5,101,7.102648
-31.0,36,7.133896
-22.0,18,7.218389
-18.5,11,11.831364
-64.5,101,11.886414
-20.0,14,11.975496
-25.0,24,12.141675
-64.5,101,12.221966
-19.0,12,12.221966
-64.5,101,12.336203
-64.5,101,12.487643
7.9285717,21,12.625383
-64.5,101,12.871072
-64.5,101,12.871072
-64.5,101,13.010198
5.714286,14,13.116179
-64.5,101,13.337618
2.7857141,37,13.380657
-22.0,18,13.46173
-21.5,17,13.49245
-64.5,101,13.570561
-64.5,101,13.570561
-23.5,21,13.592243
-21.0,16,13.670356
-64.5,101,14.140218
-64.5,101,14.232403
-64.5,101,14.245415
-17.5,9,14.289455
-19.5,13,14.326488
-64.5,101,14.326488
7.142857,14,14.410032
-24.0,22,14.425657
9.0,16,14.425657
-21.0,16,14.524083
-22.5,19,14.537096
5.8571424,28,14.600152
7.642857,13,14.68423
-64.5,101,14.787914
-21.0,16,14.900016
-64.5,101,15.207933
-64.5,101,15.221946
-17.5,9,15.277302
-64.5,101,15.37417
10.857142,18,15.403196
-3.0714283,43,15.49528
-21.0,16,15.508292
-64.5,101,15.581358
-20.5,15,15.595371
0.0,34,15.601377
-23.5,21,15.644313
6.5714283,18,15.693345
9.5,15,15.737384
-22.5,19,15.844482
10.5,13,15.85449
11.0,12,15.95258
-22.5,19,16.005628
14.857142,10,16.020642
-0.28571415,26,16.22878
6.5714283,18,16.374186
-64.5,101,16.374186
-64.5,101,16.383193
4.142857,20,16.531328
-26.5,27,16.576369
7.4285717,22,16.700481
6.4285717,24,16.752528
-64.5,101,16.782556
-18.5,11,16.844234
7.0,20,16.980876
-64.5,101,17.074603
-23.5,21,17.111268
-18.5,11,17.211693
-19.0,12,17.306031
-64.5,101,17.389537
-34.5,43,17.389537
-64.5,101,17.441847
-22.0,18,17.504323
-4.785714,35,17.519948
12.785714,17,17.619151
-20.5,15,17.720186
14.428572,8,17.773234
-64.5,101,18.045042
-64.5,101,18.104095
-18.0,10,18.170155
-64.5,101,18.190173
-18.5,11,18.260237
-22.0,18,18.28626
-64.5,101,18.427389
9.142857,10,18.490447
