#{"t_start": 1655371422.5673475, "env_id": null}
r,l,t
16.214285,13,0.175075
3.2857141,16,0.185122
11.714285,22,0.230816
-18.5,11,0.246831
-21.0,16,0.338798
-24.0,22,0.338798
5.285714,32,0.463392
0.0714286,11,0.519852
-17.5,9,0.584468
-64.5,101,0.734894
-0.07142854,17,0.853256
-64.5,101,0.99944
-64.5,101,0.99944
-17.0,8,1.050554
-5.785714,37,1.098758
-22.0,18,1.114383
6.642857,15,1.229442
-64.5,101,1.260693
-24.5,23,1.278315
12.928572,11,1.345226
-21.0,16,1.345226
-22.0,18,1.444507
-43.5,61,1.662042
-64.5,101,1.74573
-0.21428585,23,1.842716
-20.5,15,1.861716
-64.5,101,2.04879
-12.214286,27,2.058799
18.214285,9,2.120434
-64.5,101,2.186074
4.785714,13,2.222983
5.214286,15,2.285482
-23.0,20,2.371671
13.714285,18,2.418626
13.214285,19,2.556564
-64.5,101,2.600306
14.714285,16,2.688503
-26.5,27,2.736987
-64.5,101,2.752576
-31.0,36,2.965922
-64.5,101,2.997171
13.142857,22,3.096431
-64.5,101,3.329149
-64.5,101,3.382272
2.2857141,18,3.500469
-25.5,25,3.500469
-64.5,101,3.662076
-4.214286,31,3.677701
12.857142,14,3.745642
-64.5,101,3.745642
-23.0,20,3.811172
-25.5,25,3.925956
-22.0,18,3.925956
0.5714286,10,3.99382
-64.5,101,4.143539
12.5,9,4.19583
9.714285,26,4.34183
-64.5,101,4.388705
-19.0,12,4.409781
-64.5,101,4.524489
-26.5,27,4.555705
-64.5,101,4.586955
15.714285,14,4.618204
-22.0,18,4.701691
-22.5,19,4.717316
-18.0,10,4.757484
-35.5,45,4.819971
-2.142857,24,4.903487
-64.5,101,4.965986
-64.5,101,5.349988
-64.5,101,5.449842
-64.5,101,5.512331
-19.5,13,5.59585
-64.5,101,5.59585
15.214285,15,5.69493
0.28571415,22,5.741804
7.5,19,5.872215
-64.5,101,5.971331
-64.5,101,6.091672
-1.9285715,15,6.194235
-64.5,101,6.365125
-64.5,101,6.522383
-19.0,12,10.346655
-64.5,101,10.377904
1.7142859,22,10.508257
-64.5,101,10.584304
7.642857,13,10.662291
8.142857,12,10.742813
-64.5,101,10.742813
-30.5,35,10.742813
17.214285,11,10.826433
7.5714283,16,10.878687
-20.5,15,10.943636
-28.5,31,10.994402
-64.5,101,11.043737
-24.5,23,11.111831
-30.5,35,11.32805
-22.0,18,11.457908
-64.5,101,11.552554
3.2857141,16,11.55956
-18.0,10,11.620616
-19.0,12,11.643287
-64.5,101,11.658653
-18.5,11,11.694687
-64.5,101,11.701693
-18.0,10,11.707699
-21.5,17,11.76475
-20.0,14,11.783768
13.714285,18,11.81182
-30.0,34,11.91454
-28.5,31,11.959822
-27.5,29,12.097082
-5.785714,37,12.204621
-64.5,101,12.379337
-64.5,101,12.443677
-22.5,19,12.514923
-24.0,22,12.645468
-64.5,101,12.728955
3.642857,21,12.77582
-19.5,13,12.807069
-64.5,101,12.822693
13.214285,19,12.921809
5.142857,18,12.937435
8.142857,12,13.005307
-64.5,101,13.073796
-23.0,20,13.204194
16.785713,9,13.266693
-64.5,101,13.418083
-28.5,31,13.449307
6.214286,13,13.496181
5.357143,9,13.54848
-64.5,101,13.595354
-64.5,101,13.647619
-22.5,19,13.762988
13.142857,22,13.89332
-17.0,8,13.942394
-17.0,8,13.994675
-18.5,11,14.072788
-64.5,101,14.088413
1.5,11,14.156523
-18.0,10,14.172147
-64.5,101,14.224627
-18.5,11,14.240235
-64.5,101,14.255859
-1.9285715,15,14.287108
-0.6428571,21,14.401964
-21.0,16,14.486423
-20.5,15,14.601273
-64.5,101,14.930319
-64.5,101,14.961568
-64.5,101,14.977193
-22.0,18,15.045125
11.857142,16,15.06075
-21.0,16,15.092
-21.0,16,15.192117
-25.5,25,15.238991
-64.5,101,15.30696
4.9285717,27,15.390453
6.5714283,18,15.421702
12.357142,15,15.489666
5.785714,11,15.489666
-64.5,101,15.716924
-33.0,40,15.734794
-23.5,21,15.834306
-64.5,101,15.865829
0.0714286,11,15.897078
-20.5,15,15.964919
1.2857141,20,16.027418
-64.5,101,16.110933
-2.9285715,17,16.126559
-30.5,35,16.309281
-64.5,101,16.34053
-22.5,19,16.408435
16.071428,19,16.455298
-64.5,101,16.555046
-26.5,27,16.601921
13.214285,19,16.685398
10.5,13,16.685398
-64.5,101,16.716649
21.0,12,20.360689
-24.5,23,20.459918
-23.0,20,20.475543
-18.5,11,20.527784
-64.5,101,20.622114
-2.5714285,22,20.64515
-21.5,17,20.759943
-17.0,8,20.806817
-64.5,101,20.891454
1.7857141,19,20.934493
1.7857141,19,21.044593
-64.5,101,21.095639
-18.0,10,21.103647
-64.5,101,21.22138
10.428572,16,21.339242
-25.0,24,21.504601
-64.5,101,21.535629
-17.5,9,21.586063
-18.5,11,21.654006
-64.5,101,21.732119
-64.5,101,21.747745
-22.5,19,21.883607
0.21428585,25,21.914808
16.285713,10,21.946058
-20.5,15,22.03021
6.285714,10,22.09271
-4.428571,20,22.09271
-64.5,101,22.160543
15.142857,18,22.191793
2.357143,15,22.291037
-64.5,101,22.322287
-22.0,18,22.421393
19.5,15,22.421393
11.0,12,22.504878
-18.5,11,22.570478
11.071428,29,22.588362
-22.5,19,22.666485
12.285714,18,22.688129
-64.5,101,22.719369
-19.5,13,22.781868
-22.0,18,22.781868
-64.5,101,22.803108
-22.0,18,22.834329
-21.0,16,22.881203
-23.0,20,22.949075
9.214285,27,22.949075
-20.0,14,23.03261
2.9285717,31,23.063818
-19.5,13,23.126317
-26.0,26,23.194142
1.6428571,25,23.308918
-29.0,32,23.41084
-64.5,101,23.426463
-19.5,13,23.493442
19.5,15,23.524681
-64.5,101,23.608254
-23.0,20,23.655117
-64.5,101,23.968116
-22.0,18,24.099097
-64.5,101,24.161596
-21.0,16,24.19838
6.642857,15,24.260878
-64.5,101,24.295301
0.92857146,15,24.313209
-64.5,101,24.328834
3.0,28,24.47483
-25.0,24,24.490454
16.214285,13,24.558332
-64.5,101,24.918932
-64.5,101,24.965806
-18.5,11,25.002647
-0.9285714,13,25.065145
-64.5,101,25.101924
-64.5,101,25.164412
-22.5,19,25.232425
-22.0,18,25.294924
-29.5,33,25.447437
-3.857143,36,25.541173
-25.5,25,25.640421
-64.5,101,25.708402
-64.5,101,25.739652
0.5714283,30,25.755277
1.7857141,19,25.770902
8.0,18,25.807655
4.142857,20,25.901522
6.642857,15,25.906849
-19.5,13,25.98495
9.0,16,26.021592
8.357142,23,26.115312
-64.5,101,26.38213
-64.5,101,26.397755
-19.0,12,26.479985
-26.5,27,26.575
-64.5,101,26.642847
-64.5,101,26.742245
-8.571428,34,30.563877
12.0,10,30.616136
-23.5,21,30.730886
