#{"t_start": 1654728372.9538972, "env_id": null}
r,l,t
6.142857,16,0.198179
-26.0,26,0.272247
-19.5,13,0.368334
-23.5,21,0.52948
-18.5,11,0.617141
-22.5,19,0.738029
-64.5,101,1.360163
-64.5,101,1.360163
-19.5,13,1.378181
-19.5,13,1.468262
12.857142,14,1.494285
-64.5,101,1.494285
6.5714283,18,1.512302
-19.5,13,1.602384
7.642857,13,1.619399
0.21428585,25,1.705477
-24.5,23,1.785984
-19.5,13,1.807328
3.0,28,2.017013
-26.5,27,2.021744
-21.5,17,2.187576
13.357142,13,2.7781
-64.5,101,2.798118
3.642857,21,2.915225
-64.5,101,2.915225
8.357142,23,2.946254
-17.5,9,2.972277
-17.0,8,3.025842
-25.5,25,3.083895
4.4285717,28,3.219998
2.2142859,21,3.228006
-64.5,101,3.248024
-20.0,14,3.344112
5.0,24,3.885045
4.5,25,3.886045
-22.0,18,3.972415
-20.0,14,3.989973
-19.0,12,4.052458
-64.5,101,4.135447
-28.5,31,4.276793
-64.5,101,5.028825
-64.5,101,5.138926
-22.5,19,5.177961
-64.5,101,5.301073
4.5,25,5.321091
-26.5,27,5.367133
-64.5,101,5.422183
8.5,17,5.494979
-27.0,28,5.508022
-3.9285717,39,6.158262
-64.5,101,6.407385
-64.5,101,6.506524
-64.5,101,6.599147
13.357142,13,6.6923
-64.5,101,7.311758
10.5,13,7.405284
-64.5,101,7.565429
-22.0,18,7.677962
-64.5,101,7.677962
-64.5,101,7.862355
-27.0,28,7.877979
-22.0,18,8.534768
-64.5,101,8.676897
-18.5,11,8.751966
4.714286,16,8.866069
-64.5,101,8.962157
-25.5,25,9.042229
12.928572,11,9.112293
4.0,26,9.132311
-64.5,101,9.145322
8.5,17,9.70483
-20.5,15,9.711837
-64.5,101,9.730855
-23.0,20,9.759881
5.0714283,21,9.883993
11.5,11,9.95608
-17.0,8,10.027779
-18.5,11,10.112018
11.0,12,10.234469
10.071428,11,10.330556
-19.0,12,10.434842
-64.5,101,10.969368
-64.5,101,10.976374
10.357142,19,11.02642
-64.5,101,11.027421
-19.0,12,11.09651
-25.0,24,11.127747
-23.5,21,11.160051
-23.0,20,11.334934
-28.5,31,11.377973
7.5714283,16,11.448037
8.642857,11,11.5181
5.642857,17,11.627822
-64.5,101,12.549541
-20.0,14,12.699677
-64.5,101,12.748722
-19.5,13,12.82479
-19.5,13,12.871833
14.357142,11,12.928885
-21.5,17,13.04399
-64.5,101,13.087029
-23.5,21,13.276209
11.5,11,13.39631
-64.5,101,13.440351
-64.5,101,14.476292
-64.5,101,14.550286
-24.5,23,14.612765
2.642857,23,14.703676
11.428572,14,14.725696
-64.5,101,14.802766
9.571428,12,14.809772
-64.5,101,14.841801
-20.0,14,15.368279
2.2142859,21,15.446777
11.357142,17,15.467677
-0.5,35,15.483301
-22.0,18,15.545802
-22.0,18,15.582545
-24.5,23,15.629425
-20.5,15,15.645048
13.857142,12,15.66067
-22.5,19,15.775455
5.0,24,15.816829
-64.5,101,15.83648
-18.5,11,15.901194
-18.0,10,15.972259
9.428572,18,16.528164
-20.5,15,16.641267
-22.0,18,16.804971
-64.5,101,16.813979
-18.0,10,16.879038
-18.5,11,16.895053
-64.5,101,16.963115
-64.5,101,17.019165
-21.0,16,17.076216
5.642857,17,17.138273
-20.5,15,17.690774
3.5,27,17.909975
-64.5,101,18.052619
-64.5,101,18.066083
11.928572,13,18.139138
-64.5,101,18.246102
4.9285717,27,18.335585
2.0714283,27,18.958448
5.5714283,20,19.095572
-64.5,101,19.123597
-21.0,16,19.21468
-64.5,101,19.300758
-21.0,16,19.325782
-18.5,11,19.390981
14.428572,8,19.437834
-64.5,101,19.960085
8.0,18,19.97112
-18.5,11,20.035941
7.0714283,17,20.153466
-64.5,101,20.238014
7.0714283,17,20.284889
-20.0,14,20.341307
11.071428,9,20.39936
-64.5,101,20.407367
-24.0,22,20.434391
-20.5,15,20.504223
-24.0,22,20.545033
7.4285717,22,20.569765
-20.5,15,20.601015
10.428572,16,21.080281
-18.5,11,21.080281
-64.5,101,21.106347
-18.0,10,21.154979
9.571428,12,21.267209
4.9285717,27,21.307245
-31.5,37,21.331268
-18.0,10,21.383315
-18.0,10,21.407337
5.5,23,21.441367
7.5714283,16,21.508429
-20.0,14,21.606517
-23.5,21,21.752865
-64.5,101,22.286801
-24.5,23,22.335845
-21.5,17,22.448431
2.0,30,22.495118
-64.5,101,22.526367
-64.5,101,22.563071
7.5714283,16,22.594295
-22.5,19,22.656794
-21.0,16,22.677986
-19.0,12,22.677986
-20.5,15,22.764245
1.7142859,22,22.847319
-18.5,11,22.867337
-18.5,11,22.966428
-64.5,101,23.691269
8.857142,22,23.85742
-64.5,101,23.959512
-64.5,101,24.137175
-64.5,101,24.204236
7.142857,14,24.755736
-22.5,19,24.894863
-64.5,101,25.077028
7.8571424,24,25.084034
-18.5,11,25.148093
-64.5,101,25.162106
-20.5,15,25.182123
14.357142,11,25.24418
-64.5,101,25.338266
-25.5,25,25.383307
-29.0,32,25.39932
1.2142859,23,25.988857
-24.0,22,26.021919
-6.285714,38,26.325194
-23.0,20,26.485339
-64.5,101,26.512364
2.7142859,20,26.616457
-64.5,101,26.636475
5.0714283,21,26.650488
-16.5,7,27.105902
-64.5,101,27.181972
11.5,11,27.198987
6.5,21,27.349274
-5.5,45,27.519429
-24.5,23,27.674569
-64.5,101,27.775661
-64.5,101,27.808692
-20.5,15,28.276116
-27.5,29,28.392221
2.142857,24,28.42425
-64.5,101,28.443267
-22.0,18,28.505323
-24.0,22,28.566378
-30.0,34,28.66747
-17.5,9,28.725523
-64.5,101,28.738535
10.928572,15,28.835624
10.071428,11,29.366105
7.0714283,17,29.502533
-64.5,101,29.691705
-64.5,101,29.764771
-31.0,36,29.801805
-64.5,101,29.995981
-64.5,101,31.066954
-64.5,101,31.142022
-64.5,101,31.170048
-19.5,13,31.275143
-64.5,101,31.332195
-0.78571415,27,31.358218
9.428572,18,31.491632
-18.0,10,32.113195
-31.0,36,32.121202
-25.0,24,32.298892
-64.5,101,32.400984
4.642857,19,32.420001
12.5,9,32.460038
5.5714283,20,32.598163
-64.5,101,32.644205
9.5,15,32.70426
-23.0,20,33.208302
-64.5,101,33.24962
-21.5,17,33.327691
-1.7857141,29,33.440873
-64.5,101,33.524906
10.0,14,33.530912
-31.0,36,33.556936
-22.0,18,33.63901
7.5,19,33.652022
2.642857,23,33.704069
11.285714,20,33.779762
-64.5,101,33.78408
-22.0,18,33.815319
-21.0,16,34.295904
9.571428,12,34.303912
-19.5,13,34.376978
2.7142859,20,34.416043
-19.0,12,34.499618
-25.5,25,34.530867
3.0,28,34.689932
-64.5,101,34.698941
-18.0,10,34.768003
-21.5,17,34.799717
-64.5,101,34.846029
5.0714283,21,35.328106
-21.0,16,35.335113
3.142857,22,35.411181
-27.5,29,35.599353
-64.5,101,35.627378
-64.5,101,36.576965
-64.5,101,36.587706
12.0,10,36.690194
-23.5,21,36.838847
13.928572,9,36.90355
-64.5,101,36.910556
-64.5,101,36.937406
4.5714283,22,37.04951
-25.5,25,37.076534
11.5,11,37.149601
3.7142859,18,37.172621
-32.5,39,37.20365
-64.5,101,37.73591
-21.5,17,37.743917
-2.357143,33,37.819247
9.571428,12,37.891289
-30.5,35,37.959347
-24.0,22,38.089754
-64.5,101,38.223839
-27.0,28,38.280481
-64.5,101,38.922552
-21.0,16,39.065115
-64.5,101,39.128173
-19.0,12,39.160202
-64.5,101,39.52153
-64.5,101,39.57658
5.642857,17,40.1491
-64.5,101,40.305241
-64.5,101,40.332266
13.428572,10,40.371301
11.357142,17,40.441862
-23.5,21,40.521026
-21.5,17,40.576077
9.857142,20,40.660153
-20.5,15,40.677168
-64.5,101,40.678169
13.428572,10,40.758243
