#{"t_start": 1654724643.155381, "env_id": null}
r,l,t
6.142857,16,0.207028
-26.0,26,0.285061
-19.5,13,0.383679
-23.5,21,0.535884
-18.5,11,0.62252
-22.5,19,0.751686
-64.5,101,0.824125
-64.5,101,0.824125
-64.5,101,0.939561
-29.0,32,0.970809
1.6428571,25,0.986434
8.571428,14,1.023241
-21.0,16,1.085731
-22.0,18,1.138196
-20.5,15,1.157039
-21.0,16,1.206131
-18.5,11,1.206131
7.642857,13,1.289656
13.5,7,1.33653
-20.0,14,1.435969
-64.5,101,1.545955
11.071428,9,1.630337
-64.5,101,1.914608
-64.5,101,1.972291
-19.0,12,2.076358
-64.5,101,2.244725
8.857142,22,2.251731
-22.0,18,2.357147
-23.0,20,2.372772
-64.5,101,2.388397
-18.5,11,2.440675
8.0,18,2.456302
14.285714,14,2.471926
-23.5,21,2.602172
-64.5,101,2.602172
1.5714283,28,2.638811
-19.5,13,2.685674
-33.5,41,2.701299
6.0,22,2.747171
-22.0,18,2.777542
-22.0,18,2.822205
4.642857,19,2.977505
6.9285717,23,3.154787
2.5714283,26,3.340395
-64.5,101,3.439508
-64.5,101,3.501977
-64.5,101,3.517601
-25.5,25,3.601192
-24.0,22,3.669558
6.9285717,23,3.779103
-22.5,19,3.794716
-24.0,22,3.913027
12.5,9,3.975527
-64.5,101,4.012245
-19.5,13,4.043484
-18.0,10,4.105983
-64.5,101,4.158178
2.9285717,31,4.353887
-20.0,14,4.437051
-64.5,101,4.437051
-20.0,14,4.520572
6.642857,15,4.520572
6.142857,16,4.61977
-64.5,101,4.666644
-25.5,25,4.699058
7.5714283,16,4.736279
-64.5,101,4.758333
-21.0,16,4.789561
-19.5,13,4.829452
6.9285717,23,4.975421
-26.0,26,5.174265
-21.0,16,5.280627
-64.5,101,5.343116
-64.5,101,5.413245
-64.5,101,5.493555
-21.0,16,5.608392
-32.0,38,5.627149
8.0,18,5.749462
-25.0,24,5.894631
-64.5,101,5.978397
1.5,31,6.093225
-64.5,101,6.108801
-19.0,12,6.190561
-64.5,101,6.307773
-24.0,22,6.465004
-64.5,101,6.674834
-64.5,101,6.77725
-64.5,101,6.860853
-31.0,36,6.909883
-22.0,18,7.014481
-18.5,11,11.584109
-64.5,101,11.638158
-20.0,14,11.733244
-25.0,24,11.908404
-64.5,101,11.994482
-19.0,12,11.994482
-64.5,101,12.1256
-64.5,101,12.284745
7.9285717,21,12.419868
-64.5,101,12.651105
-64.5,101,12.652105
-64.5,101,12.802242
5.714286,14,12.903334
-64.5,101,13.101515
2.7857141,37,13.146678
-22.0,18,13.254562
-21.5,17,13.292596
-64.5,101,13.392687
-64.5,101,13.392687
-23.5,21,13.405699
-21.0,16,13.492778
-64.5,101,13.963483
-64.5,101,14.05957
-64.5,101,14.073582
-17.5,9,14.104081
-19.5,13,14.150945
-64.5,101,14.150945
7.142857,14,14.246094
-24.0,22,14.254101
9.0,16,14.254101
-21.0,16,14.351189
-22.5,19,14.364201
5.8571424,28,14.431262
7.642857,13,14.522955
-64.5,101,14.615787
-21.0,16,14.731245
-64.5,101,15.028593
-64.5,101,15.044218
-17.5,9,15.106718
-64.5,101,15.221408
10.857142,18,15.242477
-3.0714283,43,15.336211
-21.0,16,15.352548
-64.5,101,15.422337
-20.5,15,15.439353
0.0,34,15.448361
-23.5,21,15.499408
6.5714283,18,15.551455
9.5,15,15.595495
-22.5,19,15.665486
10.5,13,15.665486
11.0,12,15.743317
-22.5,19,15.794363
14.857142,10,15.801077
-0.28571415,26,15.982002
6.5714283,18,16.108316
-64.5,101,16.108316
-64.5,101,16.116324
4.142857,20,16.26546
-26.5,27,16.317507
7.4285717,22,16.423603
6.4285717,24,16.47797
-64.5,101,16.503993
-18.5,11,16.57706
7.0,20,16.70918
-64.5,101,16.806268
-23.5,21,16.844386
-18.5,11,16.913997
-19.0,12,16.994069
-64.5,101,17.087155
-34.5,43,17.087155
-64.5,101,17.152214
-22.0,18,17.240294
-4.785714,35,17.271338
12.785714,17,17.404443
-20.5,15,17.527554
14.428572,8,17.5786
-64.5,101,17.86486
-64.5,101,17.913904
-18.0,10,17.971853
-64.5,101,17.987478
-18.5,11,18.086056
-22.0,18,18.121088
-64.5,101,18.310259
9.142857,10,18.379323
7.5714283,16,22.661028
-19.5,13,22.748019
-64.5,101,22.772668
10.428572,16,22.841321
-64.5,101,22.989494
-64.5,101,23.030977
-27.0,28,23.057001
-17.5,9,23.074052
-19.5,13,23.156245
0.14285707,28,23.323398
3.642857,21,23.332406
9.5,15,23.447148
-26.5,27,23.531226
-64.5,101,23.539232
8.428572,20,23.600287
-22.5,19,23.677357
-20.5,15,23.709185
-64.5,101,23.771241
12.357142,15,23.787257
6.5714283,18,23.832297
9.071428,13,23.918661
2.5714283,26,23.962701
-20.0,14,24.01675
6.5,21,24.098825
11.0,12,24.17824
-64.5,101,24.228286
10.071428,11,24.253307
11.0,12,24.307356
-64.5,101,24.445482
8.0,18,24.576601
11.928572,13,24.654411
-64.5,101,24.68566
-4.9285717,41,24.932305
-64.5,101,24.933305
-64.5,101,24.985352
-20.5,15,25.025643
-20.5,15,25.025643
12.785714,17,25.138096
2.2142859,21,25.16412
10.571428,10,25.233183
-23.0,20,25.283228
-64.5,101,25.380317
-20.5,15,25.493831
-64.5,101,25.720588
-1.7857141,29,25.720588
-19.0,12,25.815674
-26.0,26,25.946793
7.142857,14,25.946793
-64.5,101,26.042881
-20.5,15,26.066903
-64.5,101,26.089923
-24.0,22,26.121952
2.642857,23,26.25207
-27.0,28,26.432193
-21.0,16,26.551301
-18.5,11,26.632375
-64.5,101,26.7705
-64.5,101,26.797525
-64.5,101,26.846094
-25.0,24,26.963263
2.642857,23,27.016056
-20.0,14,27.074108
-25.0,24,27.189213
7.214286,11,27.258357
-64.5,101,27.367071
-24.5,23,27.4148
-64.5,101,27.485144
7.0714283,17,27.485144
4.5714283,22,27.567219
-22.0,18,27.604253
9.857142,20,27.616263
-23.5,21,27.696336
-64.5,101,27.745381
11.0,12,27.76136
-0.35714293,29,27.788995
7.5,19,27.909103
