#{"t_start": 1654722597.3983662, "env_id": null}
r,l,t
6.142857,16,0.199338
-26.0,26,8.490549
-19.5,13,8.587396
-23.5,21,8.725536
-18.5,11,8.794599
-22.5,19,8.915171
-64.5,101,8.984117
-64.5,101,8.984117
-64.5,101,9.095119
-29.0,32,9.126115
1.6428571,25,9.159321
8.571428,14,9.200224
-21.0,16,10.357311
-22.0,18,10.404353
-20.5,15,10.420368
-21.0,16,10.483425
-18.5,11,10.492433
7.642857,13,10.583516
13.5,7,10.632561
-20.0,14,12.270263
-64.5,101,12.382366
11.071428,9,12.455433
-64.5,101,12.728681
-64.5,101,12.790736
-19.0,12,12.867807
-64.5,101,13.03547
8.857142,22,13.043479
-22.0,18,15.368314
-23.0,20,15.392336
-64.5,101,15.409352
-18.5,11,15.470407
8.0,18,15.502436
14.285714,14,15.511444
-23.5,21,17.12255
-64.5,101,17.139565
1.5714283,28,17.184605
-19.5,13,17.237653
-33.5,41,17.245661
6.0,22,17.291702
-22.0,18,17.323731
-22.0,18,17.391793
4.642857,19,17.548936
6.9285717,23,17.721093
2.5714283,26,17.912266
-64.5,101,18.016361
-64.5,101,18.074413
-64.5,101,18.107443
-25.5,25,18.210537
-24.0,22,18.260582
6.9285717,23,18.353667
-22.5,19,18.37869
-24.0,22,18.491792
12.5,9,18.547843
-64.5,101,18.597402
-19.5,13,18.628431
-18.0,10,18.6915
-64.5,101,18.728542
2.9285717,31,18.951543
-20.0,14,19.043627
-64.5,101,19.043627
-20.0,14,19.133708
6.642857,15,19.140714
6.142857,16,19.242808
-64.5,101,19.274836
-25.5,25,19.307867
7.5714283,16,19.346966
-64.5,101,19.377547
-21.0,16,19.417509
-19.5,13,19.465118
6.9285717,23,19.652451
-26.0,26,19.825558
-21.0,16,19.972508
-64.5,101,20.032563
-64.5,101,20.112636
-64.5,101,20.175692
-21.0,16,20.287794
-32.0,38,20.2948
8.0,18,20.4039
-25.0,24,20.562044
-64.5,101,20.663135
1.5,31,20.76723
-64.5,101,20.780242
-19.0,12,20.859314
-64.5,101,20.965422
-24.0,22,21.105556
-64.5,101,21.332069
-64.5,101,21.466007
-64.5,101,21.573007
-31.0,36,21.606997
-22.0,18,21.704014
-18.5,11,26.500445
-64.5,101,26.565504
-20.0,14,26.681608
-25.0,24,26.842754
-64.5,101,26.919825
-19.0,12,26.919825
-64.5,101,27.117503
-64.5,101,27.325641
-21.5,17,27.458761
-21.5,17,27.57887
-64.5,101,27.754044
-64.5,101,27.754044
-64.5,101,27.883227
5.714286,14,27.977387
2.7857141,37,28.248514
-64.5,101,28.295556
-21.5,17,28.363618
7.5,19,28.430679
-64.5,101,28.46471
-64.5,101,28.465711
11.0,12,28.51976
13.928572,9,28.535775
-21.0,16,28.584819
-19.0,12,28.602835
-19.0,12,28.615847
-64.5,101,29.071261
