#{"t_start": 1654724420.071341, "env_id": null}
r,l,t
6.142857,16,0.179653
-26.0,26,0.247718
-19.5,13,0.334797
-23.5,21,0.477927
-18.5,11,0.563004
-22.5,19,0.693123
-64.5,101,0.782203
-64.5,101,0.782203
-64.5,101,0.908317
-29.0,32,0.947352
1.6428571,25,0.97738
8.571428,14,1.020419
-21.0,16,1.079473
-22.0,18,1.137526
-20.5,15,1.156543
-21.0,16,1.220601
-18.5,11,1.229609
7.642857,13,1.323695
13.5,7,1.380747
-20.0,14,1.487843
-64.5,101,1.599945
11.071428,9,1.672011
-64.5,101,1.966279
-64.5,101,2.043348
-19.0,12,2.148443
-64.5,101,2.328608
8.857142,22,2.337616
-22.0,18,2.481746
-23.0,20,2.501765
-64.5,101,2.515777
-18.5,11,2.585841
8.0,18,2.614867
14.285714,14,2.623876
-23.5,21,2.750991
-64.5,101,2.764003
1.5714283,28,2.814049
-19.5,13,2.869108
-33.5,41,2.878113
6.0,22,2.925149
-22.0,18,2.956177
-22.0,18,3.016232
4.642857,19,3.163366
6.9285717,23,3.337524
2.5714283,26,3.554721
-64.5,101,3.669826
-64.5,101,3.727878
-64.5,101,3.760908
-25.5,25,3.88903
-24.0,22,3.954084
6.9285717,23,4.055176
-22.5,19,4.0812
-24.0,22,4.21332
12.5,9,4.284384
-64.5,101,4.346441
-19.5,13,4.386476
-18.0,10,4.463546
-64.5,101,4.51159
2.9285717,31,4.731791
-20.0,14,4.841891
-64.5,101,4.841891
-20.0,14,4.944984
6.642857,15,4.951991
6.142857,16,5.065093
-64.5,101,5.101125
-25.5,25,5.136663
7.5714283,16,5.173705
-64.5,101,5.204741
-21.0,16,5.251792
-19.5,13,5.298835
6.9285717,23,5.453013
-26.0,26,5.635208
-21.0,16,5.753348
-64.5,101,5.815411
-64.5,101,5.889493
-64.5,101,5.954563
-21.0,16,6.064392
-32.0,38,6.071398
8.0,18,6.177649
-25.0,24,6.339907
-64.5,101,6.443031
1.5,31,6.558155
-64.5,101,6.570168
-19.0,12,6.645254
-64.5,101,6.741359
-24.0,22,6.880507
-64.5,101,7.08672
-64.5,101,7.204829
-64.5,101,7.295911
-31.0,36,7.327939
-22.0,18,7.408013
-18.5,11,11.94777
-64.5,101,12.004822
-20.0,14,12.128934
-25.0,24,12.309098
-64.5,101,12.402182
-19.0,12,12.402182
-64.5,101,12.540308
-64.5,101,12.719471
7.9285717,21,12.879617
-64.5,101,13.163875
-64.5,101,13.163875
-64.5,101,13.302001
5.714286,14,13.403092
-64.5,101,13.604803
2.7857141,37,13.641845
-22.0,18,13.715929
-21.5,17,13.746961
-64.5,101,13.843024
-64.5,101,13.843024
-23.5,21,13.856035
-21.0,16,13.957127
-64.5,101,14.509365
-64.5,101,14.606285
-64.5,101,14.622303
-17.5,9,14.670343
-19.5,13,14.717381
-64.5,101,14.725305
7.142857,14,14.829489
-24.0,22,14.837499
9.0,16,14.837499
-21.0,16,14.934602
-22.5,19,14.947614
5.8571424,28,15.045947
7.642857,13,15.134027
-64.5,101,15.23612
-21.0,16,15.337212
-64.5,101,15.640487
-64.5,101,15.656502
-17.5,9,15.729568
-64.5,101,15.82065
10.857142,18,15.848676
-3.0714283,43,15.948775
-21.0,16,15.961787
-64.5,101,16.037856
-20.5,15,16.051868
0.0,34,16.060877
-23.5,21,16.115926
6.5714283,18,16.177983
9.5,15,16.231032
-22.5,19,16.318288
10.5,13,16.32631
11.0,12,16.396289
-22.5,19,16.448305
14.857142,10,16.461305
-0.28571415,26,16.638293
6.5714283,18,16.754363
-64.5,101,16.754363
-64.5,101,16.76137
4.142857,20,16.896391
-26.5,27,16.944638
7.4285717,22,17.062745
6.4285717,24,17.129806
-64.5,101,17.158832
-18.5,11,17.242909
7.0,20,17.385038
-64.5,101,17.48613
-23.5,21,17.525165
-18.5,11,17.604237
-19.0,12,17.688313
-64.5,101,17.776392
-34.5,43,17.776392
-64.5,101,17.825438
-22.0,18,17.886493
-4.785714,35,17.905511
12.785714,17,17.992589
-20.5,15,18.095683
14.428572,8,18.156738
-64.5,101,18.45601
-64.5,101,18.506056
-18.0,10,18.579123
-64.5,101,18.59914
-18.5,11,18.672207
-22.0,18,18.69723
-64.5,101,18.838358
9.142857,10,18.900414
7.5714283,16,23.073604
-19.5,13,23.157682
-64.5,101,23.185707
10.428572,16,23.264779
-64.5,101,23.402904
-64.5,101,23.428928
-27.0,28,23.456953
-17.5,9,23.489984
-19.5,13,23.543032
0.14285707,28,23.671148
3.642857,21,23.679154
9.5,15,23.772239
-26.5,27,23.849311
-64.5,101,23.857317
8.428572,20,23.908363
-22.5,19,23.976425
-20.5,15,24.001447
-64.5,101,24.056499
12.357142,15,24.06951
6.5714283,18,24.124559
9.071428,13,24.208635
2.5714283,26,24.245669
-20.0,14,24.295717
6.5,21,24.376806
11.0,12,24.45036
-64.5,101,24.4944
10.071428,11,24.519333
11.0,12,24.568332
-64.5,101,24.700334
8.0,18,24.813337
11.928572,13,24.894377
-64.5,101,24.926381
-4.9285717,41,25.155602
-64.5,101,25.156603
-64.5,101,25.219666
-20.5,15,25.263705
-20.5,15,25.263705
12.785714,17,25.382813
2.2142859,21,25.407836
10.571428,10,25.469892
-23.0,20,25.518937
-64.5,101,25.609019
-20.5,15,25.703104
-64.5,101,25.906289
-1.7857141,29,25.906289
-19.0,12,25.982358
-26.0,26,26.078445
7.142857,14,26.079446
-64.5,101,26.158517
-20.5,15,26.18354
-64.5,101,26.208563
-24.0,22,26.240592
2.642857,23,26.364705
-27.0,28,26.555878
-21.0,16,26.661975
-18.5,11,26.748053
-64.5,101,26.882175
-64.5,101,26.911201
-64.5,101,26.972257
-25.0,24,27.080355
2.642857,23,27.122393
-20.0,14,27.172438
-25.0,24,27.275533
7.214286,11,27.355605
-64.5,101,27.462702
-24.5,23,27.513749
-64.5,101,27.589818
7.0714283,17,27.589818
4.5714283,22,27.692912
-22.0,18,27.728944
9.857142,20,27.741956
-23.5,21,27.836041
-64.5,101,27.889089
11.0,12,27.916114
-0.35714293,29,27.929126
7.5,19,28.042228
5.5,23,28.042228
-22.0,18,28.15433
-64.5,101,28.399553
-64.5,101,28.567705
-64.5,101,28.699826
-37.0,48,28.734858
-64.5,101,28.836951
-20.5,15,28.843957
-18.0,10,28.899007
-33.5,41,28.982082
5.8571424,28,29.020117
-18.5,11,29.053146
-27.0,28,29.209288
-37.5,49,29.225304
-64.5,101,29.27635
-20.5,15,29.317386
-21.0,16,29.389452
3.5,27,29.499552
-22.0,18,29.506559
-20.5,15,29.598643
-64.5,101,29.725758
-64.5,101,34.142219
-29.5,33,34.205276
-19.5,13,34.245311
-64.5,101,34.436485
-64.5,101,34.538578
-21.0,16,34.642672
-2.857143,34,34.655684
2.5,29,34.830843
-30.0,34,34.883893
-64.5,101,34.891899
-64.5,101,34.930934
8.0,18,35.006002
-21.5,17,35.037031
8.357142,23,35.044037
-27.0,28,35.228204
-64.5,101,35.511463
-20.0,14,35.598542
-64.5,101,35.666603
-64.5,101,35.703636
-22.5,19,35.716648
10.571428,10,35.765693
-18.5,11,35.78471
2.2142859,21,35.798722
-17.0,8,35.847767
-64.5,101,35.872789
6.0,22,35.923836
12.357142,15,35.965874
9.5,15,36.01592
-33.0,40,36.106001
-21.5,17,36.215101
-22.5,19,36.340215
-64.5,101,36.424291
11.928572,13,36.432298
-19.5,13,36.516375
-20.0,14,36.516375
-17.5,9,36.571424
-64.5,101,36.628477
-64.5,101,36.67552
8.928572,19,36.688531
-21.0,16,36.77561
-26.0,26,36.788622
-23.0,20,36.813645
-37.5,49,36.81965
6.142857,16,36.886711
3.2142859,19,36.893717
7.5714283,16,36.912735
3.642857,21,36.949768
12.428572,12,36.987802
-23.5,21,37.027839
6.4285717,24,37.043853
4.214286,17,37.062871
4.0714283,23,37.13894
-26.0,26,37.200997
-25.5,25,37.233026
-28.0,30,37.401178
-22.5,19,37.520286
9.571428,12,37.604362
12.0,10,37.667419
-64.5,101,37.713462
10.5,13,37.757502
-64.5,101,37.812551
-17.5,9,37.872606
-64.5,101,37.903634
-29.0,32,37.985709
-19.5,13,38.081796
-19.5,13,38.17388
2.642857,23,38.352042
-64.5,101,38.466145
10.928572,15,38.481159
13.428572,10,38.531206
8.142857,12,38.612278
-64.5,101,38.62529
-64.5,101,38.649312
10.0,14,38.715882
-19.0,12,38.728896
-27.5,29,38.97123
7.3571424,25,39.156949
-64.5,101,39.245028
-22.0,18,39.29107
-20.5,15,39.349123
-64.5,101,39.391219
9.5,15,39.407254
10.428572,16,39.470385
-18.5,11,39.470385
-64.5,101,39.514508
-26.0,26,39.638696
-24.0,22,39.657717
-22.0,18,39.750808
12.071428,7,39.797853
10.571428,10,39.864893
7.214286,11,39.945978
-19.5,13,40.035075
-64.5,101,40.081121
-64.5,101,40.145179
-20.0,14,40.185313
11.0,12,40.275305
8.0,18,40.283312
11.071428,9,40.346275
-64.5,101,40.359287
-21.0,16,40.384313
-20.5,15,40.452886
-22.0,18,40.576999
-64.5,101,40.727135
7.5,19,40.850246
-64.5,101,45.111667
-64.5,101,45.150702
-29.0,32,45.310848
-64.5,101,45.329865
5.5714283,20,45.434961
8.642857,11,45.506025
-64.5,101,45.597109
7.0714283,17,45.616125
-64.5,101,45.790283
9.071428,13,45.87436
-20.0,14,45.964442
-64.5,101,45.977453
-20.0,14,46.055524
-64.5,101,46.256707
-64.5,101,46.275725
-20.0,14,46.365806
1.4285717,34,46.585005
-64.5,101,46.637053
-64.5,101,46.708623
-22.0,18,46.74766
9.5,15,46.855758
-34.5,43,46.871773
-64.5,101,46.924821
5.0714283,21,47.073273
-22.0,18,47.193384
-64.5,101,47.394346
-21.0,16,47.495437
-64.5,101,47.526465
-64.5,101,47.539478
-20.0,14,47.582516
-18.0,10,47.589522
-21.0,16,47.650646
-21.5,17,47.702694
9.0,16,47.77066
7.9285717,21,47.876847
-64.5,101,47.884856
-23.5,21,47.9359
-23.0,20,48.019992
-19.5,13,48.019992
-24.5,23,48.033004
13.928572,9,48.078045
9.5,15,48.1231
-17.0,8,48.139112
8.5,17,48.156131
7.0714283,17,48.260229
-64.5,101,48.319799
1.6428571,25,48.326806
9.571428,12,48.394868
-3.857143,36,48.489956
8.0,18,48.605059
0.21428585,25,48.773212
-64.5,101,48.795232
-19.0,12,48.872302
6.142857,16,48.879308
-19.5,13,48.956378
-64.5,101,48.9814
8.142857,12,49.031446
-64.5,101,49.055468
2.5,29,49.06848
5.3571424,29,49.170573
9.928572,17,49.17858
5.0,24,49.209608
-17.5,9,49.230629
2.0,30,49.230629
5.142857,18,49.296557
-19.0,12,49.309568
-19.0,12,49.371624
-64.5,101,49.882564
-64.5,101,49.974649
-64.5,101,50.075741
-23.5,21,50.123785
-64.5,101,50.155813
11.0,12,50.171828
-25.5,25,50.178833
13.5,7,50.221873
10.0,14,50.28393
-23.5,21,50.28393
-26.5,27,50.348989
8.928572,19,50.355996
-19.0,12,50.363001
-22.5,19,50.40604
-18.5,11,50.427059
8.571428,14,50.457087
8.428572,20,50.484111
6.0,22,50.567186
-19.0,12,50.574193
-18.0,10,50.63725
-20.0,14,50.655266
12.285714,18,50.760363
-22.5,19,50.788387
-23.0,20,50.908497
-28.0,30,51.134702
-64.5,101,51.153719
-64.5,101,51.182747
11.857142,16,51.240798
-20.5,15,51.25381
-21.5,17,51.293847
5.0,24,51.40795
4.5714283,22,51.432973
-64.5,101,51.490025
-20.0,14,51.52906
3.3571424,33,51.684201
-22.0,18,51.717231
-24.5,23,56.139796
11.0,12,56.231889
-64.5,101,56.28494
-64.5,101,56.573803
10.5,13,56.666887
-64.5,101,56.748962
-23.5,21,56.84605
-64.5,101,57.040227
-64.5,101,57.092273
4.142857,20,57.183357
-20.5,15,57.293457
-24.5,23,57.452601
-64.5,101,57.522674
-64.5,101,57.600763
3.0714283,25,57.623803
8.0,18,57.649295
-19.5,13,57.716266
-21.0,16,57.716266
-22.5,19,57.787257
-64.5,101,57.799403
-20.5,15,57.81833
-24.0,22,57.861374
5.714286,14,57.918355
-19.0,12,57.959401
-23.5,21,58.068506
-64.5,101,58.473892
-64.5,101,58.488904
-19.5,13,58.581989
-21.5,17,58.599005
-64.5,101,58.643045
-20.0,14,58.680079
-21.0,16,58.704101
-18.5,11,58.718114
-64.5,101,58.752144
-17.5,9,58.769159
-21.0,16,58.794183
-18.0,10,58.794183
-19.5,13,58.851234
-18.5,11,58.873254
-23.0,20,59.006376
7.5,19,59.133491
-22.0,18,59.259605
-21.0,16,59.365701
-64.5,101,59.453781
-20.5,15,59.460787
-64.5,101,59.4738
-64.5,101,59.524846
7.9285717,21,59.608923
-31.0,36,59.699004
9.071428,13,59.786083
-23.0,20,59.932216
7.0714283,17,60.06834
-64.5,101,60.194453
-64.5,101,60.251506
-64.5,101,60.33358
-22.5,19,60.33358
-19.5,13,60.433671
-24.5,23,60.508739
10.071428,11,60.600824
3.0714283,25,60.633854
-23.0,20,60.776983
-64.5,101,60.814017
