#{"t_start": 1655453885.9302928, "env_id": null}
r,l,t
-37.5,91,0.370515
-41.0,98,0.386139
-53.5,101,0.401765
-51.5,101,0.401765
-62.0,100,0.712756
-45.5,101,0.744007
-43.5,101,0.759633
-44.5,101,0.759633
-29.5,29,0.883239
-44.0,72,1.01288
-37.0,46,1.064235
-45.5,101,1.153515
-43.5,101,1.16914
-44.5,101,1.425977
-40.5,93,1.451
-44.5,101,1.550771
-51.5,101,1.566397
-51.0,88,1.784267
-42.5,101,1.800925
-30.0,28,1.883651
-45.5,101,1.950804
-59.5,101,1.971907
-47.5,101,2.224017
-43.5,101,2.329113
-41.5,91,2.353418
-52.5,101,2.400461
-44.5,101,2.599996
-61.0,90,2.650041
-44.5,101,2.667057
-43.5,101,2.729113
-46.5,101,2.928294
-56.5,89,2.943308
-51.5,101,3.000359
-44.5,101,3.066419
-57.5,101,3.28662
-43.5,101,3.306638
-50.5,101,3.373699
-51.5,101,3.449769
-46.5,101,3.65996
-52.5,101,3.675974
-45.5,101,3.73803
-46.5,101,3.808094
-38.0,40,3.88216
-64.5,101,4.014281
-44.5,101,4.075337
-44.5,101,4.185919
-58.5,101,4.266453
-42.0,52,4.403578
-57.5,101,4.43961
-44.5,101,4.453624
-39.5,65,4.556717
-40.5,51,4.660812
-61.5,101,4.798472
-45.5,101,4.834505
-44.5,61,4.885551
-44.5,101,4.925587
-45.5,101,5.13674
-56.5,101,5.157138
-44.5,101,5.218536
-56.5,101,5.252567
-60.5,89,5.451677
-45.5,101,5.451677
-44.5,101,5.539286
-44.5,101,5.570455
-31.5,77,5.718096
-60.5,101,5.793164
-46.5,101,5.881245
-55.5,101,5.919279
-31.0,28,5.978333
-52.5,101,6.071417
-41.0,44,6.076422
-69.5,101,6.147486
-62.5,91,6.296451
-43.5,101,6.414558
-46.5,101,6.417561
-65.5,101,6.496942
-61.5,101,6.657113
-54.0,82,6.721172
-43.5,101,6.789233
-45.0,96,6.84028
-47.5,77,6.926358
-44.5,101,7.066486
-45.5,101,7.132546
-45.5,101,7.189597
-51.5,101,7.27968
-44.5,101,7.431818
-57.0,88,7.450836
-45.5,101,7.550926
