#{"t_start": 1655415987.8891118, "env_id": null}
r,l,t
-37.5,91,1.138484
-41.0,98,1.223847
-53.5,101,1.333033
-44.5,101,1.333033
-43.5,101,2.438007
-45.5,101,2.528572
-47.5,101,2.569279
-69.5,101,2.569279
-61.5,101,3.523424
-45.5,101,3.601814
-53.5,101,3.670186
-43.5,101,3.670186
-44.5,101,4.55551
-47.5,101,4.62611
-50.5,101,4.686966
-67.5,101,4.686966
-37.5,49,5.189091
-47.5,101,5.58937
-50.5,101,5.673664
-44.5,101,5.725942
-58.5,101,6.258107
-63.5,101,6.7063
-59.5,101,6.789662
-45.5,101,6.807309
-68.5,101,7.341891
-36.5,89,7.741755
-50.5,101,7.75738
-43.5,101,7.840856
-56.5,101,8.404666
-46.5,101,8.790365
-45.5,101,8.827045
-45.5,101,8.889532
-43.5,87,9.277248
-51.5,101,9.806543
-62.5,101,9.843349
-47.5,101,9.921443
-52.0,92,10.226066
-32.5,81,10.723289
-64.5,101,10.825985
-62.5,101,10.84161
-44.5,101,11.214239
-55.5,101,11.730606
-44.5,101,11.846822
-44.5,101,11.878042
-44.5,101,12.246113
-44.5,101,12.808803
-65.5,101,12.93458
-44.5,101,12.965799
-44.5,101,13.389305
-45.0,62,13.511237
-54.5,101,14.08379
-44.5,101,14.116572
-55.5,101,14.489951
-44.5,101,14.629329
-44.5,55,14.66955
-44.5,101,15.201579
-57.5,101,15.53235
-44.5,101,15.649999
-55.5,101,15.702346
-69.5,101,16.202775
-44.5,101,16.516608
-59.0,96,16.647131
-50.5,101,16.650163
-69.5,101,17.16616
-43.5,101,17.579241
-45.5,101,17.715155
-45.5,101,17.746405
-50.5,101,18.217113
-64.5,101,18.623624
-66.5,101,18.751717
-70.5,101,18.767343
-45.5,101,19.270936
-65.5,101,19.668961
-43.5,101,19.80181
-44.5,101,19.817435
-43.5,101,20.307158
-46.5,101,20.636904
-55.5,101,20.751783
-45.5,101,20.783021
-34.5,85,21.205784
-46.5,83,21.652944
-43.5,101,21.707345
-57.5,101,21.837734
-42.5,99,22.170048
-44.5,101,22.686571
-55.5,101,22.755092
-44.5,101,22.885489
-45.5,101,23.238222
-45.5,101,23.682827
-59.5,101,23.73673
-47.5,101,23.90392
-43.5,101,24.255511
-37.0,90,24.622646
-43.5,101,24.808849
-46.5,101,24.954874
-47.5,101,25.320699
-45.5,101,25.673495
-62.5,101,25.840627
-48.5,101,25.970959
-67.5,101,26.309451
-51.5,101,26.689046
-46.5,101,26.859834
-46.5,101,27.005842
-35.5,87,27.256169
-44.5,101,27.780087
-65.5,101,27.973208
-66.5,101,28.134917
-60.5,101,28.322751
-37.5,61,28.727372
-68.5,101,28.83048
-68.5,101,28.992801
-45.0,56,29.374523
-47.5,101,29.427007
-45.5,101,29.929004
-52.5,101,30.095698
-69.5,101,30.370841
-45.5,101,30.411503
-60.5,101,30.912505
-45.5,101,31.090391
-44.5,101,31.391409
-47.5,101,31.433245
-49.5,101,31.908408
-54.5,101,32.097836
-46.5,101,32.411819
-45.5,101,32.467818
-48.5,101,32.939384
-44.5,101,33.105689
-44.5,101,33.408586
-44.5,101,33.460834
-50.5,101,33.961985
-45.5,101,34.148438
-43.5,101,34.409343
-44.5,101,34.456218
-68.5,101,35.045545
-46.5,101,35.201702
-30.5,77,35.264202
-44.5,101,35.546207
-50.0,66,35.715406
-22.0,8,35.799029
-41.5,93,36.167595
-45.5,101,36.204288
-56.5,101,36.531041
-44.5,101,36.751096
-46.5,101,37.150593
-50.5,101,37.197468
-45.5,101,37.513219
-43.5,101,37.77163
-58.0,80,37.948619
-68.5,101,38.188225
-44.5,57,38.312633
-64.5,101,38.482035
-46.5,101,38.88499
-61.0,98,39.083231
-49.5,101,39.266549
-46.5,101,39.501046
-46.5,101,39.887299
-46.5,101,40.083019
-63.5,101,40.298786
-66.5,101,40.537527
-40.5,49,40.822445
-46.5,101,40.984985
-45.5,101,41.191281
-59.5,101,41.541341
