#{"t_start": 1654727569.3731034, "env_id": null}
r,l,t
6.142857,16,0.209618
-26.0,26,0.289093
-19.5,13,0.383177
-23.5,21,0.543324
-18.5,11,0.629402
-22.5,19,0.774752
-64.5,101,0.862949
-64.5,101,0.86395
-64.5,101,0.991065
-29.0,32,1.031102
1.6428571,25,1.065133
8.571428,14,1.107171
-21.0,16,1.165223
-22.0,18,1.210264
-20.5,15,1.224277
-21.0,16,1.279327
-18.5,11,1.289336
7.642857,13,1.375414
13.5,7,1.429465
-20.0,14,1.539564
-64.5,101,1.653668
11.071428,9,1.724732
-64.5,101,1.991634
-64.5,101,2.061545
-19.0,12,2.149899
-64.5,101,2.363935
8.857142,22,2.372943
-22.0,18,2.509491
-23.0,20,2.530148
-64.5,101,2.545773
-18.5,11,2.617441
8.0,18,2.649044
14.285714,14,2.650114
-23.5,21,2.807284
-64.5,101,2.820296
1.5714283,28,2.865201
-19.5,13,2.912076
-33.5,41,2.912076
6.0,22,2.964148
-22.0,18,2.995614
-22.0,18,3.05776
4.642857,19,3.199519
6.9285717,23,3.357334
2.5714283,26,3.580749
-64.5,101,3.677588
-64.5,101,3.71729
-64.5,101,3.732914
-25.5,25,3.843628
-24.0,22,3.906685
6.9285717,23,4.02279
-22.5,19,4.05482
-24.0,22,4.164153
12.5,9,4.226652
-64.5,101,4.263832
-19.5,13,4.295082
-18.0,10,4.389566
-64.5,101,4.441613
2.9285717,31,4.675826
-20.0,14,4.771913
-64.5,101,4.771913
-20.0,14,4.864573
6.642857,15,4.880199
6.142857,16,4.987769
-64.5,101,5.028806
-25.5,25,5.063838
7.5714283,16,5.103874
-64.5,101,5.129898
-21.0,16,5.171936
-19.5,13,5.218981
6.9285717,23,5.379124
-26.0,26,5.570297
-21.0,16,5.686403
-64.5,101,5.742454
-64.5,101,5.833537
-64.5,101,5.904602
-21.0,16,6.016703
-32.0,38,6.025712
8.0,18,6.159833
-25.0,24,6.313989
-64.5,101,6.406057
1.5,31,6.516157
-64.5,101,6.517395
-19.0,12,6.618613
-64.5,101,6.72571
-24.0,22,6.867846
-64.5,101,7.074615
-64.5,101,7.185717
-64.5,101,7.270793
-31.0,36,7.304824
-22.0,18,7.38712
-18.5,11,12.106442
-64.5,101,12.159105
-20.0,14,12.261799
-25.0,24,12.425355
-64.5,101,12.514665
-19.0,12,12.514665
-64.5,101,12.638242
-64.5,101,12.784319
7.9285717,21,12.932773
-64.5,101,13.240643
-64.5,101,13.241638
-64.5,101,13.405787
5.714286,14,13.534904
-64.5,101,13.748436
2.7857141,37,13.784469
-22.0,18,13.84434
-21.5,17,13.875551
-64.5,101,13.974752
-64.5,101,13.974752
-23.5,21,13.974752
-21.0,16,14.073906
-64.5,101,14.54596
-64.5,101,14.64653
-64.5,101,14.662133
-17.5,9,14.724632
-19.5,13,14.776965
-64.5,101,14.776965
7.142857,14,14.876114
-24.0,22,14.876114
9.0,16,14.876114
-21.0,16,15.006541
-22.5,19,15.022166
5.8571424,28,15.084666
7.642857,13,15.174824
-64.5,101,15.258292
-21.0,16,15.373032
-64.5,101,15.708642
-64.5,101,15.724249
-17.5,9,15.771123
-64.5,101,15.870869
10.857142,18,15.904681
-3.0714283,43,16.002462
-21.0,16,16.02345
-64.5,101,16.085939
-20.5,15,16.101564
0.0,34,16.117189
-23.5,21,16.16946
6.5714283,18,16.225752
9.5,15,16.277948
-22.5,19,16.361482
10.5,13,16.361482
11.0,12,16.455209
-22.5,19,16.523651
14.857142,10,16.539276
-0.28571415,26,16.706431
6.5714283,18,16.827388
-64.5,101,16.827388
-64.5,101,16.827388
4.142857,20,16.957779
-26.5,27,16.98903
7.4285717,22,17.088159
6.4285717,24,17.150659
-64.5,101,17.172424
-18.5,11,17.250537
7.0,20,17.408114
-64.5,101,17.522891
-23.5,21,17.569766
-18.5,11,17.653532
-19.0,12,17.737092
-64.5,101,17.82285
-34.5,43,17.82285
-64.5,101,17.864488
-22.0,18,17.926988
-4.785714,35,17.942613
12.785714,17,18.040658
-20.5,15,18.134743
14.428572,8,18.175338
-64.5,101,18.491678
-64.5,101,18.541452
-18.0,10,18.60724
-64.5,101,18.622864
-18.5,11,18.690777
-22.0,18,18.722025
-64.5,101,18.872581
9.142857,10,18.935345
7.5714283,16,23.088247
-19.5,13,23.179328
-64.5,101,23.197293
10.428572,16,23.266113
-64.5,101,23.396446
-64.5,101,23.427696
-27.0,28,23.44332
-17.5,9,23.49035
-19.5,13,23.540871
0.14285707,28,23.683575
3.642857,21,23.690581
9.5,15,23.792674
-26.5,27,23.862737
-64.5,101,23.869743
8.428572,20,23.922862
-22.5,19,23.991471
-20.5,15,24.015727
-64.5,101,24.085512
12.357142,15,24.09915
6.5714283,18,24.146003
9.071428,13,24.232579
2.5714283,26,24.263818
-20.0,14,24.331736
6.5,21,24.415286
11.0,12,24.514673
-64.5,101,24.557711
10.071428,11,24.582735
11.0,12,24.637784
-64.5,101,24.79793
8.0,18,24.938057
11.928572,13,25.033143
-64.5,101,25.065603
-4.9285717,41,25.2824
-64.5,101,25.2824
-64.5,101,25.341429
-20.5,15,25.381468
-20.5,15,25.381468
12.785714,17,25.480752
2.2142859,21,25.512002
10.571428,10,25.564363
-23.0,20,25.611238
-64.5,101,25.694702
-20.5,15,25.802271
-64.5,101,26.004592
-1.7857141,29,26.004592
-19.0,12,26.07515
-26.0,26,26.17448
7.142857,14,26.17448
-64.5,101,26.27381
-20.5,15,26.289435
-64.5,101,26.320683
-24.0,22,26.341894
2.642857,23,26.456666
-27.0,28,26.633941
-21.0,16,26.733626
-18.5,11,26.801527
-64.5,101,26.947694
-64.5,101,26.96332
-64.5,101,27.010192
-25.0,24,27.109476
2.642857,23,27.16173
-20.0,14,27.22423
-25.0,24,27.323332
7.214286,11,27.391784
-64.5,101,27.490953
-24.5,23,27.537792
-64.5,101,27.62148
7.0714283,17,27.62148
4.5714283,22,27.717404
-22.0,18,27.751903
9.857142,20,27.767527
-23.5,21,27.851138
-64.5,101,27.913637
11.0,12,27.945989
-0.35714293,29,27.950403
7.5,19,28.065719
5.5,23,28.065719
-22.0,18,28.180507
-64.5,101,28.425661
-64.5,101,28.631645
-64.5,101,28.755758
-37.0,48,28.781781
-64.5,101,28.871672
-20.5,15,28.875059
-18.0,10,28.921923
-33.5,41,29.005523
5.8571424,28,29.036773
-18.5,11,29.068023
-27.0,28,29.219123
-37.5,49,29.219747
-64.5,101,29.2666
