#{"t_start": 1654718838.2925432, "env_id": null}
r,l,t
6.142857,16,0.252227
-26.0,26,0.345815
-19.5,13,0.468928
-23.5,21,0.684124
-18.5,11,0.795224
-22.5,19,1.087489
-64.5,101,1.195588
-64.5,101,1.195588
-64.5,101,1.342721
-29.0,32,1.386761
1.6428571,25,1.421793
8.571428,14,1.469837
-21.0,16,1.539901
-22.0,18,1.598954
-20.5,15,1.617971
-21.0,16,1.692039
-18.5,11,1.703048
7.642857,13,1.83617
13.5,7,1.910236
-20.0,14,2.042512
-64.5,101,2.184868
11.071428,9,2.275951
-64.5,101,2.617261
-64.5,101,2.699335
-19.0,12,2.800427
-64.5,101,2.992601
8.857142,22,3.003612
-22.0,18,3.153748
-23.0,20,3.180772
-64.5,101,3.198788
-18.5,11,3.279863
8.0,18,3.313893
14.285714,14,3.323903
-23.5,21,3.494057
-64.5,101,3.511073
1.5714283,28,3.560117
-19.5,13,3.615167
-33.5,41,3.625176
6.0,22,3.672219
-22.0,18,3.704248
-22.0,18,3.770308
4.642857,19,3.927451
6.9285717,23,4.122628
2.5714283,26,4.337823
-64.5,101,4.464939
-64.5,101,4.533
-64.5,101,4.570035
-25.5,25,4.700152
-24.0,22,4.772218
6.9285717,23,4.916348
-22.5,19,4.956385
-24.0,22,5.145557
12.5,9,5.230634
-64.5,101,5.304702
-19.5,13,5.349742
-18.0,10,5.450834
-64.5,101,5.509888
2.9285717,31,5.806157
-20.0,14,5.935274
-64.5,101,5.935274
-20.0,14,6.072399
6.642857,15,6.083408
6.142857,16,6.229541
-64.5,101,6.275583
-25.5,25,6.320624
7.5714283,16,6.372671
-64.5,101,6.414709
-21.0,16,6.462753
-19.5,13,6.519805
6.9285717,23,6.706975
-26.0,26,6.930178
-21.0,16,7.073308
-64.5,101,7.137366
-64.5,101,7.24146
-64.5,101,7.336546
-21.0,16,7.471669
-32.0,38,7.48368
8.0,18,7.634818
-25.0,24,7.831996
-64.5,101,7.9461
1.5,31,8.083225
-64.5,101,8.100241
-19.0,12,8.198833
-64.5,101,8.322946
-24.0,22,8.504111
-64.5,101,8.79938
-64.5,101,8.95452
-64.5,101,9.078632
-31.0,36,9.122673
-22.0,18,9.228769
-18.5,11,14.264678
-64.5,101,14.34575
-20.0,14,14.471865
-25.0,24,14.759126
-64.5,101,14.874231
-19.0,12,14.874231
-64.5,101,15.045386
-64.5,101,15.254576
-64.5,101,15.759034
-64.5,101,15.759034
-64.5,101,15.911173
5.714286,14,16.026277
-64.5,101,16.106352
-23.5,21,16.273501
2.7857141,37,16.321545
-22.0,18,16.426641
9.5,15,16.456668
-19.5,13,16.566768
-64.5,101,16.594794
-64.5,101,16.594794
-23.5,21,16.610808
13.928572,9,16.665858
-21.0,16,16.721909
-19.0,12,16.762946
-64.5,101,17.453573
-64.5,101,17.496613
-19.5,13,17.607713
-64.5,101,17.616722
-64.5,101,17.65876
7.142857,14,17.732827
-29.5,33,17.732827
-22.5,19,17.897977
-64.5,101,18.477007
-64.5,101,18.527052
-17.5,9,18.552075
-64.5,101,18.600119
-21.0,16,18.680191
-64.5,101,18.752257
10.5,13,18.786288
11.428572,14,18.868362
-22.0,18,18.933421
-64.5,101,19.367816
-64.5,101,19.44889
10.0,14,19.488926
-20.0,14,19.60303
3.5,27,19.67009
10.5,13,19.711128
-64.5,101,19.719135
-64.5,101,19.783193
-18.0,10,19.791201
-18.0,10,19.871308
-19.5,13,19.999121
-25.5,25,20.200892
-25.5,25,20.401074
-64.5,101,20.504168
-22.0,18,20.544205
-64.5,101,20.553213
-64.5,101,20.61627
5.642857,17,20.681329
-24.0,22,20.681329
-19.0,12,20.775415
-27.5,29,20.846479
-19.0,12,20.872503
-0.4285717,32,20.937562
-18.5,11,20.937562
-22.0,18,21.015633
8.5,17,21.070683
3.0714283,25,21.13374
-20.5,15,21.191793
2.4285717,32,21.270864
-64.5,101,21.360946
12.928572,11,21.450027
-64.5,101,21.958489
-64.5,101,22.01454
-64.5,101,22.094613
4.5714283,22,22.1907
5.714286,14,22.207715
-64.5,101,22.271773
12.428572,12,22.288789
11.571428,8,22.335832
-20.5,15,22.408898
4.142857,20,22.499981
-27.0,28,27.690695
-64.5,101,27.739739
6.4285717,24,27.951932
-64.5,101,28.017992
-27.0,28,28.212169
-64.5,101,28.248318
-18.0,10,28.34391
-24.5,23,28.437995
-20.5,15,28.581125
-64.5,101,28.626166
-22.5,19,28.793318
-64.5,101,28.955644
-26.0,26,29.02771
-64.5,101,29.268928
3.642857,21,29.455097
-64.5,101,29.48012
10.071428,11,29.5682
-20.5,15,29.578209
13.857142,12,29.668342
-64.5,101,29.848787
-64.5,101,29.969897
4.642857,19,30.159069
-18.5,11,30.263164
9.142857,10,30.345238
10.5,13,30.47936
-18.0,10,30.572444
-64.5,101,30.572444
-64.5,101,30.670534
7.142857,14,30.697558
6.0714283,19,30.739596
-17.5,9,30.747684
9.142857,10,30.832883
