#{"t_start": 1654726095.6664548, "env_id": null}
r,l,t
6.142857,16,0.189354
-26.0,26,0.269108
-19.5,13,0.371357
-23.5,21,0.543148
-18.5,11,0.617981
-22.5,19,0.769484
-64.5,101,0.872478
-64.5,101,0.872478
-64.5,101,0.990336
-29.0,32,1.023918
1.6428571,25,1.05692
8.571428,14,1.090008
-21.0,16,1.142515
-22.0,18,1.205014
-20.5,15,1.208561
-21.0,16,1.276648
-18.5,11,1.276648
7.642857,13,1.360315
13.5,7,1.424832
-20.0,14,1.513265
-64.5,101,1.610689
11.071428,9,1.677833
-64.5,101,1.959675
-64.5,101,2.047755
-19.0,12,2.155908
-64.5,101,2.336072
8.857142,22,2.344079
-22.0,18,2.482205
-23.0,20,2.507227
-64.5,101,2.525244
-18.5,11,2.592304
8.0,18,2.625335
14.285714,14,2.634343
-23.5,21,2.769465
-64.5,101,2.786481
1.5714283,28,2.82952
-19.5,13,2.885571
-33.5,41,2.892577
6.0,22,2.930612
-22.0,18,2.955634
-22.0,18,3.009683
4.642857,19,3.124366
