#{"t_start": 1654723787.7440345, "env_id": null}
r,l,t
6.142857,16,0.190151
-26.0,26,0.253207
-19.5,13,0.335282
-23.5,21,0.468403
-18.5,11,0.55448
-22.5,19,0.676598
-64.5,101,0.765679
-64.5,101,0.765679
-64.5,101,0.884296
-29.0,32,0.920315
1.6428571,25,0.953322
8.571428,14,0.992586
-21.0,16,1.049638
-22.0,18,1.101684
-20.5,15,1.117699
-21.0,16,1.180756
-18.5,11,1.189764
7.642857,13,1.28485
13.5,7,1.340901
-20.0,14,1.445998
-64.5,101,1.558099
11.071428,9,1.630164
-64.5,101,1.915424
-64.5,101,1.98949
-19.0,12,2.085578
-64.5,101,2.255733
8.857142,22,2.262739
-22.0,18,2.403867
-23.0,20,2.427889
-64.5,101,2.441902
-18.5,11,2.511966
8.0,18,2.542993
14.285714,14,2.552002
-23.5,21,2.686123
-64.5,101,2.702138
1.5714283,28,2.749181
-19.5,13,2.804231
-33.5,41,2.813239
6.0,22,2.855278
-22.0,18,2.879299
-22.0,18,2.930346
4.642857,19,3.062466
6.9285717,23,3.203593
2.5714283,26,3.403775
-64.5,101,3.505868
-64.5,101,3.558917
-64.5,101,3.589945
-25.5,25,3.700044
-24.0,22,3.763102
6.9285717,23,3.870198
-22.5,19,3.902228
-24.0,22,4.015331
12.5,9,4.079388
-64.5,101,4.128434
-19.5,13,4.159462
-18.0,10,4.23553
-64.5,101,4.272565
2.9285717,31,4.48776
-20.0,14,4.591855
-64.5,101,4.591855
-20.0,14,4.68594
6.642857,15,4.691946
6.142857,16,4.785029
-64.5,101,4.817059
-25.5,25,4.848087
7.5714283,16,4.888124
-64.5,101,4.920152
-21.0,16,4.968196
-19.5,13,5.022246
6.9285717,23,5.186395
-26.0,26,5.352545
-21.0,16,5.457641
-64.5,101,5.506685
-64.5,101,5.587759
-64.5,101,5.662827
-21.0,16,5.78694
-32.0,38,5.795948
8.0,18,5.927067
-25.0,24,6.08076
-64.5,101,6.166837
1.5,31,6.281967
-64.5,101,6.298985
-19.0,12,6.380069
-64.5,101,6.48418
-24.0,22,6.634329
-64.5,101,6.866584
-64.5,101,6.987693
-64.5,101,7.075774
-31.0,36,7.109804
-22.0,18,7.197885
