#{"t_start": 1654724252.2205825, "env_id": null}
r,l,t
6.142857,16,0.190172
-26.0,26,0.256231
-19.5,13,0.352319
-23.5,21,0.514467
-18.5,11,0.604553
-22.5,19,0.752682
-64.5,101,0.843766
-64.5,101,0.843766
-64.5,101,0.975885
-29.0,32,1.014922
1.6428571,25,1.051954
8.571428,14,1.097996
-21.0,16,1.158051
-22.0,18,1.210099
-20.5,15,1.224111
-21.0,16,1.286167
-18.5,11,1.295175
7.642857,13,1.392264
13.5,7,1.449315
-20.0,14,1.562696
-64.5,101,1.679027
11.071428,9,1.74618
-64.5,101,2.036008
-64.5,101,2.116081
-19.0,12,2.21519
-64.5,101,2.394277
8.857142,22,2.403279
-22.0,18,2.543101
-23.0,20,2.567123
-64.5,101,2.580136
-18.5,11,2.637186
8.0,18,2.662209
14.285714,14,2.669215
-23.5,21,2.800335
-64.5,101,2.813347
1.5714283,28,2.864393
-19.5,13,2.919443
-33.5,41,2.928451
6.0,22,2.97049
-22.0,18,3.002519
-22.0,18,3.060572
4.642857,19,3.190515
6.9285717,23,3.347466
2.5714283,26,3.534655
-64.5,101,3.642766
-64.5,101,3.694306
-64.5,101,3.719316
-25.5,25,3.812303
-24.0,22,3.863321
6.9285717,23,3.961315
-22.5,19,3.992297
-24.0,22,4.134302
12.5,9,4.195312
-64.5,101,4.245298
-19.5,13,4.277307
-18.0,10,4.341177
-64.5,101,4.381398
2.9285717,31,4.602723
-20.0,14,4.695808
-64.5,101,4.696808
-20.0,14,4.786891
6.642857,15,4.793897
6.142857,16,4.899993
-64.5,101,4.94103
-25.5,25,4.980066
7.5714283,16,5.027109
-64.5,101,5.060138
-21.0,16,5.107181
-19.5,13,5.15022
6.9285717,23,5.315371
-26.0,26,5.495535
-21.0,16,5.603632
-64.5,101,5.663689
-64.5,101,5.751766
-64.5,101,5.827836
-21.0,16,5.949947
-32.0,38,5.956953
8.0,18,6.086071
-25.0,24,6.253222
-64.5,101,6.347307
1.5,31,6.454405
-64.5,101,6.47042
-19.0,12,6.561502
-64.5,101,6.665597
-24.0,22,6.827744
-64.5,101,7.063958
-64.5,101,7.185069
-64.5,101,7.288162
-31.0,36,7.328198
-22.0,18,7.424286
